eigenvector_centrality,"[0, 7, 9, 16]"
0,"[0.09580838323353294, 0.098, 0.14, 0.092, 0.146, 0.082, 0.086, 0.172, 0.15, 0.102, 0.084, 0.092, 0.106, 0.122, 0.11, 0.092, 0.102, 0.104, 0.104, 0.09619238476953908]"
1,"[0.10778443113772455, 0.116, 0.1, 0.098, 0.094, 0.082, 0.086, 0.078, 0.11, 0.09, 0.094, 0.108, 0.08, 0.098, 0.102, 0.086, 0.098, 0.12, 0.126, 0.0781563126252505]"
2,"[0.16367265469061876, 0.086, 0.178, 0.098, 0.09, 0.102, 0.16, 0.076, 0.134, 0.09, 0.078, 0.166, 0.194, 0.084, 0.102, 0.124, 0.134, 0.104, 0.098, 0.09218436873747494]"
3,"[0.09580838323353294, 0.086, 0.118, 0.1, 0.092, 0.102, 0.15, 0.128, 0.16, 0.098, 0.154, 0.12, 0.106, 0.114, 0.172, 0.08, 0.098, 0.184, 0.14, 0.09819639278557114]"
4,"[0.11776447105788423, 0.082, 0.1, 0.1, 0.094, 0.152, 0.1, 0.076, 0.09, 0.098, 0.078, 0.12, 0.172, 0.098, 0.186, 0.08, 0.098, 0.19, 0.098, 0.09819639278557114]"
5,"[0.12375249500998003, 0.082, 0.206, 0.1, 0.096, 0.092, 0.1, 0.142, 0.116, 0.09, 0.142, 0.118, 0.08, 0.098, 0.192, 0.08, 0.12, 0.12, 0.162, 0.09819639278557114]"
6,"[0.11776447105788423, 0.082, 0.124, 0.1, 0.094, 0.092, 0.1, 0.076, 0.09, 0.09, 0.078, 0.118, 0.12, 0.084, 0.176, 0.116, 0.092, 0.104, 0.126, 0.09018036072144289]"
7,"[0.07784431137724551, 0.082, 0.1, 0.1, 0.094, 0.118, 0.098, 0.148, 0.102, 0.116, 0.15, 0.118, 0.08, 0.096, 0.102, 0.092, 0.092, 0.272, 0.092, 0.09018036072144289]"
8,"[0.07784431137724551, 0.088, 0.1, 0.1, 0.102, 0.092, 0.126, 0.134, 0.09, 0.09, 0.078, 0.118, 0.12, 0.084, 0.102, 0.116, 0.134, 0.104, 0.13, 0.09018036072144289]"
9,"[0.07784431137724551, 0.17, 0.1, 0.102, 0.078, 0.102, 0.126, 0.18, 0.148, 0.184, 0.094, 0.092, 0.098, 0.096, 0.116, 0.08, 0.192, 0.188, 0.092, 0.10420841683366733]"
10,"[0.07784431137724551, 0.086, 0.1, 0.098, 0.13, 0.186, 0.126, 0.112, 0.116, 0.09, 0.078, 0.186, 0.12, 0.19, 0.106, 0.116, 0.134, 0.104, 0.11, 0.09619238476953908]"
11,"[0.07784431137724551, 0.086, 0.206, 0.1, 0.078, 0.176, 0.144, 0.094, 0.11, 0.164, 0.094, 0.092, 0.134, 0.096, 0.092, 0.08, 0.174, 0.188, 0.092, 0.10420841683366733]"
12,"[0.16966067864271456, 0.086, 0.1, 0.192, 0.13, 0.124, 0.126, 0.102, 0.104, 0.09, 0.078, 0.09, 0.12, 0.084, 0.092, 0.116, 0.134, 0.104, 0.264, 0.11022044088176353]"
13,"[0.07784431137724551, 0.082, 0.112, 0.1, 0.078, 0.102, 0.08, 0.094, 0.138, 0.142, 0.136, 0.092, 0.188, 0.096, 0.092, 0.08, 0.192, 0.092, 0.092, 0.10420841683366733]"
