betweeness_centrality,[ 2 10 12 14]
0,"[0.1157684630738523, 0.08, 0.074, 0.098, 0.13, 0.094, 0.078, 0.112, 0.11, 0.108, 0.096, 0.092, 0.094, 0.098, 0.154, 0.116, 0.098, 0.128, 0.102, 0.09619238476953908]"
1,"[0.09580838323353294, 0.08, 0.074, 0.142, 0.13, 0.094, 0.086, 0.142, 0.112, 0.108, 0.096, 0.12, 0.11, 0.098, 0.082, 0.116, 0.134, 0.108, 0.102, 0.12224448897795591]"
2,"[0.1157684630738523, 0.08, 0.074, 0.098, 0.13, 0.094, 0.086, 0.112, 0.112, 0.108, 0.096, 0.092, 0.11, 0.098, 0.082, 0.116, 0.158, 0.108, 0.102, 0.09819639278557114]"
3,"[0.1157684630738523, 0.112, 0.074, 0.146, 0.13, 0.094, 0.098, 0.112, 0.112, 0.108, 0.17, 0.092, 0.11, 0.098, 0.116, 0.116, 0.134, 0.108, 0.102, 0.12224448897795591]"
4,"[0.14770459081836326, 0.144, 0.238, 0.142, 0.156, 0.234, 0.2, 0.194, 0.248, 0.182, 0.198, 0.114, 0.18, 0.172, 0.136, 0.116, 0.16, 0.142, 0.104, 0.1743486973947896]"
5,"[0.25349301397205587, 0.162, 0.164, 0.158, 0.162, 0.218, 0.184, 0.218, 0.242, 0.122, 0.132, 0.178, 0.15, 0.172, 0.182, 0.26, 0.222, 0.19, 0.172, 0.17034068136272545]"
6,"[0.22355289421157684, 0.154, 0.214, 0.162, 0.298, 0.208, 0.29, 0.206, 0.204, 0.09, 0.26, 0.168, 0.18, 0.272, 0.174, 0.254, 0.168, 0.098, 0.29, 0.23046092184368738]"
7,"[0.2754491017964072, 0.172, 0.188, 0.232, 0.256, 0.28, 0.174, 0.178, 0.176, 0.192, 0.234, 0.352, 0.202, 0.232, 0.186, 0.262, 0.376, 0.25, 0.298, 0.250501002004008]"
8,"[0.2954091816367265, 0.31, 0.326, 0.262, 0.292, 0.282, 0.326, 0.266, 0.182, 0.334, 0.292, 0.234, 0.272, 0.354, 0.266, 0.362, 0.216, 0.252, 0.38, 0.374749498997996]"
9,"[0.2994011976047904, 0.186, 0.286, 0.394, 0.284, 0.294, 0.228, 0.378, 0.358, 0.268, 0.288, 0.236, 0.328, 0.316, 0.346, 0.258, 0.376, 0.316, 0.286, 0.374749498997996]"
10,"[0.21357285429141717, 0.36, 0.4, 0.338, 0.246, 0.322, 0.228, 0.266, 0.242, 0.394, 0.342, 0.24, 0.296, 0.31, 0.368, 0.194, 0.256, 0.262, 0.33, 0.3066132264529058]"
11,"[0.2874251497005988, 0.206, 0.324, 0.256, 0.286, 0.256, 0.198, 0.308, 0.294, 0.152, 0.312, 0.21, 0.264, 0.228, 0.304, 0.254, 0.286, 0.278, 0.24, 0.3366733466933868]"
12,"[0.31137724550898205, 0.332, 0.33, 0.252, 0.316, 0.198, 0.254, 0.27, 0.262, 0.372, 0.336, 0.266, 0.33, 0.3, 0.294, 0.258, 0.21, 0.29, 0.3, 0.2605210420841683]"
13,"[0.3532934131736527, 0.244, 0.314, 0.28, 0.374, 0.284, 0.198, 0.306, 0.372, 0.258, 0.374, 0.258, 0.282, 0.348, 0.378, 0.374, 0.268, 0.296, 0.316, 0.31462925851703405]"
14,"[0.37924151696606784, 0.39, 0.374, 0.318, 0.338, 0.23, 0.33, 0.318, 0.302, 0.372, 0.362, 0.308, 0.33, 0.384, 0.338, 0.284, 0.248, 0.29, 0.374, 0.26452905811623245]"
15,"[0.3532934131736527, 0.242, 0.268, 0.232, 0.394, 0.344, 0.236, 0.328, 0.352, 0.276, 0.366, 0.32, 0.324, 0.374, 0.388, 0.382, 0.342, 0.344, 0.302, 0.2985971943887776]"
16,"[0.36127744510978044, 0.394, 0.436, 0.334, 0.288, 0.258, 0.314, 0.334, 0.286, 0.38, 0.362, 0.29, 0.32, 0.382, 0.352, 0.288, 0.246, 0.288, 0.396, 0.312625250501002]"
17,"[0.3532934131736527, 0.246, 0.276, 0.232, 0.428, 0.338, 0.248, 0.366, 0.358, 0.324, 0.332, 0.326, 0.34, 0.368, 0.368, 0.4, 0.342, 0.342, 0.322, 0.27655310621242485]"
18,"[0.35728542914171657, 0.386, 0.454, 0.342, 0.276, 0.27, 0.314, 0.354, 0.286, 0.382, 0.392, 0.29, 0.298, 0.382, 0.352, 0.302, 0.29, 0.29, 0.396, 0.33867735470941884]"
19,"[0.36726546906187624, 0.258, 0.304, 0.236, 0.428, 0.33, 0.252, 0.37, 0.382, 0.352, 0.338, 0.33, 0.338, 0.35, 0.366, 0.434, 0.348, 0.348, 0.342, 0.2725450901803607]"
20,"[0.3592814371257485, 0.382, 0.474, 0.356, 0.294, 0.264, 0.314, 0.348, 0.278, 0.38, 0.446, 0.288, 0.298, 0.39, 0.356, 0.316, 0.292, 0.296, 0.388, 0.3226452905811623]"
21,"[0.3852295409181637, 0.288, 0.332, 0.256, 0.45, 0.336, 0.258, 0.368, 0.416, 0.346, 0.368, 0.334, 0.346, 0.394, 0.38, 0.44, 0.346, 0.35, 0.344, 0.26452905811623245]"
22,"[0.37325349301397204, 0.378, 0.454, 0.372, 0.322, 0.278, 0.318, 0.312, 0.294, 0.392, 0.45, 0.312, 0.3, 0.388, 0.366, 0.344, 0.32, 0.316, 0.392, 0.32665330661322645]"
