eigenvector_centrality,"[2, 6, 19, 8]"
0,"[0.07784431137724551, 0.184, 0.114, 0.084, 0.09, 0.132, 0.13, 0.166, 0.09, 0.102, 0.078, 0.118, 0.082, 0.084, 0.096, 0.142, 0.114, 0.088, 0.08, 0.0781563126252505]"
1,"[0.11776447105788423, 0.108, 0.112, 0.104, 0.092, 0.126, 0.146, 0.118, 0.084, 0.082, 0.084, 0.094, 0.08, 0.098, 0.116, 0.08, 0.094, 0.098, 0.08, 0.0781563126252505]"
2,"[0.10978043912175649, 0.108, 0.114, 0.098, 0.11, 0.126, 0.108, 0.118, 0.114, 0.102, 0.094, 0.094, 0.08, 0.098, 0.082, 0.08, 0.094, 0.088, 0.08, 0.1523046092184369]"
3,"[0.10978043912175649, 0.116, 0.104, 0.098, 0.092, 0.126, 0.1, 0.174, 0.084, 0.082, 0.094, 0.094, 0.094, 0.098, 0.082, 0.088, 0.122, 0.098, 0.08, 0.0781563126252505]"
4,"[0.10978043912175649, 0.108, 0.17, 0.098, 0.126, 0.128, 0.108, 0.086, 0.134, 0.102, 0.112, 0.094, 0.098, 0.098, 0.082, 0.104, 0.098, 0.088, 0.08, 0.09819639278557114]"
5,"[0.10978043912175649, 0.116, 0.104, 0.098, 0.092, 0.126, 0.1, 0.086, 0.084, 0.134, 0.162, 0.094, 0.088, 0.098, 0.082, 0.088, 0.18, 0.098, 0.08, 0.0781563126252505]"
6,"[0.12375249500998003, 0.108, 0.1, 0.098, 0.096, 0.126, 0.108, 0.086, 0.09, 0.102, 0.112, 0.094, 0.088, 0.098, 0.082, 0.13, 0.12, 0.1, 0.08, 0.21042084168336672]"
7,"[0.10978043912175649, 0.116, 0.17, 0.154, 0.092, 0.126, 0.1, 0.086, 0.18, 0.136, 0.084, 0.126, 0.088, 0.098, 0.082, 0.088, 0.19, 0.098, 0.08, 0.0781563126252505]"
8,"[0.09181636726546906, 0.108, 0.148, 0.098, 0.116, 0.126, 0.108, 0.086, 0.09, 0.102, 0.112, 0.12, 0.088, 0.098, 0.082, 0.116, 0.106, 0.166, 0.142, 0.11823647294589178]"
9,"[0.10978043912175649, 0.128, 0.19, 0.176, 0.092, 0.126, 0.1, 0.086, 0.284, 0.102, 0.084, 0.092, 0.088, 0.098, 0.082, 0.088, 0.26, 0.204, 0.088, 0.0781563126252505]"
10,"[0.07784431137724551, 0.108, 0.19, 0.098, 0.226, 0.126, 0.108, 0.086, 0.204, 0.102, 0.112, 0.092, 0.088, 0.098, 0.082, 0.116, 0.094, 0.174, 0.126, 0.11422845691382766]"
