eigenvector_centrality,"[19, 12, 2, 0]"
0,"[0.11776447105788423, 0.098, 0.094, 0.082, 0.092, 0.148, 0.098, 0.164, 0.134, 0.076, 0.134, 0.084, 0.11, 0.116, 0.098, 0.108, 0.106, 0.088, 0.104, 0.10020040080160321]"
1,"[0.10778443113772455, 0.098, 0.094, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.076, 0.1, 0.084, 0.11, 0.096, 0.098, 0.108, 0.106, 0.114, 0.104, 0.12224448897795591]"
2,"[0.10778443113772455, 0.098, 0.094, 0.082, 0.08, 0.094, 0.116, 0.112, 0.106, 0.076, 0.1, 0.084, 0.11, 0.096, 0.098, 0.108, 0.106, 0.114, 0.104, 0.12224448897795591]"
3,"[0.22954091816367264, 0.098, 0.094, 0.082, 0.08, 0.1, 0.098, 0.112, 0.106, 0.076, 0.1, 0.084, 0.186, 0.096, 0.098, 0.108, 0.106, 0.114, 0.104, 0.1743486973947896]"
4,"[0.21357285429141717, 0.098, 0.094, 0.162, 0.192, 0.122, 0.098, 0.212, 0.106, 0.076, 0.1, 0.084, 0.26, 0.124, 0.232, 0.108, 0.106, 0.224, 0.104, 0.10020040080160321]"
5,"[0.14570858283433133, 0.098, 0.094, 0.124, 0.094, 0.144, 0.098, 0.11, 0.112, 0.076, 0.1, 0.084, 0.098, 0.114, 0.112, 0.108, 0.106, 0.122, 0.104, 0.10220440881763528]"
6,"[0.10778443113772455, 0.13, 0.13, 0.17, 0.178, 0.13, 0.148, 0.166, 0.112, 0.122, 0.112, 0.142, 0.152, 0.144, 0.136, 0.142, 0.142, 0.152, 0.114, 0.1062124248496994]"
7,"[0.18163672654690619, 0.14, 0.162, 0.17, 0.108, 0.168, 0.214, 0.18, 0.168, 0.134, 0.168, 0.16, 0.196, 0.166, 0.166, 0.134, 0.158, 0.14, 0.152, 0.15030060120240482]"
8,"[0.12375249500998003, 0.142, 0.184, 0.166, 0.198, 0.296, 0.164, 0.198, 0.204, 0.154, 0.154, 0.18, 0.176, 0.11, 0.14, 0.174, 0.142, 0.196, 0.162, 0.15430861723446893]"
9,"[0.23952095808383234, 0.248, 0.288, 0.226, 0.164, 0.218, 0.292, 0.292, 0.172, 0.168, 0.28, 0.236, 0.228, 0.208, 0.204, 0.182, 0.282, 0.248, 0.224, 0.23046092184368738]"
10,"[0.21157684630738524, 0.312, 0.24, 0.25, 0.364, 0.414, 0.232, 0.28, 0.25, 0.262, 0.29, 0.258, 0.308, 0.238, 0.354, 0.36, 0.268, 0.222, 0.336, 0.23847695390781562]"
