eigenvector_centrality,[ 9  8  0 12]
0,"[0.07784431137724551, 0.116, 0.142, 0.098, 0.08, 0.114, 0.074, 0.112, 0.106, 0.09, 0.088, 0.092, 0.08, 0.096, 0.13, 0.116, 0.084, 0.104, 0.092, 0.10220440881763528]"
1,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.13, 0.102, 0.126, 0.118, 0.07, 0.096, 0.078, 0.118, 0.08, 0.096, 0.098, 0.08, 0.092, 0.104, 0.092, 0.09018036072144289]"
2,"[0.11776447105788423, 0.082, 0.1, 0.098, 0.09, 0.102, 0.126, 0.118, 0.11, 0.09, 0.086, 0.092, 0.104, 0.076, 0.116, 0.08, 0.092, 0.104, 0.092, 0.09018036072144289]"
3,"[0.11776447105788423, 0.086, 0.1, 0.1, 0.09, 0.102, 0.126, 0.118, 0.11, 0.098, 0.094, 0.118, 0.12, 0.096, 0.116, 0.08, 0.092, 0.092, 0.094, 0.09819639278557114]"
4,"[0.11776447105788423, 0.082, 0.124, 0.082, 0.13, 0.102, 0.126, 0.114, 0.11, 0.09, 0.094, 0.14, 0.11, 0.098, 0.116, 0.08, 0.092, 0.166, 0.102, 0.10420841683366733]"
5,"[0.14570858283433133, 0.086, 0.1, 0.102, 0.08, 0.094, 0.126, 0.196, 0.072, 0.098, 0.078, 0.118, 0.178, 0.098, 0.098, 0.08, 0.092, 0.092, 0.102, 0.12224448897795591]"
6,"[0.1157684630738523, 0.082, 0.104, 0.082, 0.142, 0.102, 0.098, 0.112, 0.07, 0.09, 0.088, 0.088, 0.11, 0.098, 0.116, 0.08, 0.092, 0.092, 0.102, 0.1062124248496994]"
7,"[0.07784431137724551, 0.086, 0.1, 0.1, 0.08, 0.094, 0.104, 0.112, 0.07, 0.098, 0.078, 0.118, 0.142, 0.098, 0.094, 0.082, 0.092, 0.092, 0.102, 0.12224448897795591]"
8,"[0.16966067864271456, 0.082, 0.104, 0.082, 0.128, 0.102, 0.098, 0.164, 0.07, 0.1, 0.078, 0.092, 0.11, 0.198, 0.116, 0.118, 0.092, 0.092, 0.102, 0.10420841683366733]"
9,"[0.07784431137724551, 0.086, 0.1, 0.1, 0.08, 0.094, 0.1, 0.112, 0.07, 0.098, 0.078, 0.118, 0.12, 0.098, 0.092, 0.082, 0.138, 0.092, 0.102, 0.12224448897795591]"
