closeness_centrality,[ 9  8  0 12]
0,"[0.07784431137724551, 0.116, 0.142, 0.098, 0.08, 0.114, 0.074, 0.112, 0.106, 0.09, 0.088, 0.092, 0.08, 0.096, 0.13, 0.116, 0.084, 0.104, 0.092, 0.10220440881763528]"
1,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.13, 0.102, 0.126, 0.118, 0.07, 0.096, 0.078, 0.118, 0.08, 0.096, 0.098, 0.08, 0.092, 0.104, 0.092, 0.09018036072144289]"
2,"[0.11776447105788423, 0.082, 0.1, 0.098, 0.09, 0.102, 0.126, 0.118, 0.11, 0.09, 0.086, 0.092, 0.104, 0.076, 0.116, 0.08, 0.092, 0.104, 0.092, 0.09018036072144289]"
3,"[0.11776447105788423, 0.086, 0.1, 0.1, 0.09, 0.102, 0.126, 0.118, 0.11, 0.098, 0.094, 0.118, 0.12, 0.096, 0.116, 0.08, 0.092, 0.092, 0.094, 0.09819639278557114]"
4,"[0.11776447105788423, 0.082, 0.124, 0.082, 0.13, 0.102, 0.126, 0.114, 0.11, 0.09, 0.094, 0.14, 0.11, 0.098, 0.116, 0.08, 0.092, 0.166, 0.102, 0.10420841683366733]"
5,"[0.14570858283433133, 0.086, 0.1, 0.102, 0.08, 0.094, 0.126, 0.196, 0.072, 0.098, 0.078, 0.118, 0.178, 0.098, 0.098, 0.08, 0.092, 0.092, 0.102, 0.12224448897795591]"
6,"[0.1157684630738523, 0.082, 0.104, 0.082, 0.142, 0.102, 0.098, 0.112, 0.07, 0.09, 0.088, 0.088, 0.11, 0.098, 0.116, 0.08, 0.092, 0.092, 0.102, 0.1062124248496994]"
7,"[0.07784431137724551, 0.086, 0.1, 0.1, 0.08, 0.094, 0.104, 0.112, 0.07, 0.098, 0.078, 0.118, 0.142, 0.098, 0.094, 0.082, 0.092, 0.092, 0.102, 0.12224448897795591]"
8,"[0.16966067864271456, 0.082, 0.104, 0.082, 0.128, 0.102, 0.098, 0.164, 0.07, 0.1, 0.078, 0.092, 0.11, 0.198, 0.116, 0.118, 0.092, 0.092, 0.102, 0.10420841683366733]"
9,"[0.07784431137724551, 0.086, 0.1, 0.1, 0.08, 0.094, 0.1, 0.112, 0.07, 0.098, 0.078, 0.118, 0.12, 0.098, 0.092, 0.082, 0.138, 0.092, 0.102, 0.12224448897795591]"
10,"[0.11976047904191617, 0.082, 0.118, 0.12, 0.186, 0.102, 0.1, 0.094, 0.07, 0.17, 0.078, 0.092, 0.19, 0.126, 0.116, 0.116, 0.092, 0.092, 0.102, 0.10420841683366733]"
11,"[0.07784431137724551, 0.086, 0.1, 0.1, 0.08, 0.15, 0.1, 0.112, 0.07, 0.098, 0.078, 0.118, 0.12, 0.098, 0.092, 0.082, 0.134, 0.092, 0.102, 0.12224448897795591]"
12,"[0.20159680638722555, 0.082, 0.118, 0.1, 0.13, 0.102, 0.1, 0.094, 0.07, 0.094, 0.078, 0.092, 0.12, 0.098, 0.116, 0.116, 0.092, 0.092, 0.102, 0.10420841683366733]"
13,"[0.07784431137724551, 0.086, 0.1, 0.1, 0.13, 0.102, 0.1, 0.226, 0.07, 0.098, 0.078, 0.118, 0.12, 0.098, 0.092, 0.154, 0.134, 0.092, 0.102, 0.12224448897795591]"
14,"[0.1377245508982036, 0.082, 0.118, 0.1, 0.13, 0.102, 0.1, 0.094, 0.07, 0.09, 0.078, 0.092, 0.12, 0.098, 0.116, 0.116, 0.092, 0.092, 0.102, 0.10420841683366733]"
15,"[0.07784431137724551, 0.086, 0.1, 0.1, 0.13, 0.102, 0.1, 0.266, 0.07, 0.098, 0.078, 0.118, 0.12, 0.098, 0.092, 0.132, 0.134, 0.092, 0.102, 0.2124248496993988]"
16,"[0.12974051896207583, 0.082, 0.118, 0.1, 0.13, 0.102, 0.1, 0.094, 0.07, 0.16, 0.078, 0.092, 0.12, 0.098, 0.116, 0.116, 0.092, 0.104, 0.102, 0.10420841683366733]"
17,"[0.07784431137724551, 0.09, 0.1, 0.1, 0.13, 0.102, 0.1, 0.168, 0.07, 0.098, 0.078, 0.16, 0.12, 0.098, 0.092, 0.116, 0.134, 0.092, 0.102, 0.2625250501002004]"
18,"[0.1497005988023952, 0.082, 0.118, 0.1, 0.13, 0.102, 0.1, 0.094, 0.07, 0.168, 0.078, 0.092, 0.12, 0.098, 0.132, 0.116, 0.154, 0.15, 0.102, 0.10420841683366733]"
19,"[0.07784431137724551, 0.12, 0.1, 0.1, 0.128, 0.102, 0.1, 0.118, 0.07, 0.098, 0.078, 0.164, 0.12, 0.098, 0.092, 0.11, 0.134, 0.092, 0.102, 0.11623246492985972]"
20,"[0.11177644710578842, 0.082, 0.118, 0.1, 0.13, 0.108, 0.1, 0.094, 0.07, 0.168, 0.078, 0.092, 0.12, 0.098, 0.114, 0.116, 0.158, 0.104, 0.102, 0.10420841683366733]"
21,"[0.07784431137724551, 0.098, 0.132, 0.1, 0.12, 0.102, 0.1, 0.148, 0.07, 0.098, 0.078, 0.192, 0.12, 0.098, 0.092, 0.116, 0.134, 0.092, 0.1, 0.17635270541082165]"
22,"[0.11976047904191617, 0.082, 0.118, 0.118, 0.13, 0.102, 0.1, 0.094, 0.07, 0.146, 0.078, 0.092, 0.12, 0.098, 0.096, 0.116, 0.12, 0.104, 0.102, 0.10420841683366733]"
23,"[0.07784431137724551, 0.098, 0.136, 0.104, 0.116, 0.102, 0.1, 0.14, 0.07, 0.098, 0.078, 0.148, 0.164, 0.17, 0.092, 0.112, 0.134, 0.092, 0.136, 0.17635270541082165]"
24,"[0.10778443113772455, 0.082, 0.118, 0.152, 0.13, 0.104, 0.1, 0.094, 0.07, 0.13, 0.078, 0.092, 0.12, 0.098, 0.096, 0.116, 0.11, 0.104, 0.108, 0.10420841683366733]"
25,"[0.07784431137724551, 0.098, 0.166, 0.12, 0.096, 0.102, 0.1, 0.116, 0.074, 0.098, 0.078, 0.092, 0.158, 0.154, 0.092, 0.11, 0.134, 0.092, 0.118, 0.16432865731462926]"
26,"[0.10778443113772455, 0.082, 0.118, 0.144, 0.13, 0.108, 0.1, 0.094, 0.07, 0.098, 0.078, 0.092, 0.12, 0.098, 0.096, 0.116, 0.106, 0.142, 0.116, 0.10420841683366733]"
27,"[0.07784431137724551, 0.098, 0.094, 0.15, 0.1, 0.102, 0.098, 0.104, 0.094, 0.098, 0.1, 0.084, 0.128, 0.104, 0.092, 0.128, 0.134, 0.092, 0.104, 0.10020040080160321]"
28,"[0.10778443113772455, 0.082, 0.118, 0.138, 0.136, 0.12, 0.1, 0.096, 0.07, 0.076, 0.078, 0.098, 0.12, 0.098, 0.096, 0.12, 0.106, 0.174, 0.12, 0.10420841683366733]"
29,"[0.07784431137724551, 0.098, 0.094, 0.12, 0.124, 0.102, 0.098, 0.104, 0.116, 0.098, 0.1, 0.084, 0.164, 0.106, 0.092, 0.236, 0.134, 0.092, 0.104, 0.10020040080160321]"
30,"[0.10778443113772455, 0.082, 0.118, 0.1, 0.148, 0.146, 0.118, 0.094, 0.154, 0.076, 0.078, 0.092, 0.144, 0.098, 0.096, 0.144, 0.106, 0.13, 0.102, 0.10420841683366733]"
31,"[0.08383233532934131, 0.098, 0.094, 0.12, 0.13, 0.102, 0.098, 0.104, 0.116, 0.098, 0.096, 0.082, 0.156, 0.112, 0.092, 0.116, 0.134, 0.092, 0.108, 0.10020040080160321]"
32,"[0.10778443113772455, 0.082, 0.118, 0.1, 0.13, 0.112, 0.1, 0.094, 0.09, 0.076, 0.078, 0.092, 0.12, 0.098, 0.1, 0.148, 0.106, 0.114, 0.102, 0.10420841683366733]"
33,"[0.07784431137724551, 0.098, 0.094, 0.128, 0.13, 0.102, 0.098, 0.102, 0.116, 0.098, 0.102, 0.11, 0.15, 0.11, 0.092, 0.116, 0.134, 0.092, 0.136, 0.11623246492985972]"
34,"[0.10778443113772455, 0.082, 0.118, 0.1, 0.13, 0.112, 0.122, 0.094, 0.07, 0.076, 0.078, 0.092, 0.12, 0.098, 0.114, 0.144, 0.106, 0.11, 0.102, 0.10420841683366733]"
35,"[0.07784431137724551, 0.098, 0.094, 0.122, 0.13, 0.102, 0.1, 0.128, 0.116, 0.098, 0.082, 0.092, 0.168, 0.098, 0.092, 0.116, 0.134, 0.092, 0.106, 0.13627254509018036]"
36,"[0.10778443113772455, 0.082, 0.118, 0.1, 0.13, 0.102, 0.146, 0.096, 0.07, 0.076, 0.078, 0.092, 0.12, 0.098, 0.118, 0.114, 0.106, 0.092, 0.118, 0.10420841683366733]"
37,"[0.07784431137724551, 0.098, 0.094, 0.1, 0.13, 0.102, 0.094, 0.122, 0.118, 0.098, 0.108, 0.092, 0.224, 0.106, 0.092, 0.192, 0.186, 0.092, 0.102, 0.13627254509018036]"
38,"[0.10778443113772455, 0.106, 0.122, 0.146, 0.13, 0.13, 0.212, 0.172, 0.07, 0.076, 0.078, 0.146, 0.12, 0.16, 0.24, 0.108, 0.106, 0.132, 0.186, 0.1683366733466934]"
