eigenvector_centrality,"[0, 3, 16, 1]"
0,"[0.11776447105788423, 0.116, 0.094, 0.08, 0.16, 0.102, 0.126, 0.118, 0.11, 0.112, 0.134, 0.09, 0.154, 0.16, 0.092, 0.178, 0.098, 0.098, 0.126, 0.09018036072144289]"
1,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.122, 0.102, 0.126, 0.118, 0.11, 0.098, 0.094, 0.09, 0.08, 0.122, 0.116, 0.146, 0.114, 0.104, 0.104, 0.09619238476953908]"
2,"[0.1536926147704591, 0.086, 0.1, 0.114, 0.138, 0.102, 0.126, 0.118, 0.112, 0.108, 0.112, 0.094, 0.08, 0.096, 0.082, 0.08, 0.092, 0.138, 0.11, 0.11422845691382766]"
3,"[0.1497005988023952, 0.08, 0.158, 0.098, 0.122, 0.176, 0.194, 0.15, 0.112, 0.108, 0.19, 0.094, 0.08, 0.216, 0.148, 0.188, 0.118, 0.146, 0.146, 0.13627254509018036]"
4,"[0.10978043912175649, 0.166, 0.128, 0.134, 0.124, 0.096, 0.274, 0.224, 0.122, 0.172, 0.184, 0.2, 0.118, 0.136, 0.176, 0.098, 0.16, 0.132, 0.158, 0.17234468937875752]"
5,"[0.07784431137724551, 0.154, 0.13, 0.166, 0.102, 0.19, 0.166, 0.178, 0.212, 0.094, 0.104, 0.114, 0.174, 0.12, 0.136, 0.108, 0.118, 0.082, 0.122, 0.15831663326653306]"
6,"[0.07784431137724551, 0.142, 0.118, 0.14, 0.146, 0.166, 0.108, 0.134, 0.102, 0.106, 0.138, 0.126, 0.13, 0.15, 0.104, 0.228, 0.176, 0.088, 0.186, 0.1402805611222445]"
7,"[0.21956087824351297, 0.134, 0.184, 0.296, 0.306, 0.188, 0.268, 0.252, 0.174, 0.186, 0.354, 0.172, 0.218, 0.136, 0.312, 0.18, 0.178, 0.2, 0.194, 0.20040080160320642]"
8,"[0.16367265469061876, 0.268, 0.356, 0.304, 0.196, 0.206, 0.258, 0.268, 0.276, 0.342, 0.288, 0.274, 0.26, 0.316, 0.236, 0.27, 0.412, 0.284, 0.282, 0.2625250501002004]"
9,"[0.21956087824351297, 0.23, 0.282, 0.192, 0.28, 0.286, 0.296, 0.368, 0.29, 0.262, 0.292, 0.308, 0.228, 0.312, 0.27, 0.254, 0.264, 0.35, 0.258, 0.3466933867735471]"
10,"[0.24750499001996007, 0.208, 0.304, 0.21, 0.218, 0.194, 0.232, 0.298, 0.182, 0.3, 0.25, 0.3, 0.224, 0.292, 0.298, 0.322, 0.388, 0.352, 0.282, 0.36072144288577157]"
11,"[0.4151696606786427, 0.282, 0.214, 0.226, 0.366, 0.154, 0.154, 0.218, 0.24, 0.242, 0.32, 0.314, 0.168, 0.41, 0.308, 0.212, 0.272, 0.272, 0.434, 0.2625250501002004]"
12,"[0.3393213572854291, 0.226, 0.298, 0.15, 0.27, 0.278, 0.284, 0.366, 0.314, 0.368, 0.172, 0.288, 0.29, 0.278, 0.352, 0.352, 0.378, 0.34, 0.344, 0.3867735470941884]"
13,"[0.4091816367265469, 0.29, 0.304, 0.228, 0.386, 0.186, 0.198, 0.232, 0.282, 0.276, 0.406, 0.386, 0.246, 0.41, 0.42, 0.16, 0.224, 0.33, 0.46, 0.2865731462925852]"
