eigenvector_centrality,"[0, 30, 19]"
0,"[0.08945686900958466, 0.07348242811501597, 0.09904153354632587, 0.13738019169329074, 0.07987220447284345, 0.0926517571884984, 0.1182108626198083, 0.08306709265175719, 0.1597444089456869, 0.1853035143769968, 0.08626198083067092, 0.134185303514377, 0.08945686900958466, 0.18849840255591055, 0.14696485623003194, 0.11182108626198083, 0.125, 0.09615384615384616, 0.08333333333333333, 0.09935897435897435, 0.05448717948717949, 0.11538461538461539, 0.09615384615384616, 0.08333333333333333, 0.07371794871794872, 0.11538461538461539, 0.15064102564102563, 0.09294871794871795, 0.09615384615384616, 0.10256410256410256, 0.11858974358974358, 0.08653846153846154]"
1,"[0.0926517571884984, 0.07348242811501597, 0.054313099041533544, 0.08626198083067092, 0.10223642172523961, 0.0926517571884984, 0.09904153354632587, 0.12460063897763578, 0.10862619808306709, 0.08945686900958466, 0.10862619808306709, 0.07667731629392971, 0.10223642172523961, 0.07028753993610223, 0.11501597444089456, 0.10543130990415335, 0.125, 0.07692307692307693, 0.10576923076923077, 0.09935897435897435, 0.10897435897435898, 0.11538461538461539, 0.0673076923076923, 0.10256410256410256, 0.10256410256410256, 0.11538461538461539, 0.08333333333333333, 0.11858974358974358, 0.09615384615384616, 0.10256410256410256, 0.10256410256410256, 0.09935897435897435]"
2,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.13738019169329074, 0.07987220447284345, 0.09904153354632587, 0.13099041533546327, 0.10862619808306709, 0.09904153354632587, 0.12140575079872204, 0.13099041533546327, 0.07348242811501597, 0.08945686900958466, 0.10223642172523961, 0.09904153354632587, 0.07348242811501597, 0.125, 0.09615384615384616, 0.08333333333333333, 0.08012820512820513, 0.10897435897435898, 0.09294871794871795, 0.09615384615384616, 0.10256410256410256, 0.11217948717948718, 0.12179487179487179, 0.08333333333333333, 0.10256410256410256, 0.09615384615384616, 0.10256410256410256, 0.09615384615384616, 0.09935897435897435]"
3,"[0.0926517571884984, 0.07348242811501597, 0.054313099041533544, 0.08626198083067092, 0.07987220447284345, 0.0926517571884984, 0.09904153354632587, 0.12460063897763578, 0.10862619808306709, 0.09904153354632587, 0.13099041533546327, 0.07348242811501597, 0.13738019169329074, 0.10223642172523961, 0.11501597444089456, 0.07028753993610223, 0.125, 0.07692307692307693, 0.10576923076923077, 0.09935897435897435, 0.10897435897435898, 0.09935897435897435, 0.0673076923076923, 0.10897435897435898, 0.10256410256410256, 0.11538461538461539, 0.08333333333333333, 0.11858974358974358, 0.09615384615384616, 0.10897435897435898, 0.10256410256410256, 0.09935897435897435]"
4,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.09904153354632587, 0.09904153354632587, 0.10862619808306709, 0.11501597444089456, 0.12140575079872204, 0.13099041533546327, 0.07348242811501597, 0.08945686900958466, 0.10862619808306709, 0.09904153354632587, 0.07348242811501597, 0.125, 0.07692307692307693, 0.10576923076923077, 0.08653846153846154, 0.10897435897435898, 0.09294871794871795, 0.09615384615384616, 0.10256410256410256, 0.07371794871794872, 0.12179487179487179, 0.08333333333333333, 0.08333333333333333, 0.09615384615384616, 0.10256410256410256, 0.09615384615384616, 0.09935897435897435]"
5,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.0926517571884984, 0.09904153354632587, 0.10862619808306709, 0.11501597444089456, 0.09904153354632587, 0.13099041533546327, 0.07348242811501597, 0.13738019169329074, 0.10223642172523961, 0.07987220447284345, 0.07028753993610223, 0.125, 0.07692307692307693, 0.10576923076923077, 0.08653846153846154, 0.10897435897435898, 0.09294871794871795, 0.09615384615384616, 0.10897435897435898, 0.10256410256410256, 0.11538461538461539, 0.08333333333333333, 0.11858974358974358, 0.09615384615384616, 0.10897435897435898, 0.10256410256410256, 0.09935897435897435]"
6,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.0926517571884984, 0.09904153354632587, 0.10862619808306709, 0.11501597444089456, 0.09584664536741214, 0.13099041533546327, 0.07348242811501597, 0.13738019169329074, 0.10862619808306709, 0.09904153354632587, 0.07348242811501597, 0.125, 0.07692307692307693, 0.10576923076923077, 0.08653846153846154, 0.10897435897435898, 0.09294871794871795, 0.09615384615384616, 0.10897435897435898, 0.10256410256410256, 0.12179487179487179, 0.08333333333333333, 0.08012820512820513, 0.09615384615384616, 0.10256410256410256, 0.09294871794871795, 0.09935897435897435]"
7,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.0926517571884984, 0.09904153354632587, 0.10862619808306709, 0.11501597444089456, 0.09904153354632587, 0.13099041533546327, 0.07028753993610223, 0.13738019169329074, 0.07987220447284345, 0.09904153354632587, 0.07028753993610223, 0.125, 0.07692307692307693, 0.10576923076923077, 0.08653846153846154, 0.10897435897435898, 0.09294871794871795, 0.09615384615384616, 0.10897435897435898, 0.10256410256410256, 0.11858974358974358, 0.08333333333333333, 0.11858974358974358, 0.08653846153846154, 0.10897435897435898, 0.10256410256410256, 0.09935897435897435]"
8,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.08945686900958466, 0.09904153354632587, 0.10862619808306709, 0.11501597444089456, 0.0926517571884984, 0.13099041533546327, 0.07348242811501597, 0.13738019169329074, 0.10862619808306709, 0.09904153354632587, 0.051118210862619806, 0.125, 0.07051282051282051, 0.10576923076923077, 0.08653846153846154, 0.10897435897435898, 0.09294871794871795, 0.09615384615384616, 0.09935897435897435, 0.0673076923076923, 0.12179487179487179, 0.08333333333333333, 0.08653846153846154, 0.09615384615384616, 0.10256410256410256, 0.08653846153846154, 0.09935897435897435]"
9,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.0926517571884984, 0.09904153354632587, 0.10862619808306709, 0.09904153354632587, 0.09904153354632587, 0.13099041533546327, 0.07987220447284345, 0.13738019169329074, 0.06389776357827476, 0.09584664536741214, 0.07028753993610223, 0.10256410256410256, 0.07692307692307693, 0.10576923076923077, 0.09294871794871795, 0.10897435897435898, 0.0673076923076923, 0.07692307692307693, 0.10897435897435898, 0.10256410256410256, 0.11538461538461539, 0.09294871794871795, 0.11858974358974358, 0.07051282051282051, 0.10897435897435898, 0.10256410256410256, 0.09935897435897435]"
