eigenvector_centrality,"[0, 30, 19]"
0,"[0.0926517571884984, 0.07348242811501597, 0.14057507987220447, 0.10862619808306709, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.08306709265175719, 0.11501597444089456, 0.0670926517571885, 0.13099041533546327, 0.12140575079872204, 0.08945686900958466, 0.10223642172523961, 0.1182108626198083, 0.10543130990415335, 0.125, 0.09935897435897435, 0.08333333333333333, 0.15384615384615385, 0.14423076923076922, 0.10576923076923077, 0.22435897435897437, 0.08974358974358974, 0.10256410256410256, 0.12179487179487179, 0.09935897435897435, 0.07051282051282051, 0.09615384615384616, 0.11217948717948718, 0.10256410256410256, 0.125]"
1,"[0.0926517571884984, 0.10543130990415335, 0.09904153354632587, 0.10543130990415335, 0.09904153354632587, 0.09584664536741214, 0.06389776357827476, 0.08306709265175719, 0.11501597444089456, 0.11182108626198083, 0.0926517571884984, 0.07348242811501597, 0.10223642172523961, 0.10223642172523961, 0.09904153354632587, 0.12140575079872204, 0.125, 0.07692307692307693, 0.09615384615384616, 0.10576923076923077, 0.1346153846153846, 0.08974358974358974, 0.09615384615384616, 0.08974358974358974, 0.10256410256410256, 0.12179487179487179, 0.08333333333333333, 0.10256410256410256, 0.09615384615384616, 0.10576923076923077, 0.10256410256410256, 0.11858974358974358]"
2,"[0.0926517571884984, 0.10862619808306709, 0.09904153354632587, 0.10543130990415335, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.08306709265175719, 0.11501597444089456, 0.09904153354632587, 0.13099041533546327, 0.12140575079872204, 0.13738019169329074, 0.10223642172523961, 0.1182108626198083, 0.12140575079872204, 0.125, 0.09935897435897435, 0.10576923076923077, 0.09294871794871795, 0.11858974358974358, 0.10576923076923077, 0.09615384615384616, 0.08974358974358974, 0.10256410256410256, 0.12179487179487179, 0.08333333333333333, 0.11858974358974358, 0.09615384615384616, 0.10897435897435898, 0.10256410256410256, 0.11858974358974358]"
3,"[0.0926517571884984, 0.10543130990415335, 0.09904153354632587, 0.10543130990415335, 0.09904153354632587, 0.09584664536741214, 0.06389776357827476, 0.08306709265175719, 0.11501597444089456, 0.07667731629392971, 0.13099041533546327, 0.07348242811501597, 0.10223642172523961, 0.10862619808306709, 0.09904153354632587, 0.12140575079872204, 0.125, 0.07692307692307693, 0.10576923076923077, 0.016025641025641024, 0.10897435897435898, 0.08974358974358974, 0.09615384615384616, 0.08974358974358974, 0.10256410256410256, 0.12179487179487179, 0.08333333333333333, 0.07371794871794872, 0.09615384615384616, 0.07051282051282051, 0.10256410256410256, 0.05128205128205128]"
4,"[0.012779552715654952, 0.03514376996805112, 0.09904153354632587, 0.022364217252396165, 0.07987220447284345, 0.05750798722044728, 0.038338658146964855, 0.08306709265175719, 0.11501597444089456, 0.09904153354632587, 0.13099041533546327, 0.12140575079872204, 0.13738019169329074, 0.10223642172523961, 0.1182108626198083, 0.07028753993610223, 0.125, 0.09935897435897435, 0.10576923076923077, 0.08333333333333333, 0.016025641025641024, 0.10576923076923077, 0.09615384615384616, 0.022435897435897436, 0.10256410256410256, 0.12179487179487179, 0.08333333333333333, 0.11858974358974358, 0.09615384615384616, 0.0641025641025641, 0.10256410256410256, 0.11858974358974358]"
5,"[0.0926517571884984, 0.10543130990415335, 0.038338658146964855, 0.10543130990415335, 0.009584664536741214, 0.09584664536741214, 0.06389776357827476, 0.06070287539936102, 0.07667731629392971, 0.08945686900958466, 0.13099041533546327, 0.06070287539936102, 0.13738019169329074, 0.07348242811501597, 0.09904153354632587, 0.12140575079872204, 0.016025641025641024, 0.07692307692307693, 0.10576923076923077, 0.003205128205128205, 0.10897435897435898, 0.08974358974358974, 0.05128205128205128, 0.08974358974358974, 0.10256410256410256, 0.12179487179487179, 0.08333333333333333, 0.11858974358974358, 0.0641025641025641, 0.10897435897435898, 0.10256410256410256, 0.09935897435897435]"
6,"[0.054313099041533544, 0.07348242811501597, 0.09904153354632587, 0.08306709265175719, 0.07987220447284345, 0.006389776357827476, 0.09904153354632587, 0.08306709265175719, 0.11501597444089456, 0.009584664536741214, 0.04153354632587859, 0.07028753993610223, 0.003194888178913738, 0.10223642172523961, 0.06070287539936102, 0.05750798722044728, 0.125, 0.0641025641025641, 0.01282051282051282, 0.08653846153846154, 0.10576923076923077, 0.09294871794871795, 0.09615384615384616, 0.01282051282051282, 0.08012820512820513, 0.12179487179487179, 0.08333333333333333, 0.038461538461538464, 0.09615384615384616, 0.02564102564102564, 0.05128205128205128, 0.09935897435897435]"
7,"[0.0926517571884984, 0.10543130990415335, 0.0926517571884984, 0.08626198083067092, 0.04153354632587859, 0.0926517571884984, 0.09904153354632587, 0.10223642172523961, 0.022364217252396165, 0.09904153354632587, 0.13099041533546327, 0.0, 0.13738019169329074, 0.009584664536741214, 0.006389776357827476, 0.12140575079872204, 0.016025641025641024, 0.07692307692307693, 0.10576923076923077, 0.035256410256410256, 0.10897435897435898, 0.05448717948717949, 0.02564102564102564, 0.10897435897435898, 0.10256410256410256, 0.01282051282051282, 0.009615384615384616, 0.11858974358974358, 0.0, 0.10897435897435898, 0.10256410256410256, 0.016025641025641024]"
8,"[0.10223642172523961, 0.07348242811501597, 0.09904153354632587, 0.08945686900958466, 0.07987220447284345, 0.07667731629392971, 0.09904153354632587, 0.10862619808306709, 0.11501597444089456, 0.051118210862619806, 0.06070287539936102, 0.07348242811501597, 0.06070287539936102, 0.10862619808306709, 0.09904153354632587, 0.012779552715654952, 0.125, 0.09935897435897435, 0.041666666666666664, 0.08653846153846154, 0.11538461538461539, 0.09294871794871795, 0.09615384615384616, 0.016025641025641024, 0.009615384615384616, 0.12179487179487179, 0.08333333333333333, 0.019230769230769232, 0.09615384615384616, 0.060897435897435896, 0.009615384615384616, 0.09935897435897435]"
