eigenvector_centrality,"[0, 7, 25, 30, 16, 23]"
0,"[0.09904153354632587, 0.10862619808306709, 0.14057507987220447, 0.08626198083067092, 0.134185303514377, 0.08306709265175719, 0.09584664536741214, 0.07987220447284345, 0.10223642172523961, 0.12140575079872204, 0.09584664536741214, 0.10543130990415335, 0.11182108626198083, 0.10223642172523961, 0.13099041533546327, 0.09904153354632587, 0.07692307692307693, 0.09615384615384616, 0.10256410256410256, 0.11217948717948718, 0.09935897435897435, 0.1346153846153846, 0.08012820512820513, 0.1282051282051282, 0.08333333333333333, 0.08974358974358974, 0.11217948717948718, 0.09935897435897435, 0.08012820512820513, 0.08653846153846154, 0.09615384615384616, 0.125]"
1,"[0.08945686900958466, 0.10543130990415335, 0.09904153354632587, 0.10543130990415335, 0.134185303514377, 0.054313099041533544, 0.09584664536741214, 0.0670926517571885, 0.12460063897763578, 0.12140575079872204, 0.08306709265175719, 0.134185303514377, 0.08945686900958466, 0.10223642172523961, 0.10543130990415335, 0.07348242811501597, 0.07692307692307693, 0.09935897435897435, 0.10256410256410256, 0.08974358974358974, 0.10576923076923077, 0.05128205128205128, 0.125, 0.09615384615384616, 0.10897435897435898, 0.08974358974358974, 0.09294871794871795, 0.10256410256410256, 0.1282051282051282, 0.11538461538461539, 0.09615384615384616, 0.09294871794871795]"
2,"[0.08945686900958466, 0.10862619808306709, 0.051118210862619806, 0.13738019169329074, 0.09904153354632587, 0.08306709265175719, 0.09584664536741214, 0.07348242811501597, 0.10223642172523961, 0.09584664536741214, 0.08306709265175719, 0.10543130990415335, 0.09904153354632587, 0.10223642172523961, 0.11501597444089456, 0.09904153354632587, 0.07692307692307693, 0.10897435897435898, 0.10256410256410256, 0.11217948717948718, 0.08333333333333333, 0.09935897435897435, 0.0673076923076923, 0.10256410256410256, 0.10897435897435898, 0.08974358974358974, 0.14743589743589744, 0.10256410256410256, 0.09615384615384616, 0.11538461538461539, 0.09615384615384616, 0.125]"
3,"[0.08945686900958466, 0.08306709265175719, 0.054313099041533544, 0.13738019169329074, 0.0, 0.07667731629392971, 0.03514376996805112, 0.12460063897763578, 0.10223642172523961, 0.11501597444089456, 0.07987220447284345, 0.134185303514377, 0.08945686900958466, 0.0926517571884984, 0.07028753993610223, 0.07348242811501597, 0.11858974358974358, 0.09935897435897435, 0.08333333333333333, 0.09935897435897435, 0.12179487179487179, 0.09615384615384616, 0.125, 0.10256410256410256, 0.11538461538461539, 0.10576923076923077, 0.14743589743589744, 0.10256410256410256, 0.05128205128205128, 0.11538461538461539, 0.11858974358974358, 0.09294871794871795]"
4,"[0.08945686900958466, 0.08306709265175719, 0.054313099041533544, 0.13738019169329074, 0.12779552715654952, 0.04472843450479233, 0.13099041533546327, 0.09904153354632587, 0.10543130990415335, 0.09584664536741214, 0.08306709265175719, 0.134185303514377, 0.06070287539936102, 0.10223642172523961, 0.11501597444089456, 0.09904153354632587, 0.08333333333333333, 0.10897435897435898, 0.08333333333333333, 0.09935897435897435, 0.08333333333333333, 0.09935897435897435, 0.0673076923076923, 0.10256410256410256, 0.13141025641025642, 0.10576923076923077, 0.14743589743589744, 0.10256410256410256, 0.09615384615384616, 0.11538461538461539, 0.10256410256410256, 0.125]"
5,"[0.04792332268370607, 0.06070287539936102, 0.054313099041533544, 0.13738019169329074, 0.09584664536741214, 0.08626198083067092, 0.07348242811501597, 0.12460063897763578, 0.10223642172523961, 0.11501597444089456, 0.07348242811501597, 0.134185303514377, 0.08945686900958466, 0.0926517571884984, 0.07028753993610223, 0.07348242811501597, 0.08333333333333333, 0.09615384615384616, 0.08333333333333333, 0.09935897435897435, 0.12179487179487179, 0.09935897435897435, 0.0673076923076923, 0.09615384615384616, 0.13141025641025642, 0.10576923076923077, 0.14743589743589744, 0.10256410256410256, 0.07692307692307693, 0.11538461538461539, 0.09615384615384616, 0.09294871794871795]"
6,"[0.08945686900958466, 0.08306709265175719, 0.054313099041533544, 0.13738019169329074, 0.03514376996805112, 0.09904153354632587, 0.13099041533546327, 0.07987220447284345, 0.10223642172523961, 0.09584664536741214, 0.08306709265175719, 0.134185303514377, 0.06070287539936102, 0.10223642172523961, 0.11501597444089456, 0.09904153354632587, 0.08333333333333333, 0.10897435897435898, 0.08333333333333333, 0.09935897435897435, 0.12179487179487179, 0.0641025641025641, 0.0641025641025641, 0.10256410256410256, 0.13141025641025642, 0.10576923076923077, 0.14743589743589744, 0.10256410256410256, 0.09615384615384616, 0.08974358974358974, 0.13141025641025642, 0.09294871794871795]"
7,"[0.05750798722044728, 0.08306709265175719, 0.054313099041533544, 0.13738019169329074, 0.09584664536741214, 0.09904153354632587, 0.08306709265175719, 0.12460063897763578, 0.10223642172523961, 0.09584664536741214, 0.08306709265175719, 0.134185303514377, 0.08945686900958466, 0.0926517571884984, 0.07028753993610223, 0.07348242811501597, 0.11858974358974358, 0.09615384615384616, 0.08333333333333333, 0.09935897435897435, 0.12179487179487179, 0.11538461538461539, 0.0673076923076923, 0.10256410256410256, 0.13141025641025642, 0.10576923076923077, 0.14743589743589744, 0.10256410256410256, 0.07692307692307693, 0.09294871794871795, 0.09615384615384616, 0.09294871794871795]"
8,"[0.08945686900958466, 0.08306709265175719, 0.054313099041533544, 0.13738019169329074, 0.06389776357827476, 0.09904153354632587, 0.13099041533546327, 0.12140575079872204, 0.0926517571884984, 0.09584664536741214, 0.08306709265175719, 0.134185303514377, 0.06070287539936102, 0.09584664536741214, 0.11501597444089456, 0.09904153354632587, 0.08012820512820513, 0.09615384615384616, 0.08333333333333333, 0.09935897435897435, 0.12179487179487179, 0.11538461538461539, 0.0673076923076923, 0.10256410256410256, 0.13141025641025642, 0.10576923076923077, 0.14743589743589744, 0.10256410256410256, 0.09615384615384616, 0.08974358974358974, 0.13141025641025642, 0.09294871794871795]"
9,"[0.08626198083067092, 0.08306709265175719, 0.054313099041533544, 0.12779552715654952, 0.09584664536741214, 0.09904153354632587, 0.09904153354632587, 0.12460063897763578, 0.10223642172523961, 0.09584664536741214, 0.03514376996805112, 0.134185303514377, 0.08306709265175719, 0.0926517571884984, 0.07028753993610223, 0.07667731629392971, 0.08333333333333333, 0.09615384615384616, 0.08333333333333333, 0.09935897435897435, 0.12179487179487179, 0.11538461538461539, 0.0673076923076923, 0.10256410256410256, 0.1282051282051282, 0.10576923076923077, 0.14743589743589744, 0.10256410256410256, 0.07692307692307693, 0.08974358974358974, 0.13141025641025642, 0.09294871794871795]"
10,"[0.08945686900958466, 0.08306709265175719, 0.03514376996805112, 0.13738019169329074, 0.08945686900958466, 0.09904153354632587, 0.13099041533546327, 0.07348242811501597, 0.07028753993610223, 0.09584664536741214, 0.08306709265175719, 0.10223642172523961, 0.06070287539936102, 0.08306709265175719, 0.019169329073482427, 0.09904153354632587, 0.08333333333333333, 0.09615384615384616, 0.08333333333333333, 0.09935897435897435, 0.12179487179487179, 0.11538461538461539, 0.035256410256410256, 0.10256410256410256, 0.13141025641025642, 0.10576923076923077, 0.08333333333333333, 0.10256410256410256, 0.10256410256410256, 0.08974358974358974, 0.13141025641025642, 0.08333333333333333]"
11,"[0.04472843450479233, 0.08306709265175719, 0.054313099041533544, 0.07667731629392971, 0.09584664536741214, 0.08306709265175719, 0.019169329073482427, 0.12460063897763578, 0.10223642172523961, 0.0670926517571885, 0.07028753993610223, 0.134185303514377, 0.012779552715654952, 0.0926517571884984, 0.07028753993610223, 0.03514376996805112, 0.08333333333333333, 0.09615384615384616, 0.0641025641025641, 0.09935897435897435, 0.07692307692307693, 0.11538461538461539, 0.0673076923076923, 0.09615384615384616, 0.04487179487179487, 0.10576923076923077, 0.14743589743589744, 0.08653846153846154, 0.07692307692307693, 0.08333333333333333, 0.04487179487179487, 0.09294871794871795]"
