eigenvector_centrality,"[0, 7, 25, 30, 16, 23]"
0,"[0.08945686900958466, 0.10862619808306709, 0.11501597444089456, 0.12779552715654952, 0.134185303514377, 0.12140575079872204, 0.12140575079872204, 0.23003194888178913, 0.12460063897763578, 0.11182108626198083, 0.11182108626198083, 0.13099041533546327, 0.09904153354632587, 0.10223642172523961, 0.11501597444089456, 0.07348242811501597, 0.1346153846153846, 0.13141025641025642, 0.1346153846153846, 0.1346153846153846, 0.1794871794871795, 0.0673076923076923, 0.08974358974358974, 0.20512820512820512, 0.12179487179487179, 0.07371794871794872, 0.13782051282051283, 0.10576923076923077, 0.0673076923076923, 0.07051282051282051, 0.11858974358974358, 0.11858974358974358]"
1,"[0.11182108626198083, 0.10862619808306709, 0.11501597444089456, 0.0926517571884984, 0.134185303514377, 0.1182108626198083, 0.12140575079872204, 0.08306709265175719, 0.12460063897763578, 0.08945686900958466, 0.11501597444089456, 0.13099041533546327, 0.09904153354632587, 0.09904153354632587, 0.11501597444089456, 0.10223642172523961, 0.060897435897435896, 0.09935897435897435, 0.10576923076923077, 0.11858974358974358, 0.05448717948717949, 0.10576923076923077, 0.09615384615384616, 0.08974358974358974, 0.07371794871794872, 0.10256410256410256, 0.07692307692307693, 0.10576923076923077, 0.0673076923076923, 0.07051282051282051, 0.12179487179487179, 0.11858974358974358]"
2,"[0.08945686900958466, 0.04153354632587859, 0.09904153354632587, 0.1182108626198083, 0.134185303514377, 0.09904153354632587, 0.09584664536741214, 0.08306709265175719, 0.12460063897763578, 0.1182108626198083, 0.09584664536741214, 0.13099041533546327, 0.09904153354632587, 0.09904153354632587, 0.11501597444089456, 0.08945686900958466, 0.1346153846153846, 0.09294871794871795, 0.1346153846153846, 0.10897435897435898, 0.08974358974358974, 0.10897435897435898, 0.038461538461538464, 0.08974358974358974, 0.12179487179487179, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.0673076923076923, 0.08974358974358974, 0.07051282051282051, 0.11858974358974358]"
3,"[0.0, 0.10862619808306709, 0.09904153354632587, 0.10862619808306709, 0.134185303514377, 0.03194888178913738, 0.09584664536741214, 0.09584664536741214, 0.12460063897763578, 0.07667731629392971, 0.0926517571884984, 0.04792332268370607, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.10223642172523961, 0.060897435897435896, 0.09935897435897435, 0.10256410256410256, 0.11858974358974358, 0.05448717948717949, 0.10576923076923077, 0.11538461538461539, 0.1282051282051282, 0.07371794871794872, 0.10256410256410256, 0.07692307692307693, 0.10576923076923077, 0.0673076923076923, 0.07051282051282051, 0.12179487179487179, 0.11858974358974358]"
4,"[0.08945686900958466, 0.022364217252396165, 0.05750798722044728, 0.1182108626198083, 0.134185303514377, 0.09904153354632587, 0.09584664536741214, 0.08306709265175719, 0.12460063897763578, 0.1182108626198083, 0.09584664536741214, 0.12779552715654952, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.10543130990415335, 0.1346153846153846, 0.09294871794871795, 0.11858974358974358, 0.016025641025641024, 0.08974358974358974, 0.09615384615384616, 0.08974358974358974, 0.07051282051282051, 0.12179487179487179, 0.003205128205128205, 0.07692307692307693, 0.08333333333333333, 0.0673076923076923, 0.08974358974358974, 0.07051282051282051, 0.11858974358974358]"
5,"[0.019169329073482427, 0.10862619808306709, 0.09904153354632587, 0.05750798722044728, 0.134185303514377, 0.09904153354632587, 0.07348242811501597, 0.09584664536741214, 0.12460063897763578, 0.006389776357827476, 0.038338658146964855, 0.09584664536741214, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.0926517571884984, 0.060897435897435896, 0.09935897435897435, 0.125, 0.11538461538461539, 0.009615384615384616, 0.10576923076923077, 0.11538461538461539, 0.08974358974358974, 0.02564102564102564, 0.10256410256410256, 0.10897435897435898, 0.05128205128205128, 0.0673076923076923, 0.08974358974358974, 0.12179487179487179, 0.08012820512820513]"
6,"[0.08945686900958466, 0.003194888178913738, 0.054313099041533544, 0.1182108626198083, 0.134185303514377, 0.09904153354632587, 0.09584664536741214, 0.08306709265175719, 0.05750798722044728, 0.1182108626198083, 0.09584664536741214, 0.006389776357827476, 0.09904153354632587, 0.09904153354632587, 0.022364217252396165, 0.054313099041533544, 0.0, 0.09294871794871795, 0.11858974358974358, 0.003205128205128205, 0.08974358974358974, 0.01282051282051282, 0.016025641025641024, 0.07051282051282051, 0.12179487179487179, 0.003205128205128205, 0.00641025641025641, 0.10576923076923077, 0.11858974358974358, 0.08974358974358974, 0.07051282051282051, 0.09935897435897435]"
7,"[0.006389776357827476, 0.10862619808306709, 0.09904153354632587, 0.06389776357827476, 0.134185303514377, 0.09904153354632587, 0.02875399361022364, 0.0, 0.08306709265175719, 0.003194888178913738, 0.02875399361022364, 0.01597444089456869, 0.09904153354632587, 0.07028753993610223, 0.10543130990415335, 0.10543130990415335, 0.060897435897435896, 0.05128205128205128, 0.09294871794871795, 0.11538461538461539, 0.08974358974358974, 0.10576923076923077, 0.11538461538461539, 0.07051282051282051, 0.022435897435897436, 0.10256410256410256, 0.00641025641025641, 0.022435897435897436, 0.03205128205128205, 0.003205128205128205, 0.019230769230769232, 0.01282051282051282]"
8,"[0.03514376996805112, 0.003194888178913738, 0.03194888178913738, 0.01597444089456869, 0.01597444089456869, 0.019169329073482427, 0.09584664536741214, 0.006389776357827476, 0.003194888178913738, 0.11182108626198083, 0.10543130990415335, 0.022364217252396165, 0.12460063897763578, 0.04153354632587859, 0.04792332268370607, 0.10223642172523961, 0.00641025641025641, 0.09294871794871795, 0.11858974358974358, 0.028846153846153848, 0.08974358974358974, 0.003205128205128205, 0.07371794871794872, 0.1282051282051282, 0.08653846153846154, 0.003205128205128205, 0.00641025641025641, 0.022435897435897436, 0.03205128205128205, 0.08653846153846154, 0.08653846153846154, 0.019230769230769232]"
