eigenvector_centrality,[31 30 29 28 27 26]
0,"[0.07348242811501597, 0.09904153354632587, 0.13099041533546327, 0.0926517571884984, 0.07987220447284345, 0.0926517571884984, 0.09904153354632587, 0.08306709265175719, 0.14057507987220447, 0.09904153354632587, 0.13099041533546327, 0.134185303514377, 0.09904153354632587, 0.10862619808306709, 0.10543130990415335, 0.09904153354632587, 0.08653846153846154, 0.13782051282051283, 0.1346153846153846, 0.08653846153846154, 0.10576923076923077, 0.09294871794871795, 0.1282051282051282, 0.10897435897435898, 0.16666666666666666, 0.11538461538461539, 0.09294871794871795, 0.08653846153846154, 0.09615384615384616, 0.07051282051282051, 0.20192307692307693, 0.09935897435897435]"
1,"[0.09904153354632587, 0.11182108626198083, 0.09904153354632587, 0.10543130990415335, 0.07987220447284345, 0.08945686900958466, 0.08945686900958466, 0.10862619808306709, 0.10862619808306709, 0.08945686900958466, 0.08626198083067092, 0.0670926517571885, 0.10223642172523961, 0.10223642172523961, 0.09904153354632587, 0.09904153354632587, 0.07692307692307693, 0.09935897435897435, 0.10576923076923077, 0.0641025641025641, 0.10897435897435898, 0.10576923076923077, 0.09615384615384616, 0.08974358974358974, 0.0673076923076923, 0.07371794871794872, 0.08333333333333333, 0.08333333333333333, 0.11858974358974358, 0.07051282051282051, 0.10256410256410256, 0.11858974358974358]"
2,"[0.0670926517571885, 0.04792332268370607, 0.14057507987220447, 0.08626198083067092, 0.07987220447284345, 0.0926517571884984, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.08945686900958466, 0.13099041533546327, 0.04153354632587859, 0.13738019169329074, 0.10223642172523961, 0.09904153354632587, 0.07028753993610223, 0.07692307692307693, 0.09935897435897435, 0.10576923076923077, 0.11217948717948718, 0.09615384615384616, 0.10576923076923077, 0.09615384615384616, 0.10897435897435898, 0.08333333333333333, 0.07371794871794872, 0.07692307692307693, 0.12179487179487179, 0.11858974358974358, 0.07051282051282051, 0.10256410256410256, 0.11858974358974358]"
3,"[0.09904153354632587, 0.07348242811501597, 0.09904153354632587, 0.10543130990415335, 0.07987220447284345, 0.09584664536741214, 0.06389776357827476, 0.10862619808306709, 0.11501597444089456, 0.08945686900958466, 0.0926517571884984, 0.07348242811501597, 0.13738019169329074, 0.04153354632587859, 0.09904153354632587, 0.12140575079872204, 0.0673076923076923, 0.09935897435897435, 0.10256410256410256, 0.08653846153846154, 0.10897435897435898, 0.10576923076923077, 0.09615384615384616, 0.08974358974358974, 0.08333333333333333, 0.07371794871794872, 0.08333333333333333, 0.10576923076923077, 0.11858974358974358, 0.07051282051282051, 0.10256410256410256, 0.09935897435897435]"
4,"[0.0926517571884984, 0.10862619808306709, 0.14057507987220447, 0.08626198083067092, 0.03514376996805112, 0.0926517571884984, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.08945686900958466, 0.13099041533546327, 0.12140575079872204, 0.13738019169329074, 0.10223642172523961, 0.1182108626198083, 0.07028753993610223, 0.07692307692307693, 0.038461538461538464, 0.10576923076923077, 0.11217948717948718, 0.08653846153846154, 0.10576923076923077, 0.08333333333333333, 0.10897435897435898, 0.10256410256410256, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.08333333333333333, 0.07051282051282051, 0.10256410256410256, 0.11858974358974358]"
5,"[0.09904153354632587, 0.07348242811501597, 0.09904153354632587, 0.10543130990415335, 0.07987220447284345, 0.09584664536741214, 0.06389776357827476, 0.10862619808306709, 0.11501597444089456, 0.08945686900958466, 0.0926517571884984, 0.07348242811501597, 0.10223642172523961, 0.10862619808306709, 0.09904153354632587, 0.12140575079872204, 0.125, 0.09935897435897435, 0.10256410256410256, 0.08653846153846154, 0.10576923076923077, 0.041666666666666664, 0.09615384615384616, 0.08974358974358974, 0.08333333333333333, 0.057692307692307696, 0.08333333333333333, 0.10576923076923077, 0.08653846153846154, 0.07051282051282051, 0.12179487179487179, 0.09935897435897435]"
6,"[0.0926517571884984, 0.10862619808306709, 0.14057507987220447, 0.08626198083067092, 0.09904153354632587, 0.0926517571884984, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.09904153354632587, 0.13099041533546327, 0.12140575079872204, 0.13738019169329074, 0.10223642172523961, 0.1182108626198083, 0.07028753993610223, 0.07692307692307693, 0.03205128205128205, 0.10576923076923077, 0.11217948717948718, 0.028846153846153848, 0.10576923076923077, 0.09615384615384616, 0.09294871794871795, 0.10256410256410256, 0.07371794871794872, 0.07692307692307693, 0.11858974358974358, 0.11858974358974358, 0.05128205128205128, 0.10256410256410256, 0.11858974358974358]"
7,"[0.09904153354632587, 0.07348242811501597, 0.09904153354632587, 0.10543130990415335, 0.07987220447284345, 0.09584664536741214, 0.06389776357827476, 0.10862619808306709, 0.11501597444089456, 0.08945686900958466, 0.0926517571884984, 0.07348242811501597, 0.10223642172523961, 0.10862619808306709, 0.09904153354632587, 0.12140575079872204, 0.0673076923076923, 0.09935897435897435, 0.10256410256410256, 0.057692307692307696, 0.10576923076923077, 0.016025641025641024, 0.07692307692307693, 0.08974358974358974, 0.08333333333333333, 0.022435897435897436, 0.08333333333333333, 0.10576923076923077, 0.02564102564102564, 0.07051282051282051, 0.12179487179487179, 0.057692307692307696]"
8,"[0.0926517571884984, 0.10862619808306709, 0.14057507987220447, 0.08626198083067092, 0.09904153354632587, 0.07028753993610223, 0.08306709265175719, 0.08306709265175719, 0.09904153354632587, 0.09904153354632587, 0.13099041533546327, 0.12140575079872204, 0.13099041533546327, 0.10223642172523961, 0.1182108626198083, 0.07028753993610223, 0.07692307692307693, 0.022435897435897436, 0.10576923076923077, 0.11217948717948718, 0.038461538461538464, 0.10576923076923077, 0.09615384615384616, 0.035256410256410256, 0.035256410256410256, 0.07371794871794872, 0.07692307692307693, 0.04487179487179487, 0.07692307692307693, 0.035256410256410256, 0.057692307692307696, 0.11858974358974358]"
