eigenvector_centrality,[31 30 29 28 27 26]
0,"[0.0926517571884984, 0.07348242811501597, 0.11501597444089456, 0.13738019169329074, 0.134185303514377, 0.0926517571884984, 0.10223642172523961, 0.10862619808306709, 0.07667731629392971, 0.2364217252396166, 0.11501597444089456, 0.07348242811501597, 0.08945686900958466, 0.09904153354632587, 0.10543130990415335, 0.10543130990415335, 0.22435897435897437, 0.09615384615384616, 0.125, 0.09935897435897435, 0.08974358974358974, 0.23076923076923078, 0.12179487179487179, 0.1282051282051282, 0.12179487179487179, 0.08974358974358974, 0.09935897435897435, 0.15384615384615385, 0.10256410256410256, 0.08974358974358974, 0.08974358974358974, 0.125]"
1,"[0.10223642172523961, 0.10862619808306709, 0.08626198083067092, 0.08626198083067092, 0.134185303514377, 0.0926517571884984, 0.07028753993610223, 0.10862619808306709, 0.10862619808306709, 0.09904153354632587, 0.11501597444089456, 0.07028753993610223, 0.0926517571884984, 0.09904153354632587, 0.10543130990415335, 0.12140575079872204, 0.060897435897435896, 0.08974358974358974, 0.11858974358974358, 0.09935897435897435, 0.08974358974358974, 0.11538461538461539, 0.11538461538461539, 0.07692307692307693, 0.08653846153846154, 0.10256410256410256, 0.11217948717948718, 0.0673076923076923, 0.0673076923076923, 0.11538461538461539, 0.07051282051282051, 0.07051282051282051]"
2,"[0.08945686900958466, 0.07348242811501597, 0.051118210862619806, 0.08626198083067092, 0.134185303514377, 0.09904153354632587, 0.10223642172523961, 0.10862619808306709, 0.07667731629392971, 0.03514376996805112, 0.11501597444089456, 0.07348242811501597, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.10543130990415335, 0.060897435897435896, 0.09294871794871795, 0.08333333333333333, 0.08653846153846154, 0.08974358974358974, 0.10576923076923077, 0.11538461538461539, 0.07051282051282051, 0.12179487179487179, 0.08974358974358974, 0.11217948717948718, 0.10256410256410256, 0.0673076923076923, 0.08974358974358974, 0.11858974358974358, 0.125]"
3,"[0.08945686900958466, 0.10862619808306709, 0.08626198083067092, 0.08626198083067092, 0.134185303514377, 0.09904153354632587, 0.09584664536741214, 0.09584664536741214, 0.07667731629392971, 0.1182108626198083, 0.11182108626198083, 0.07028753993610223, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.10543130990415335, 0.060897435897435896, 0.09294871794871795, 0.11858974358974358, 0.11538461538461539, 0.08974358974358974, 0.10576923076923077, 0.11538461538461539, 0.07051282051282051, 0.12179487179487179, 0.10256410256410256, 0.10256410256410256, 0.10256410256410256, 0.0673076923076923, 0.08974358974358974, 0.07051282051282051, 0.07371794871794872]"
4,"[0.08945686900958466, 0.08306709265175719, 0.09904153354632587, 0.1182108626198083, 0.134185303514377, 0.09904153354632587, 0.10223642172523961, 0.09584664536741214, 0.12460063897763578, 0.06070287539936102, 0.11501597444089456, 0.09584664536741214, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.10543130990415335, 0.060897435897435896, 0.09294871794871795, 0.11858974358974358, 0.11538461538461539, 0.08974358974358974, 0.10576923076923077, 0.11538461538461539, 0.07051282051282051, 0.12179487179487179, 0.10256410256410256, 0.10897435897435898, 0.0673076923076923, 0.0673076923076923, 0.08974358974358974, 0.07051282051282051, 0.08012820512820513]"
5,"[0.08945686900958466, 0.10862619808306709, 0.08626198083067092, 0.11182108626198083, 0.134185303514377, 0.09904153354632587, 0.09584664536741214, 0.09584664536741214, 0.12460063897763578, 0.1182108626198083, 0.09584664536741214, 0.07028753993610223, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.10543130990415335, 0.060897435897435896, 0.09294871794871795, 0.11858974358974358, 0.11538461538461539, 0.08974358974358974, 0.10576923076923077, 0.11538461538461539, 0.07051282051282051, 0.12179487179487179, 0.10256410256410256, 0.10897435897435898, 0.10576923076923077, 0.0673076923076923, 0.08974358974358974, 0.07051282051282051, 0.08012820512820513]"
6,"[0.04153354632587859, 0.10862619808306709, 0.09904153354632587, 0.1182108626198083, 0.134185303514377, 0.09904153354632587, 0.09584664536741214, 0.09584664536741214, 0.12460063897763578, 0.12140575079872204, 0.11501597444089456, 0.09584664536741214, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.10543130990415335, 0.060897435897435896, 0.09294871794871795, 0.11858974358974358, 0.11538461538461539, 0.08974358974358974, 0.10576923076923077, 0.11538461538461539, 0.07051282051282051, 0.12179487179487179, 0.10256410256410256, 0.10897435897435898, 0.10576923076923077, 0.0673076923076923, 0.08974358974358974, 0.07051282051282051, 0.08012820512820513]"
7,"[0.08945686900958466, 0.10862619808306709, 0.08626198083067092, 0.1182108626198083, 0.134185303514377, 0.09904153354632587, 0.09584664536741214, 0.09584664536741214, 0.12460063897763578, 0.1182108626198083, 0.09584664536741214, 0.09584664536741214, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.10543130990415335, 0.060897435897435896, 0.09294871794871795, 0.11858974358974358, 0.11538461538461539, 0.08974358974358974, 0.10576923076923077, 0.11538461538461539, 0.07051282051282051, 0.12179487179487179, 0.10256410256410256, 0.10897435897435898, 0.10576923076923077, 0.0673076923076923, 0.08974358974358974, 0.07051282051282051, 0.08012820512820513]"
8,"[0.08945686900958466, 0.10862619808306709, 0.09904153354632587, 0.1182108626198083, 0.134185303514377, 0.09904153354632587, 0.09584664536741214, 0.09584664536741214, 0.12460063897763578, 0.1182108626198083, 0.09584664536741214, 0.09584664536741214, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.10543130990415335, 0.060897435897435896, 0.09294871794871795, 0.11858974358974358, 0.11538461538461539, 0.08974358974358974, 0.10576923076923077, 0.11538461538461539, 0.07051282051282051, 0.12179487179487179, 0.10256410256410256, 0.10897435897435898, 0.10576923076923077, 0.0673076923076923, 0.08974358974358974, 0.07051282051282051, 0.08012820512820513]"
9,"[0.08945686900958466, 0.10862619808306709, 0.09584664536741214, 0.12140575079872204, 0.05750798722044728, 0.09904153354632587, 0.09584664536741214, 0.09584664536741214, 0.12460063897763578, 0.1182108626198083, 0.09584664536741214, 0.09584664536741214, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.10543130990415335, 0.060897435897435896, 0.09294871794871795, 0.11858974358974358, 0.11538461538461539, 0.08974358974358974, 0.10576923076923077, 0.11538461538461539, 0.07051282051282051, 0.12179487179487179, 0.10256410256410256, 0.10897435897435898, 0.10576923076923077, 0.0673076923076923, 0.08974358974358974, 0.07051282051282051, 0.08012820512820513]"
10,"[0.08945686900958466, 0.0670926517571885, 0.09904153354632587, 0.1182108626198083, 0.051118210862619806, 0.09904153354632587, 0.09584664536741214, 0.0926517571884984, 0.02875399361022364, 0.1182108626198083, 0.09584664536741214, 0.054313099041533544, 0.09904153354632587, 0.10862619808306709, 0.08945686900958466, 0.10543130990415335, 0.060897435897435896, 0.09294871794871795, 0.11858974358974358, 0.0673076923076923, 0.08974358974358974, 0.08974358974358974, 0.11538461538461539, 0.07051282051282051, 0.12179487179487179, 0.12179487179487179, 0.019230769230769232, 0.10576923076923077, 0.0641025641025641, 0.08974358974358974, 0.07051282051282051, 0.12179487179487179]"
11,"[0.0926517571884984, 0.10862619808306709, 0.09904153354632587, 0.08626198083067092, 0.134185303514377, 0.0926517571884984, 0.09904153354632587, 0.09584664536741214, 0.12460063897763578, 0.09904153354632587, 0.13099041533546327, 0.09584664536741214, 0.08945686900958466, 0.09904153354632587, 0.10543130990415335, 0.07028753993610223, 0.060897435897435896, 0.07692307692307693, 0.09615384615384616, 0.11538461538461539, 0.05448717948717949, 0.10576923076923077, 0.11538461538461539, 0.10576923076923077, 0.10256410256410256, 0.10256410256410256, 0.10897435897435898, 0.11858974358974358, 0.0673076923076923, 0.05128205128205128, 0.10256410256410256, 0.08012820512820513]"
12,"[0.08945686900958466, 0.07348242811501597, 0.09904153354632587, 0.1182108626198083, 0.0926517571884984, 0.09904153354632587, 0.09584664536741214, 0.10862619808306709, 0.11501597444089456, 0.1182108626198083, 0.09584664536741214, 0.07348242811501597, 0.09904153354632587, 0.10862619808306709, 0.09904153354632587, 0.10543130990415335, 0.09615384615384616, 0.09294871794871795, 0.11858974358974358, 0.08333333333333333, 0.08974358974358974, 0.09294871794871795, 0.05448717948717949, 0.07051282051282051, 0.12179487179487179, 0.12179487179487179, 0.08333333333333333, 0.09935897435897435, 0.09615384615384616, 0.019230769230769232, 0.07051282051282051, 0.09935897435897435]"
