eigenvector_centrality,"[21, 4, 12]"
0,"[0.07348242811501597, 0.1853035143769968, 0.134185303514377, 0.13738019169329074, 0.09904153354632587, 0.17891373801916932, 0.09584664536741214, 0.07987220447284345, 0.08945686900958466, 0.14696485623003194, 0.09584664536741214, 0.10543130990415335, 0.09904153354632587, 0.12460063897763578, 0.12779552715654952, 0.12140575079872204, 0.08653846153846154, 0.09935897435897435, 0.07051282051282051, 0.09935897435897435, 0.11858974358974358, 0.11538461538461539, 0.08012820512820513, 0.08333333333333333, 0.12179487179487179, 0.1891025641025641, 0.14743589743589744, 0.08333333333333333, 0.07692307692307693, 0.10256410256410256, 0.20833333333333334, 0.125]"
1,"[0.07348242811501597, 0.08306709265175719, 0.134185303514377, 0.0926517571884984, 0.11501597444089456, 0.0926517571884984, 0.09584664536741214, 0.07987220447284345, 0.006389776357827476, 0.1182108626198083, 0.09584664536741214, 0.134185303514377, 0.08945686900958466, 0.08945686900958466, 0.09584664536741214, 0.07348242811501597, 0.13141025641025642, 0.01282051282051282, 0.08653846153846154, 0.08653846153846154, 0.11858974358974358, 0.10576923076923077, 0.041666666666666664, 0.08974358974358974, 0.10897435897435898, 0.11538461538461539, 0.09294871794871795, 0.08333333333333333, 0.09935897435897435, 0.04487179487179487, 0.07371794871794872, 0.09935897435897435]"
2,"[0.07348242811501597, 0.11182108626198083, 0.134185303514377, 0.13738019169329074, 0.11501597444089456, 0.0926517571884984, 0.09584664536741214, 0.07987220447284345, 0.08945686900958466, 0.09584664536741214, 0.10543130990415335, 0.10543130990415335, 0.09904153354632587, 0.10223642172523961, 0.09584664536741214, 0.07348242811501597, 0.13141025641025642, 0.09615384615384616, 0.07051282051282051, 0.04807692307692308, 0.11858974358974358, 0.11538461538461539, 0.10576923076923077, 0.08333333333333333, 0.11217948717948718, 0.11538461538461539, 0.14743589743589744, 0.08333333333333333, 0.1282051282051282, 0.10256410256410256, 0.09615384615384616, 0.09935897435897435]"
3,"[0.07348242811501597, 0.08306709265175719, 0.134185303514377, 0.0926517571884984, 0.11501597444089456, 0.0926517571884984, 0.09584664536741214, 0.07987220447284345, 0.07667731629392971, 0.12140575079872204, 0.08626198083067092, 0.09584664536741214, 0.09904153354632587, 0.08945686900958466, 0.09584664536741214, 0.07348242811501597, 0.13141025641025642, 0.11858974358974358, 0.08653846153846154, 0.08653846153846154, 0.11858974358974358, 0.11538461538461539, 0.10576923076923077, 0.08974358974358974, 0.10897435897435898, 0.11538461538461539, 0.09294871794871795, 0.08333333333333333, 0.09935897435897435, 0.12179487179487179, 0.07371794871794872, 0.09935897435897435]"
4,"[0.07348242811501597, 0.11182108626198083, 0.134185303514377, 0.13738019169329074, 0.11501597444089456, 0.0926517571884984, 0.09584664536741214, 0.07987220447284345, 0.07667731629392971, 0.0926517571884984, 0.10543130990415335, 0.10543130990415335, 0.09904153354632587, 0.08945686900958466, 0.09584664536741214, 0.0, 0.13141025641025642, 0.09615384615384616, 0.07051282051282051, 0.10576923076923077, 0.11858974358974358, 0.11538461538461539, 0.10576923076923077, 0.08333333333333333, 0.11217948717948718, 0.09294871794871795, 0.10256410256410256, 0.08333333333333333, 0.060897435897435896, 0.10256410256410256, 0.09615384615384616, 0.09935897435897435]"
5,"[0.07348242811501597, 0.08306709265175719, 0.134185303514377, 0.0926517571884984, 0.11501597444089456, 0.0926517571884984, 0.09584664536741214, 0.07987220447284345, 0.07667731629392971, 0.12140575079872204, 0.08626198083067092, 0.13099041533546327, 0.09904153354632587, 0.08945686900958466, 0.09584664536741214, 0.0926517571884984, 0.13141025641025642, 0.11858974358974358, 0.08653846153846154, 0.08653846153846154, 0.11858974358974358, 0.11538461538461539, 0.00641025641025641, 0.08974358974358974, 0.10897435897435898, 0.11538461538461539, 0.09294871794871795, 0.08333333333333333, 0.009615384615384616, 0.12179487179487179, 0.07371794871794872, 0.09935897435897435]"
6,"[0.07348242811501597, 0.11182108626198083, 0.134185303514377, 0.13738019169329074, 0.11501597444089456, 0.03514376996805112, 0.09584664536741214, 0.07987220447284345, 0.07667731629392971, 0.09584664536741214, 0.08626198083067092, 0.0, 0.09904153354632587, 0.08945686900958466, 0.09584664536741214, 0.006389776357827476, 0.13141025641025642, 0.09615384615384616, 0.07051282051282051, 0.10576923076923077, 0.11858974358974358, 0.11538461538461539, 0.10576923076923077, 0.08333333333333333, 0.11217948717948718, 0.08653846153846154, 0.10256410256410256, 0.08333333333333333, 0.09935897435897435, 0.10256410256410256, 0.09615384615384616, 0.019230769230769232]"
7,"[0.07348242811501597, 0.11182108626198083, 0.006389776357827476, 0.006389776357827476, 0.11501597444089456, 0.0926517571884984, 0.09584664536741214, 0.019169329073482427, 0.10862619808306709, 0.09584664536741214, 0.08626198083067092, 0.10543130990415335, 0.09904153354632587, 0.009584664536741214, 0.04792332268370607, 0.09904153354632587, 0.08333333333333333, 0.11858974358974358, 0.08653846153846154, 0.08653846153846154, 0.11858974358974358, 0.09935897435897435, 0.125, 0.08974358974358974, 0.019230769230769232, 0.11538461538461539, 0.09294871794871795, 0.003205128205128205, 0.09615384615384616, 0.11858974358974358, 0.07371794871794872, 0.09935897435897435]"
8,"[0.05750798722044728, 0.11182108626198083, 0.134185303514377, 0.08306709265175719, 0.11501597444089456, 0.04153354632587859, 0.003194888178913738, 0.006389776357827476, 0.07667731629392971, 0.09584664536741214, 0.10543130990415335, 0.07667731629392971, 0.08945686900958466, 0.08945686900958466, 0.09584664536741214, 0.07348242811501597, 0.125, 0.11858974358974358, 0.07051282051282051, 0.041666666666666664, 0.05128205128205128, 0.08333333333333333, 0.02564102564102564, 0.08333333333333333, 0.11217948717948718, 0.016025641025641024, 0.10256410256410256, 0.08333333333333333, 0.060897435897435896, 0.10256410256410256, 0.09615384615384616, 0.038461538461538464]"
