eigenvector_centrality,"[0, 30, 19]"
0,"[0.08945686900958466, 0.09904153354632587, 0.14057507987220447, 0.16613418530351437, 0.1182108626198083, 0.08306709265175719, 0.07348242811501597, 0.19808306709265175, 0.14376996805111822, 0.16613418530351437, 0.08626198083067092, 0.07667731629392971, 0.10862619808306709, 0.10223642172523961, 0.09584664536741214, 0.10223642172523961, 0.08333333333333333, 0.09935897435897435, 0.08333333333333333, 0.07371794871794872, 0.10897435897435898, 0.09935897435897435, 0.11538461538461539, 0.1346153846153846, 0.10256410256410256, 0.08012820512820513, 0.11217948717948718, 0.10897435897435898, 0.11858974358974358, 0.07051282051282051, 0.12179487179487179, 0.08974358974358974]"
1,"[0.12140575079872204, 0.10543130990415335, 0.08626198083067092, 0.08306709265175719, 0.08626198083067092, 0.09904153354632587, 0.09904153354632587, 0.11182108626198083, 0.07987220447284345, 0.09584664536741214, 0.08626198083067092, 0.07667731629392971, 0.09904153354632587, 0.08945686900958466, 0.07028753993610223, 0.09904153354632587, 0.08333333333333333, 0.11858974358974358, 0.08974358974358974, 0.07692307692307693, 0.09935897435897435, 0.08653846153846154, 0.08974358974358974, 0.08974358974358974, 0.11217948717948718, 0.10256410256410256, 0.10256410256410256, 0.09615384615384616, 0.11858974358974358, 0.07051282051282051, 0.12179487179487179, 0.10256410256410256]"
2,"[0.12140575079872204, 0.09904153354632587, 0.134185303514377, 0.0926517571884984, 0.1182108626198083, 0.022364217252396165, 0.07348242811501597, 0.11182108626198083, 0.07667731629392971, 0.09584664536741214, 0.08626198083067092, 0.07667731629392971, 0.054313099041533544, 0.08945686900958466, 0.09584664536741214, 0.09904153354632587, 0.08333333333333333, 0.11858974358974358, 0.125, 0.07371794871794872, 0.05448717948717949, 0.09935897435897435, 0.11538461538461539, 0.1346153846153846, 0.10256410256410256, 0.038461538461538464, 0.038461538461538464, 0.10897435897435898, 0.11858974358974358, 0.07051282051282051, 0.07371794871794872, 0.11858974358974358]"
3,"[0.12140575079872204, 0.11182108626198083, 0.08306709265175719, 0.08945686900958466, 0.08626198083067092, 0.09904153354632587, 0.09904153354632587, 0.07987220447284345, 0.07667731629392971, 0.09584664536741214, 0.08626198083067092, 0.07667731629392971, 0.09904153354632587, 0.08945686900958466, 0.09584664536741214, 0.09904153354632587, 0.07371794871794872, 0.09935897435897435, 0.08974358974358974, 0.10576923076923077, 0.09935897435897435, 0.11538461538461539, 0.08974358974358974, 0.038461538461538464, 0.11217948717948718, 0.10256410256410256, 0.10256410256410256, 0.10897435897435898, 0.09615384615384616, 0.07051282051282051, 0.12179487179487179, 0.10256410256410256]"
4,"[0.12140575079872204, 0.04472843450479233, 0.09904153354632587, 0.0926517571884984, 0.1182108626198083, 0.0926517571884984, 0.022364217252396165, 0.07987220447284345, 0.07667731629392971, 0.09584664536741214, 0.08626198083067092, 0.07667731629392971, 0.09904153354632587, 0.08945686900958466, 0.09584664536741214, 0.09904153354632587, 0.08333333333333333, 0.11858974358974358, 0.125, 0.07371794871794872, 0.05448717948717949, 0.08974358974358974, 0.11538461538461539, 0.08974358974358974, 0.10256410256410256, 0.0, 0.0, 0.10897435897435898, 0.09615384615384616, 0.12179487179487179, 0.07371794871794872, 0.0]"
5,"[0.04472843450479233, 0.11182108626198083, 0.134185303514377, 0.07348242811501597, 0.07348242811501597, 0.0, 0.07987220447284345, 0.07987220447284345, 0.07667731629392971, 0.09584664536741214, 0.08626198083067092, 0.07667731629392971, 0.09904153354632587, 0.08945686900958466, 0.09584664536741214, 0.09904153354632587, 0.09935897435897435, 0.003205128205128205, 0.08974358974358974, 0.10576923076923077, 0.09935897435897435, 0.11538461538461539, 0.10576923076923077, 0.1346153846153846, 0.009615384615384616, 0.10256410256410256, 0.10256410256410256, 0.0673076923076923, 0.09935897435897435, 0.09294871794871795, 0.07371794871794872, 0.10256410256410256]"
6,"[0.07348242811501597, 0.006389776357827476, 0.03194888178913738, 0.0926517571884984, 0.038338658146964855, 0.0926517571884984, 0.09584664536741214, 0.07987220447284345, 0.04153354632587859, 0.09584664536741214, 0.08626198083067092, 0.07667731629392971, 0.09904153354632587, 0.08945686900958466, 0.09584664536741214, 0.09904153354632587, 0.009615384615384616, 0.11858974358974358, 0.08653846153846154, 0.07371794871794872, 0.04487179487179487, 0.09935897435897435, 0.11538461538461539, 0.08974358974358974, 0.019230769230769232, 0.02564102564102564, 0.028846153846153848, 0.10897435897435898, 0.009615384615384616, 0.12179487179487179, 0.07371794871794872, 0.10256410256410256]"
7,"[0.054313099041533544, 0.11182108626198083, 0.134185303514377, 0.0, 0.02875399361022364, 0.006389776357827476, 0.02875399361022364, 0.07987220447284345, 0.07667731629392971, 0.09584664536741214, 0.08626198083067092, 0.07667731629392971, 0.09904153354632587, 0.08945686900958466, 0.09584664536741214, 0.09904153354632587, 0.09935897435897435, 0.003205128205128205, 0.08333333333333333, 0.10576923076923077, 0.09935897435897435, 0.11538461538461539, 0.10576923076923077, 0.08333333333333333, 0.0, 0.10256410256410256, 0.10256410256410256, 0.10256410256410256, 0.0, 0.07692307692307693, 0.07371794871794872, 0.10256410256410256]"
8,"[0.009584664536741214, 0.0, 0.0, 0.0926517571884984, 0.10862619808306709, 0.0926517571884984, 0.09584664536741214, 0.022364217252396165, 0.03194888178913738, 0.09584664536741214, 0.08626198083067092, 0.07667731629392971, 0.09904153354632587, 0.08945686900958466, 0.09584664536741214, 0.09904153354632587, 0.08333333333333333, 0.11858974358974358, 0.04807692307692308, 0.0, 0.05448717948717949, 0.09935897435897435, 0.10576923076923077, 0.08974358974358974, 0.04807692307692308, 0.0673076923076923, 0.0673076923076923, 0.10897435897435898, 0.038461538461538464, 0.12179487179487179, 0.07371794871794872, 0.10256410256410256]"
9,"[0.09584664536741214, 0.11182108626198083, 0.03194888178913738, 0.019169329073482427, 0.08626198083067092, 0.08626198083067092, 0.0, 0.07987220447284345, 0.03514376996805112, 0.009584664536741214, 0.054313099041533544, 0.07667731629392971, 0.054313099041533544, 0.08945686900958466, 0.09584664536741214, 0.09904153354632587, 0.09935897435897435, 0.11858974358974358, 0.003205128205128205, 0.10256410256410256, 0.09935897435897435, 0.10897435897435898, 0.019230769230769232, 0.08974358974358974, 0.003205128205128205, 0.10256410256410256, 0.08974358974358974, 0.10897435897435898, 0.09615384615384616, 0.00641025641025641, 0.07371794871794872, 0.10256410256410256]"
10,"[0.12140575079872204, 0.01597444089456869, 0.054313099041533544, 0.10862619808306709, 0.1182108626198083, 0.0926517571884984, 0.07348242811501597, 0.04472843450479233, 0.003194888178913738, 0.09584664536741214, 0.10543130990415335, 0.04472843450479233, 0.12460063897763578, 0.0, 0.0, 0.009584664536741214, 0.08333333333333333, 0.08974358974358974, 0.125, 0.0, 0.05448717948717949, 0.08012820512820513, 0.0, 0.1282051282051282, 0.08333333333333333, 0.0, 0.016025641025641024, 0.09935897435897435, 0.08333333333333333, 0.05448717948717949, 0.09935897435897435, 0.10256410256410256]"
11,"[0.12140575079872204, 0.10862619808306709, 0.08626198083067092, 0.08306709265175719, 0.08626198083067092, 0.09904153354632587, 0.07028753993610223, 0.08306709265175719, 0.11182108626198083, 0.11182108626198083, 0.019169329073482427, 0.13099041533546327, 0.08945686900958466, 0.10543130990415335, 0.07987220447284345, 0.0, 0.09935897435897435, 0.08012820512820513, 0.0, 0.10897435897435898, 0.09935897435897435, 0.10897435897435898, 0.08974358974358974, 0.0, 0.07371794871794872, 0.08012820512820513, 0.09935897435897435, 0.04487179487179487, 0.09615384615384616, 0.0, 0.003205128205128205, 0.08974358974358974]"
12,"[0.12140575079872204, 0.09904153354632587, 0.08626198083067092, 0.10862619808306709, 0.1182108626198083, 0.1182108626198083, 0.07348242811501597, 0.08945686900958466, 0.10862619808306709, 0.11182108626198083, 0.10543130990415335, 0.03194888178913738, 0.12460063897763578, 0.10223642172523961, 0.11501597444089456, 0.10223642172523961, 0.08333333333333333, 0.08974358974358974, 0.125, 0.003205128205128205, 0.05448717948717949, 0.09935897435897435, 0.10256410256410256, 0.1282051282051282, 0.08333333333333333, 0.009615384615384616, 0.003205128205128205, 0.09935897435897435, 0.09615384615384616, 0.08653846153846154, 0.09935897435897435, 0.028846153846153848]"
13,"[0.12140575079872204, 0.10862619808306709, 0.08626198083067092, 0.08306709265175719, 0.08626198083067092, 0.09904153354632587, 0.1182108626198083, 0.08306709265175719, 0.11182108626198083, 0.12140575079872204, 0.10543130990415335, 0.13099041533546327, 0.08945686900958466, 0.10862619808306709, 0.07987220447284345, 0.07348242811501597, 0.09935897435897435, 0.11858974358974358, 0.05448717948717949, 0.10897435897435898, 0.09935897435897435, 0.10897435897435898, 0.08974358974358974, 0.08333333333333333, 0.11217948717948718, 0.08012820512820513, 0.09935897435897435, 0.00641025641025641, 0.09615384615384616, 0.07692307692307693, 0.00641025641025641, 0.08974358974358974]"
14,"[0.12140575079872204, 0.09904153354632587, 0.08626198083067092, 0.10862619808306709, 0.1182108626198083, 0.1182108626198083, 0.07348242811501597, 0.08945686900958466, 0.10862619808306709, 0.11182108626198083, 0.10543130990415335, 0.10543130990415335, 0.12460063897763578, 0.10223642172523961, 0.11501597444089456, 0.10223642172523961, 0.08333333333333333, 0.08974358974358974, 0.125, 0.08653846153846154, 0.05448717948717949, 0.09935897435897435, 0.125, 0.1282051282051282, 0.08333333333333333, 0.11538461538461539, 0.09294871794871795, 0.09935897435897435, 0.09615384615384616, 0.08653846153846154, 0.09935897435897435, 0.07051282051282051]"
15,"[0.12140575079872204, 0.10862619808306709, 0.08626198083067092, 0.08306709265175719, 0.08626198083067092, 0.09904153354632587, 0.1182108626198083, 0.08306709265175719, 0.11182108626198083, 0.12140575079872204, 0.10543130990415335, 0.13099041533546327, 0.08945686900958466, 0.10862619808306709, 0.07987220447284345, 0.07348242811501597, 0.09935897435897435, 0.11858974358974358, 0.07051282051282051, 0.10897435897435898, 0.09935897435897435, 0.10897435897435898, 0.08974358974358974, 0.08333333333333333, 0.11217948717948718, 0.08012820512820513, 0.09935897435897435, 0.08333333333333333, 0.09615384615384616, 0.10256410256410256, 0.09615384615384616, 0.08974358974358974]"
16,"[0.12140575079872204, 0.09904153354632587, 0.08626198083067092, 0.10862619808306709, 0.1182108626198083, 0.1182108626198083, 0.07348242811501597, 0.08945686900958466, 0.10862619808306709, 0.11182108626198083, 0.10543130990415335, 0.10543130990415335, 0.12460063897763578, 0.10223642172523961, 0.11501597444089456, 0.10223642172523961, 0.08333333333333333, 0.08974358974358974, 0.125, 0.08653846153846154, 0.05448717948717949, 0.09935897435897435, 0.125, 0.1282051282051282, 0.08333333333333333, 0.11538461538461539, 0.09294871794871795, 0.09935897435897435, 0.09615384615384616, 0.08653846153846154, 0.09935897435897435, 0.09294871794871795]"
