out_deg_centrality,[6 9 7 0]
0,"[0.08383233532934131, 0.116, 0.114, 0.146, 0.112, 0.168, 0.124, 0.108, 0.07, 0.116, 0.112, 0.092, 0.102, 0.084, 0.122, 0.194, 0.18, 0.114, 0.126, 0.10420841683366733]"
1,"[0.08383233532934131, 0.092, 0.086, 0.082, 0.112, 0.13, 0.124, 0.108, 0.106, 0.082, 0.112, 0.092, 0.1, 0.084, 0.11, 0.116, 0.134, 0.098, 0.102, 0.10220440881763528]"
2,"[0.08383233532934131, 0.094, 0.086, 0.082, 0.112, 0.088, 0.124, 0.108, 0.106, 0.082, 0.112, 0.092, 0.1, 0.084, 0.11, 0.116, 0.102, 0.098, 0.104, 0.10220440881763528]"
3,"[0.08582834331337326, 0.094, 0.086, 0.082, 0.156, 0.102, 0.124, 0.108, 0.106, 0.082, 0.112, 0.094, 0.1, 0.084, 0.11, 0.116, 0.102, 0.098, 0.102, 0.10220440881763528]"
4,"[0.08383233532934131, 0.098, 0.128, 0.098, 0.148, 0.1, 0.138, 0.094, 0.074, 0.122, 0.078, 0.092, 0.128, 0.084, 0.126, 0.116, 0.112, 0.098, 0.116, 0.1062124248496994]"
5,"[0.07784431137724551, 0.082, 0.124, 0.1, 0.13, 0.108, 0.1, 0.094, 0.07, 0.098, 0.078, 0.092, 0.12, 0.098, 0.092, 0.116, 0.156, 0.104, 0.102, 0.1062124248496994]"
6,"[0.07784431137724551, 0.094, 0.118, 0.142, 0.13, 0.102, 0.1, 0.094, 0.11, 0.21, 0.156, 0.176, 0.14, 0.1, 0.094, 0.116, 0.182, 0.116, 0.238, 0.20440881763527055]"
7,"[0.15568862275449102, 0.106, 0.128, 0.104, 0.284, 0.102, 0.168, 0.228, 0.148, 0.162, 0.084, 0.208, 0.222, 0.104, 0.126, 0.194, 0.152, 0.206, 0.202, 0.1903807615230461]"
8,"[0.1317365269461078, 0.174, 0.196, 0.132, 0.244, 0.158, 0.14, 0.168, 0.174, 0.216, 0.178, 0.208, 0.188, 0.176, 0.142, 0.148, 0.274, 0.132, 0.164, 0.1683366733466934]"
