out_deg_centrality,[7 0 8 6]
0,"[0.09580838323353294, 0.116, 0.086, 0.082, 0.122, 0.092, 0.086, 0.086, 0.05, 0.098, 0.116, 0.12, 0.106, 0.106, 0.096, 0.05, 0.104, 0.098, 0.126, 0.09018036072144289]"
1,"[0.08383233532934131, 0.08, 0.09, 0.098, 0.122, 0.088, 0.108, 0.086, 0.112, 0.116, 0.112, 0.09, 0.106, 0.122, 0.148, 0.088, 0.094, 0.12, 0.104, 0.11422845691382766]"
2,"[0.10978043912175649, 0.098, 0.074, 0.098, 0.122, 0.112, 0.108, 0.112, 0.112, 0.098, 0.112, 0.094, 0.15, 0.094, 0.082, 0.088, 0.098, 0.108, 0.126, 0.11422845691382766]"
3,"[0.10978043912175649, 0.08, 0.074, 0.114, 0.122, 0.094, 0.108, 0.086, 0.112, 0.09, 0.112, 0.094, 0.088, 0.098, 0.124, 0.088, 0.166, 0.122, 0.138, 0.10020040080160321]"
4,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.122, 0.094, 0.108, 0.174, 0.112, 0.108, 0.112, 0.094, 0.088, 0.098, 0.082, 0.088, 0.098, 0.108, 0.11, 0.11422845691382766]"
5,"[0.10978043912175649, 0.08, 0.074, 0.108, 0.148, 0.094, 0.108, 0.086, 0.112, 0.118, 0.112, 0.094, 0.202, 0.098, 0.082, 0.088, 0.134, 0.08, 0.1, 0.09619238476953908]"
6,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.122, 0.094, 0.108, 0.18, 0.112, 0.108, 0.134, 0.094, 0.088, 0.098, 0.082, 0.088, 0.098, 0.108, 0.11, 0.11422845691382766]"
7,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.08, 0.094, 0.108, 0.086, 0.112, 0.108, 0.2, 0.094, 0.098, 0.098, 0.084, 0.088, 0.158, 0.08, 0.126, 0.19438877755511022]"
8,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.122, 0.094, 0.108, 0.094, 0.112, 0.108, 0.134, 0.094, 0.088, 0.098, 0.082, 0.088, 0.098, 0.108, 0.11, 0.11422845691382766]"
9,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.078, 0.094, 0.108, 0.086, 0.112, 0.108, 0.112, 0.094, 0.098, 0.098, 0.084, 0.088, 0.202, 0.152, 0.126, 0.19839679358717435]"
10,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.122, 0.094, 0.108, 0.092, 0.112, 0.108, 0.134, 0.094, 0.088, 0.098, 0.082, 0.088, 0.098, 0.108, 0.11, 0.11422845691382766]"
11,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.09, 0.094, 0.108, 0.086, 0.112, 0.108, 0.112, 0.094, 0.106, 0.098, 0.084, 0.088, 0.182, 0.09, 0.126, 0.18036072144288579]"
12,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.122, 0.094, 0.108, 0.094, 0.112, 0.108, 0.134, 0.094, 0.088, 0.098, 0.082, 0.088, 0.098, 0.108, 0.11, 0.11422845691382766]"
13,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.078, 0.094, 0.108, 0.086, 0.112, 0.108, 0.112, 0.094, 0.124, 0.098, 0.118, 0.088, 0.13, 0.114, 0.126, 0.11422845691382766]"
14,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.122, 0.094, 0.108, 0.122, 0.112, 0.108, 0.134, 0.094, 0.088, 0.098, 0.082, 0.088, 0.098, 0.108, 0.122, 0.11422845691382766]"
15,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.078, 0.094, 0.108, 0.086, 0.112, 0.108, 0.112, 0.094, 0.088, 0.098, 0.12, 0.088, 0.128, 0.11, 0.126, 0.11422845691382766]"
16,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.122, 0.094, 0.108, 0.088, 0.112, 0.108, 0.134, 0.094, 0.088, 0.098, 0.082, 0.088, 0.098, 0.108, 0.204, 0.11422845691382766]"
17,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.08, 0.094, 0.108, 0.086, 0.112, 0.108, 0.112, 0.094, 0.088, 0.098, 0.082, 0.088, 0.098, 0.108, 0.126, 0.11623246492985972]"
18,"[0.11177644710578842, 0.08, 0.074, 0.098, 0.122, 0.094, 0.108, 0.086, 0.112, 0.108, 0.134, 0.094, 0.088, 0.098, 0.082, 0.088, 0.098, 0.108, 0.234, 0.11422845691382766]"
19,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.078, 0.094, 0.108, 0.086, 0.112, 0.108, 0.112, 0.094, 0.088, 0.098, 0.082, 0.088, 0.108, 0.108, 0.126, 0.13026052104208416]"
20,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.122, 0.094, 0.108, 0.086, 0.112, 0.108, 0.134, 0.094, 0.088, 0.172, 0.082, 0.088, 0.098, 0.108, 0.236, 0.11422845691382766]"
21,"[0.10978043912175649, 0.08, 0.074, 0.098, 0.078, 0.094, 0.108, 0.086, 0.112, 0.108, 0.112, 0.094, 0.088, 0.098, 0.082, 0.088, 0.154, 0.108, 0.126, 0.18236472945891782]"
