eigenvector_centrality,"[0, 11, 17, 1]"
0,"[0.1157684630738523, 0.132, 0.094, 0.1, 0.09, 0.102, 0.1, 0.1, 0.114, 0.142, 0.084, 0.088, 0.098, 0.096, 0.238, 0.082, 0.096, 0.106, 0.098, 0.09018036072144289]"
1,"[0.07784431137724551, 0.094, 0.108, 0.12, 0.078, 0.114, 0.098, 0.108, 0.116, 0.098, 0.17, 0.152, 0.08, 0.084, 0.11, 0.124, 0.094, 0.096, 0.098, 0.12224448897795591]"
2,"[0.1157684630738523, 0.24, 0.108, 0.1, 0.078, 0.182, 0.1, 0.094, 0.106, 0.118, 0.084, 0.09, 0.098, 0.096, 0.13, 0.082, 0.094, 0.114, 0.11, 0.14829659318637275]"
3,"[0.07784431137724551, 0.112, 0.108, 0.092, 0.078, 0.102, 0.16, 0.108, 0.112, 0.098, 0.094, 0.118, 0.1, 0.106, 0.092, 0.082, 0.108, 0.098, 0.11, 0.12224448897795591]"
4,"[0.18363273453093812, 0.116, 0.108, 0.1, 0.126, 0.096, 0.1, 0.094, 0.106, 0.118, 0.084, 0.118, 0.098, 0.116, 0.13, 0.082, 0.102, 0.126, 0.13, 0.12224448897795591]"
5,"[0.11776447105788423, 0.086, 0.108, 0.086, 0.154, 0.102, 0.186, 0.108, 0.112, 0.098, 0.094, 0.118, 0.1, 0.08, 0.092, 0.082, 0.102, 0.098, 0.11, 0.12224448897795591]"
6,"[0.11776447105788423, 0.086, 0.108, 0.098, 0.13, 0.168, 0.1, 0.094, 0.106, 0.118, 0.084, 0.166, 0.098, 0.116, 0.13, 0.082, 0.102, 0.166, 0.146, 0.12224448897795591]"
7,"[0.1497005988023952, 0.086, 0.228, 0.134, 0.088, 0.102, 0.09, 0.108, 0.112, 0.098, 0.094, 0.118, 0.1, 0.084, 0.092, 0.082, 0.102, 0.098, 0.11, 0.12224448897795591]"
8,"[0.11776447105788423, 0.086, 0.202, 0.098, 0.134, 0.174, 0.1, 0.094, 0.106, 0.118, 0.084, 0.092, 0.098, 0.202, 0.13, 0.082, 0.102, 0.19, 0.142, 0.12224448897795591]"
9,"[0.18962075848303392, 0.086, 0.1, 0.098, 0.092, 0.102, 0.162, 0.108, 0.112, 0.098, 0.166, 0.118, 0.1, 0.084, 0.092, 0.082, 0.102, 0.098, 0.202, 0.12224448897795591]"
10,"[0.11776447105788423, 0.086, 0.188, 0.098, 0.112, 0.172, 0.1, 0.094, 0.106, 0.118, 0.084, 0.092, 0.098, 0.158, 0.144, 0.082, 0.102, 0.176, 0.156, 0.12224448897795591]"
11,"[0.13972055888223553, 0.086, 0.1, 0.098, 0.172, 0.102, 0.192, 0.108, 0.112, 0.204, 0.132, 0.118, 0.1, 0.084, 0.092, 0.082, 0.102, 0.098, 0.146, 0.12224448897795591]"
12,"[0.11776447105788423, 0.086, 0.192, 0.098, 0.112, 0.172, 0.11, 0.094, 0.106, 0.108, 0.084, 0.092, 0.098, 0.096, 0.142, 0.082, 0.102, 0.104, 0.092, 0.11222444889779559]"
13,"[0.1996007984031936, 0.094, 0.1, 0.098, 0.174, 0.102, 0.194, 0.108, 0.112, 0.118, 0.132, 0.118, 0.1, 0.084, 0.092, 0.082, 0.102, 0.098, 0.114, 0.12224448897795591]"
14,"[0.11776447105788423, 0.086, 0.212, 0.124, 0.112, 0.172, 0.162, 0.094, 0.106, 0.108, 0.084, 0.092, 0.098, 0.096, 0.142, 0.082, 0.102, 0.104, 0.092, 0.10020040080160321]"
15,"[0.11177644710578842, 0.094, 0.1, 0.098, 0.18, 0.102, 0.194, 0.108, 0.112, 0.118, 0.184, 0.118, 0.1, 0.084, 0.092, 0.108, 0.216, 0.098, 0.098, 0.12224448897795591]"
16,"[0.11776447105788423, 0.086, 0.25, 0.146, 0.112, 0.172, 0.18, 0.094, 0.106, 0.108, 0.084, 0.092, 0.098, 0.096, 0.136, 0.082, 0.102, 0.104, 0.092, 0.10020040080160321]"
17,"[0.10778443113772455, 0.094, 0.1, 0.098, 0.176, 0.114, 0.194, 0.108, 0.11, 0.118, 0.184, 0.118, 0.1, 0.084, 0.092, 0.108, 0.158, 0.098, 0.098, 0.12224448897795591]"
18,"[0.11776447105788423, 0.086, 0.214, 0.136, 0.112, 0.172, 0.196, 0.094, 0.106, 0.108, 0.084, 0.084, 0.098, 0.096, 0.132, 0.082, 0.102, 0.104, 0.092, 0.10020040080160321]"
19,"[0.10778443113772455, 0.094, 0.1, 0.098, 0.168, 0.164, 0.194, 0.108, 0.11, 0.12, 0.172, 0.118, 0.1, 0.084, 0.092, 0.108, 0.162, 0.098, 0.098, 0.12224448897795591]"
20,"[0.11776447105788423, 0.086, 0.27, 0.126, 0.112, 0.172, 0.242, 0.094, 0.106, 0.108, 0.084, 0.084, 0.098, 0.096, 0.132, 0.082, 0.102, 0.104, 0.092, 0.10020040080160321]"
21,"[0.10778443113772455, 0.094, 0.1, 0.098, 0.112, 0.188, 0.194, 0.108, 0.11, 0.164, 0.174, 0.118, 0.1, 0.084, 0.092, 0.108, 0.156, 0.098, 0.152, 0.12224448897795591]"
22,"[0.11776447105788423, 0.086, 0.158, 0.188, 0.112, 0.18, 0.266, 0.094, 0.106, 0.108, 0.084, 0.082, 0.116, 0.096, 0.134, 0.082, 0.102, 0.104, 0.092, 0.10020040080160321]"
23,"[0.10778443113772455, 0.094, 0.116, 0.098, 0.104, 0.182, 0.194, 0.108, 0.11, 0.182, 0.174, 0.118, 0.1, 0.084, 0.092, 0.108, 0.152, 0.098, 0.176, 0.12224448897795591]"
24,"[0.11776447105788423, 0.086, 0.1, 0.286, 0.112, 0.26, 0.268, 0.094, 0.154, 0.108, 0.09, 0.112, 0.134, 0.096, 0.132, 0.106, 0.102, 0.104, 0.092, 0.10020040080160321]"
25,"[0.12375249500998003, 0.094, 0.152, 0.098, 0.108, 0.182, 0.212, 0.108, 0.11, 0.17, 0.148, 0.118, 0.1, 0.084, 0.092, 0.108, 0.152, 0.098, 0.2, 0.1282565130260521]"
26,"[0.11776447105788423, 0.086, 0.12, 0.25, 0.112, 0.246, 0.24, 0.094, 0.176, 0.138, 0.16, 0.092, 0.144, 0.096, 0.132, 0.156, 0.102, 0.104, 0.092, 0.10020040080160321]"
27,"[0.10778443113772455, 0.094, 0.1, 0.098, 0.148, 0.186, 0.286, 0.108, 0.15, 0.162, 0.094, 0.118, 0.1, 0.084, 0.092, 0.108, 0.152, 0.098, 0.204, 0.16432865731462926]"
