in_deg_centrality,[16  8  9  5]
0,"[0.10778443113772455, 0.116, 0.1, 0.098, 0.118, 0.118, 0.124, 0.104, 0.112, 0.09, 0.134, 0.122, 0.088, 0.096, 0.11, 0.136, 0.106, 0.106, 0.104, 0.10420841683366733]"
1,"[0.21357285429141717, 0.098, 0.086, 0.098, 0.09, 0.118, 0.124, 0.118, 0.09, 0.076, 0.078, 0.084, 0.12, 0.096, 0.096, 0.168, 0.106, 0.098, 0.138, 0.10020040080160321]"
2,"[0.10778443113772455, 0.098, 0.1, 0.174, 0.164, 0.118, 0.124, 0.118, 0.112, 0.09, 0.128, 0.12, 0.15, 0.096, 0.112, 0.108, 0.106, 0.146, 0.104, 0.10420841683366733]"
3,"[0.10179640718562874, 0.306, 0.086, 0.106, 0.09, 0.102, 0.124, 0.118, 0.188, 0.078, 0.078, 0.084, 0.13, 0.096, 0.096, 0.08, 0.106, 0.13, 0.11, 0.13026052104208416]"
4,"[0.10778443113772455, 0.216, 0.1, 0.152, 0.138, 0.106, 0.124, 0.118, 0.216, 0.102, 0.224, 0.272, 0.08, 0.16, 0.19, 0.09, 0.106, 0.176, 0.104, 0.10420841683366733]"
5,"[0.281437125748503, 0.282, 0.12, 0.2, 0.206, 0.102, 0.126, 0.118, 0.218, 0.21, 0.078, 0.14, 0.17, 0.128, 0.164, 0.08, 0.164, 0.17, 0.236, 0.2625250501002004]"
6,"[0.10778443113772455, 0.164, 0.1, 0.1, 0.22, 0.212, 0.272, 0.118, 0.206, 0.236, 0.232, 0.22, 0.08, 0.12, 0.22, 0.108, 0.148, 0.274, 0.25, 0.10420841683366733]"
7,"[0.22554890219560877, 0.248, 0.162, 0.322, 0.278, 0.166, 0.338, 0.2, 0.268, 0.144, 0.078, 0.2, 0.238, 0.26, 0.256, 0.09, 0.192, 0.236, 0.262, 0.3346693386773547]"
8,"[0.17764471057884232, 0.2, 0.146, 0.13, 0.198, 0.324, 0.324, 0.178, 0.198, 0.174, 0.416, 0.188, 0.112, 0.216, 0.214, 0.18, 0.222, 0.302, 0.35, 0.10420841683366733]"
9,"[0.3013972055888224, 0.276, 0.282, 0.446, 0.292, 0.23, 0.39, 0.216, 0.356, 0.182, 0.08, 0.202, 0.286, 0.404, 0.34, 0.124, 0.276, 0.23, 0.342, 0.3627254509018036]"
10,"[0.21157684630738524, 0.204, 0.134, 0.172, 0.262, 0.282, 0.286, 0.338, 0.194, 0.36, 0.434, 0.25, 0.184, 0.294, 0.264, 0.276, 0.354, 0.28, 0.384, 0.12625250501002003]"
11,"[0.28542914171656686, 0.288, 0.278, 0.394, 0.306, 0.292, 0.432, 0.248, 0.296, 0.238, 0.108, 0.228, 0.302, 0.41, 0.418, 0.18, 0.244, 0.32, 0.314, 0.41282565130260523]"
12,"[0.23353293413173654, 0.206, 0.198, 0.276, 0.334, 0.316, 0.29, 0.378, 0.232, 0.346, 0.426, 0.228, 0.23, 0.336, 0.24, 0.278, 0.348, 0.34, 0.33, 0.15831663326653306]"
13,"[0.4091816367265469, 0.324, 0.268, 0.366, 0.312, 0.364, 0.41, 0.29, 0.328, 0.268, 0.144, 0.25, 0.334, 0.39, 0.354, 0.222, 0.27, 0.172, 0.264, 0.40480961923847697]"
14,"[0.21157684630738524, 0.202, 0.216, 0.212, 0.368, 0.228, 0.276, 0.432, 0.216, 0.298, 0.446, 0.278, 0.252, 0.34, 0.22, 0.324, 0.302, 0.318, 0.366, 0.156312625250501]"
15,"[0.4351297405189621, 0.33, 0.292, 0.292, 0.306, 0.466, 0.32, 0.258, 0.356, 0.242, 0.12, 0.266, 0.348, 0.352, 0.316, 0.226, 0.246, 0.192, 0.228, 0.3967935871743487]"
