eigenvector_centrality,"[0, 3, 7, 14, 21]"
0,"[0.07481296758104738, 0.1125, 0.095, 0.1075, 0.0825, 0.085, 0.0675, 0.0925, 0.08, 0.085, 0.0925, 0.11, 0.1, 0.0425, 0.075, 0.085, 0.1075, 0.12, 0.09, 0.1275, 0.1275, 0.1025, 0.12, 0.0925, 0.07769423558897243]"
1,"[0.08229426433915212, 0.0875, 0.08, 0.1075, 0.12, 0.1, 0.125, 0.0975, 0.0925, 0.1125, 0.1125, 0.1, 0.105, 0.1025, 0.105, 0.0875, 0.1075, 0.11, 0.0925, 0.0975, 0.1075, 0.08, 0.12, 0.0975, 0.09523809523809523]"
2,"[0.11221945137157108, 0.095, 0.08, 0.085, 0.105, 0.1125, 0.1175, 0.1275, 0.1225, 0.11, 0.11, 0.0875, 0.08, 0.0875, 0.105, 0.085, 0.1025, 0.1125, 0.0925, 0.1075, 0.0725, 0.09, 0.12, 0.0875, 0.09523809523809523]"
3,"[0.0798004987531172, 0.11, 0.075, 0.1125, 0.155, 0.13, 0.08, 0.0975, 0.0925, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.095, 0.0875, 0.11, 0.1, 0.1075, 0.1125, 0.1075, 0.1025, 0.1025, 0.0975, 0.10275689223057644]"
4,"[0.07481296758104738, 0.0875, 0.075, 0.1325, 0.095, 0.13, 0.075, 0.1225, 0.0925, 0.0925, 0.1075, 0.115, 0.08, 0.11, 0.075, 0.085, 0.1025, 0.0775, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.0925, 0.12781954887218044]"
5,"[0.07481296758104738, 0.0875, 0.0975, 0.1075, 0.0975, 0.13, 0.1075, 0.1225, 0.0925, 0.1075, 0.1075, 0.1, 0.2275, 0.08, 0.0925, 0.0875, 0.1025, 0.0775, 0.1, 0.0975, 0.1075, 0.11, 0.105, 0.1225, 0.09523809523809523]"
6,"[0.11221945137157108, 0.0975, 0.1, 0.115, 0.095, 0.085, 0.0675, 0.1225, 0.105, 0.1075, 0.0775, 0.12, 0.1275, 0.11, 0.075, 0.0975, 0.1025, 0.0775, 0.0925, 0.0875, 0.1075, 0.08, 0.1, 0.0925, 0.10275689223057644]"
7,"[0.11221945137157108, 0.2175, 0.0975, 0.1075, 0.0975, 0.0875, 0.1075, 0.1225, 0.14, 0.0875, 0.195, 0.1, 0.1275, 0.115, 0.175, 0.1075, 0.1025, 0.1125, 0.0925, 0.0975, 0.225, 0.11, 0.105, 0.1225, 0.09523809523809523]"
8,"[0.11221945137157108, 0.2325, 0.1, 0.115, 0.095, 0.085, 0.0675, 0.1225, 0.105, 0.0925, 0.0775, 0.0875, 0.185, 0.11, 0.075, 0.0975, 0.12, 0.11, 0.0925, 0.0875, 0.1075, 0.08, 0.1, 0.0925, 0.10275689223057644]"
9,"[0.19451371571072318, 0.1225, 0.0975, 0.1075, 0.0975, 0.0875, 0.1075, 0.0925, 0.0775, 0.0875, 0.1075, 0.1, 0.2325, 0.115, 0.085, 0.1075, 0.1025, 0.1125, 0.0925, 0.0975, 0.1075, 0.11, 0.105, 0.0975, 0.09523809523809523]"
10,"[0.11221945137157108, 0.13, 0.1, 0.115, 0.095, 0.085, 0.0675, 0.1225, 0.105, 0.0925, 0.0775, 0.0875, 0.08, 0.11, 0.075, 0.0975, 0.1375, 0.11, 0.0925, 0.0875, 0.1075, 0.08, 0.1, 0.0925, 0.10275689223057644]"
11,"[0.17206982543640897, 0.0875, 0.0975, 0.1075, 0.0975, 0.0875, 0.1075, 0.0925, 0.0775, 0.0925, 0.1075, 0.1, 0.1975, 0.115, 0.1625, 0.1075, 0.1025, 0.1125, 0.16, 0.0975, 0.1075, 0.11, 0.105, 0.0975, 0.09523809523809523]"
12,"[0.11221945137157108, 0.0975, 0.1, 0.115, 0.095, 0.085, 0.0675, 0.1225, 0.105, 0.1675, 0.0775, 0.0875, 0.1275, 0.11, 0.15, 0.0975, 0.135, 0.11, 0.0925, 0.0875, 0.1075, 0.08, 0.1, 0.0925, 0.10275689223057644]"
13,"[0.11221945137157108, 0.2175, 0.0975, 0.1075, 0.0975, 0.0875, 0.1075, 0.115, 0.0775, 0.0875, 0.1075, 0.1, 0.215, 0.115, 0.085, 0.1075, 0.215, 0.08, 0.0925, 0.0975, 0.1075, 0.11, 0.105, 0.0975, 0.09523809523809523]"
14,"[0.11221945137157108, 0.1625, 0.1, 0.115, 0.095, 0.085, 0.0675, 0.1225, 0.105, 0.2, 0.0775, 0.0875, 0.1275, 0.11, 0.075, 0.0975, 0.1175, 0.11, 0.0925, 0.0875, 0.1075, 0.08, 0.1, 0.0925, 0.10275689223057644]"
15,"[0.1745635910224439, 0.175, 0.0975, 0.1075, 0.0975, 0.0875, 0.1075, 0.0925, 0.0775, 0.0875, 0.1075, 0.1, 0.1575, 0.115, 0.085, 0.1075, 0.2125, 0.0975, 0.0925, 0.0975, 0.1075, 0.11, 0.105, 0.0975, 0.09523809523809523]"
16,"[0.11221945137157108, 0.2325, 0.1, 0.115, 0.095, 0.085, 0.0675, 0.1225, 0.105, 0.1875, 0.0775, 0.0875, 0.1275, 0.11, 0.16, 0.0975, 0.1175, 0.11, 0.0925, 0.0875, 0.1075, 0.08, 0.1, 0.0925, 0.10275689223057644]"
