eigenvector_centrality,"[4, 15, 22, 23, 12]"
0,"[0.10723192019950124, 0.0725, 0.095, 0.09, 0.1075, 0.115, 0.0875, 0.1, 0.0925, 0.085, 0.095, 0.1025, 0.1075, 0.1025, 0.1225, 0.085, 0.075, 0.1125, 0.1, 0.1025, 0.075, 0.0575, 0.09, 0.12, 0.09022556390977443]"
1,"[0.10473815461346633, 0.0825, 0.095, 0.095, 0.075, 0.115, 0.09, 0.0725, 0.095, 0.1075, 0.0925, 0.11, 0.095, 0.1025, 0.1475, 0.0925, 0.1025, 0.1, 0.1, 0.1025, 0.075, 0.1075, 0.09, 0.095, 0.10025062656641603]"
2,"[0.12718204488778054, 0.1025, 0.1375, 0.1025, 0.085, 0.115, 0.095, 0.0775, 0.095, 0.1125, 0.095, 0.1175, 0.125, 0.1025, 0.1075, 0.0925, 0.1025, 0.1125, 0.1, 0.1025, 0.08, 0.1075, 0.125, 0.095, 0.10025062656641603]"
3,"[0.12718204488778054, 0.085, 0.095, 0.1425, 0.085, 0.115, 0.105, 0.0725, 0.095, 0.1125, 0.095, 0.11, 0.125, 0.1025, 0.1075, 0.0925, 0.095, 0.095, 0.13, 0.0725, 0.08, 0.07, 0.125, 0.095, 0.11278195488721804]"
4,"[0.12718204488778054, 0.1025, 0.095, 0.09, 0.085, 0.115, 0.095, 0.1475, 0.1825, 0.1125, 0.095, 0.1975, 0.125, 0.1025, 0.095, 0.1125, 0.1025, 0.1125, 0.13, 0.1025, 0.08, 0.07, 0.125, 0.12, 0.11278195488721804]"
5,"[0.12718204488778054, 0.1275, 0.1375, 0.185, 0.085, 0.0825, 0.09, 0.0725, 0.165, 0.1125, 0.17, 0.11, 0.125, 0.1025, 0.095, 0.0925, 0.095, 0.095, 0.13, 0.0725, 0.08, 0.07, 0.13, 0.095, 0.10025062656641603]"
6,"[0.12718204488778054, 0.1025, 0.095, 0.095, 0.1225, 0.115, 0.195, 0.0775, 0.095, 0.1125, 0.095, 0.1175, 0.29, 0.18, 0.1025, 0.1125, 0.1025, 0.1125, 0.13, 0.1025, 0.1425, 0.155, 0.105, 0.095, 0.10025062656641603]"
7,"[0.12967581047381546, 0.1475, 0.085, 0.1375, 0.0825, 0.1825, 0.135, 0.1, 0.11, 0.1525, 0.115, 0.11, 0.125, 0.2075, 0.1625, 0.0925, 0.13, 0.095, 0.1325, 0.0725, 0.155, 0.1575, 0.125, 0.165, 0.16040100250626566]"
8,"[0.16458852867830423, 0.095, 0.095, 0.0975, 0.0825, 0.1675, 0.0675, 0.0775, 0.095, 0.1125, 0.1875, 0.1175, 0.1275, 0.1425, 0.1, 0.1475, 0.2075, 0.1325, 0.1775, 0.1275, 0.1225, 0.14, 0.1775, 0.2375, 0.17794486215538846]"
9,"[0.14713216957605985, 0.2325, 0.08, 0.115, 0.1575, 0.1225, 0.1275, 0.115, 0.1375, 0.1175, 0.1175, 0.1575, 0.125, 0.1175, 0.0975, 0.0925, 0.12, 0.12, 0.0975, 0.0725, 0.15, 0.115, 0.125, 0.1, 0.09523809523809523]"
10,"[0.07481296758104738, 0.1925, 0.1575, 0.105, 0.0825, 0.1, 0.0675, 0.0975, 0.1825, 0.1825, 0.0775, 0.19, 0.1275, 0.18, 0.16, 0.1075, 0.205, 0.1975, 0.095, 0.1275, 0.12, 0.125, 0.1125, 0.205, 0.17293233082706766]"
11,"[0.08229426433915212, 0.2325, 0.08, 0.115, 0.21, 0.1625, 0.13, 0.0975, 0.18, 0.1075, 0.1725, 0.12, 0.1725, 0.11, 0.16, 0.12, 0.18, 0.1, 0.0925, 0.0725, 0.155, 0.1125, 0.125, 0.095, 0.09523809523809523]"
12,"[0.07481296758104738, 0.2025, 0.185, 0.095, 0.0825, 0.135, 0.0675, 0.0975, 0.1275, 0.165, 0.185, 0.1175, 0.1275, 0.16, 0.1225, 0.1075, 0.1075, 0.17, 0.0925, 0.18, 0.12, 0.16, 0.1225, 0.2075, 0.10025062656641603]"
13,"[0.16458852867830423, 0.23, 0.08, 0.16, 0.2175, 0.1575, 0.19, 0.1125, 0.1825, 0.1075, 0.1125, 0.19, 0.1775, 0.11, 0.17, 0.1575, 0.175, 0.1, 0.0925, 0.0875, 0.0925, 0.11, 0.1275, 0.095, 0.09523809523809523]"
14,"[0.07481296758104738, 0.1525, 0.11, 0.2025, 0.0825, 0.1725, 0.0675, 0.0975, 0.12, 0.12, 0.1125, 0.16, 0.1275, 0.165, 0.1625, 0.1075, 0.1075, 0.1375, 0.1, 0.1725, 0.12, 0.1475, 0.1875, 0.2375, 0.10025062656641603]"
15,"[0.18952618453865336, 0.24, 0.08, 0.1425, 0.18, 0.1075, 0.1275, 0.145, 0.1925, 0.12, 0.1625, 0.19, 0.18, 0.1475, 0.2425, 0.1225, 0.1225, 0.1, 0.1025, 0.0725, 0.08, 0.11, 0.1525, 0.1225, 0.12781954887218044]"
16,"[0.07481296758104738, 0.095, 0.1025, 0.1975, 0.0825, 0.165, 0.0725, 0.1, 0.12, 0.1125, 0.1125, 0.2475, 0.145, 0.1725, 0.16, 0.1075, 0.1075, 0.1325, 0.185, 0.165, 0.16, 0.135, 0.225, 0.2, 0.10526315789473684]"
17,"[0.19201995012468828, 0.1875, 0.08, 0.115, 0.2, 0.15, 0.09, 0.19, 0.19, 0.1525, 0.095, 0.19, 0.2375, 0.2025, 0.255, 0.12, 0.115, 0.1, 0.115, 0.1275, 0.08, 0.11, 0.1725, 0.1575, 0.17042606516290726]"
