none,[]
0,"[0.11221945137157108, 0.0875, 0.1, 0.1075, 0.12, 0.085, 0.1075, 0.075, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.1, 0.1225, 0.1125, 0.0675, 0.0975, 0.0825, 0.08, 0.1, 0.0875, 0.10275689223057644]"
1,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
2,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
3,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
4,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.06, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
5,"[0.11221945137157108, 0.0775, 0.0975, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.12, 0.0975, 0.10275689223057644]"
6,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.06, 0.085, 0.1075, 0.1225, 0.105, 0.1125, 0.1075, 0.1, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.0975, 0.0775, 0.08, 0.1, 0.0975, 0.10275689223057644]"
7,"[0.11221945137157108, 0.0975, 0.0875, 0.1075, 0.12, 0.0975, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.0775, 0.0975, 0.1025, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.12, 0.0825, 0.10275689223057644]"
8,"[0.11221945137157108, 0.0875, 0.0975, 0.07, 0.0825, 0.085, 0.1175, 0.0925, 0.0975, 0.0875, 0.1075, 0.1, 0.0575, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.0825, 0.105, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
9,"[0.09226932668329177, 0.0975, 0.08, 0.1075, 0.12, 0.1275, 0.1075, 0.1225, 0.105, 0.0925, 0.095, 0.0875, 0.08, 0.115, 0.085, 0.0975, 0.1025, 0.0725, 0.1, 0.0975, 0.1075, 0.115, 0.12, 0.1225, 0.10275689223057644]"
10,"[0.11221945137157108, 0.0875, 0.0975, 0.085, 0.0825, 0.1125, 0.1125, 0.1475, 0.1125, 0.0875, 0.1075, 0.1, 0.0725, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.16, 0.1275, 0.0825, 0.08, 0.1, 0.0975, 0.14035087719298245]"
