eigenvector_centrality,"[20, 3]"
0,"[0.07481296758104738, 0.095, 0.1, 0.115, 0.1, 0.0875, 0.1075, 0.0925, 0.0775, 0.1075, 0.1, 0.1, 0.1275, 0.1, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.1275, 0.12, 0.11, 0.105, 0.0975, 0.09523809523809523]"
1,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
2,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
3,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
4,"[0.14214463840399003, 0.21, 0.1, 0.1925, 0.0975, 0.125, 0.0675, 0.0925, 0.0875, 0.18, 0.14, 0.18, 0.1275, 0.11, 0.1575, 0.11, 0.1175, 0.14, 0.165, 0.09, 0.12, 0.13, 0.105, 0.1725, 0.15037593984962405]"
5,"[0.12718204488778054, 0.09, 0.19, 0.11, 0.21, 0.085, 0.165, 0.2, 0.1575, 0.0925, 0.1075, 0.1025, 0.1875, 0.1425, 0.075, 0.1475, 0.1025, 0.1125, 0.12, 0.1425, 0.1275, 0.08, 0.1025, 0.0975, 0.11779448621553884]"
6,"[0.11221945137157108, 0.0875, 0.1225, 0.1075, 0.1225, 0.085, 0.1075, 0.1225, 0.1075, 0.0925, 0.1075, 0.0875, 0.0825, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.1025, 0.1125, 0.08, 0.1, 0.0975, 0.10275689223057644]"
7,"[0.11471321695760599, 0.0925, 0.1675, 0.1075, 0.1525, 0.085, 0.12, 0.2025, 0.1175, 0.0925, 0.1075, 0.0875, 0.1275, 0.1425, 0.075, 0.1025, 0.1025, 0.1125, 0.1075, 0.105, 0.11, 0.08, 0.1025, 0.0975, 0.10275689223057644]"
8,"[0.17206982543640897, 0.17, 0.24, 0.205, 0.195, 0.1575, 0.1975, 0.2025, 0.18, 0.1875, 0.2025, 0.185, 0.1825, 0.205, 0.135, 0.24, 0.1825, 0.1925, 0.165, 0.19, 0.2225, 0.1475, 0.2, 0.17, 0.17042606516290726]"
9,"[0.26433915211970077, 0.2975, 0.29, 0.255, 0.3475, 0.2975, 0.265, 0.3325, 0.32, 0.335, 0.205, 0.3075, 0.3725, 0.375, 0.2725, 0.2675, 0.36, 0.35, 0.335, 0.235, 0.35, 0.345, 0.2525, 0.26, 0.3508771929824561]"
10,"[0.3516209476309227, 0.3825, 0.35, 0.3975, 0.32, 0.3625, 0.3525, 0.3225, 0.35, 0.3925, 0.3675, 0.3325, 0.3675, 0.3675, 0.36, 0.355, 0.39, 0.3675, 0.2925, 0.3575, 0.43, 0.3225, 0.3775, 0.4125, 0.37343358395989973]"
11,"[0.26433915211970077, 0.35, 0.32, 0.3525, 0.3175, 0.4325, 0.3175, 0.39, 0.3975, 0.4075, 0.265, 0.285, 0.3625, 0.3775, 0.375, 0.3075, 0.4025, 0.395, 0.32, 0.2825, 0.3525, 0.4125, 0.275, 0.4025, 0.43859649122807015]"
12,"[0.3491271820448878, 0.365, 0.2675, 0.2875, 0.3275, 0.3925, 0.3425, 0.315, 0.3525, 0.335, 0.3025, 0.335, 0.275, 0.3575, 0.3225, 0.3575, 0.4125, 0.365, 0.26, 0.315, 0.225, 0.3275, 0.3125, 0.435, 0.38095238095238093]"
