eigenvector_centrality,"[10, 13]"
0,"[0.10972568578553615, 0.1025, 0.1375, 0.095, 0.0975, 0.1, 0.11, 0.0925, 0.1125, 0.085, 0.0825, 0.1, 0.1075, 0.0975, 0.1225, 0.115, 0.1025, 0.0725, 0.1125, 0.1275, 0.075, 0.1025, 0.12, 0.0875, 0.10275689223057644]"
1,"[0.10972568578553615, 0.1025, 0.1125, 0.105, 0.0825, 0.0825, 0.11, 0.0925, 0.1125, 0.0925, 0.1125, 0.1, 0.095, 0.0975, 0.1075, 0.085, 0.1225, 0.0725, 0.1125, 0.1375, 0.075, 0.105, 0.12, 0.1125, 0.09523809523809523]"
2,"[0.1172069825436409, 0.1025, 0.1375, 0.0925, 0.1075, 0.0825, 0.115, 0.0925, 0.1125, 0.085, 0.0825, 0.1175, 0.095, 0.0975, 0.1675, 0.1125, 0.1025, 0.0725, 0.1125, 0.1275, 0.0825, 0.115, 0.075, 0.1125, 0.11278195488721804]"
3,"[0.08229426433915212, 0.1025, 0.1375, 0.0925, 0.0825, 0.16, 0.095, 0.0925, 0.115, 0.1125, 0.165, 0.1, 0.095, 0.1, 0.1075, 0.085, 0.14, 0.1, 0.1, 0.1275, 0.0825, 0.105, 0.09, 0.12, 0.09523809523809523]"
4,"[0.08229426433915212, 0.11, 0.08, 0.105, 0.1075, 0.1, 0.125, 0.0975, 0.1225, 0.1125, 0.1125, 0.1, 0.0725, 0.1, 0.11, 0.085, 0.1075, 0.145, 0.0925, 0.1275, 0.0825, 0.115, 0.12, 0.1375, 0.10275689223057644]"
5,"[0.08229426433915212, 0.095, 0.08, 0.0925, 0.085, 0.1, 0.125, 0.0975, 0.1225, 0.1125, 0.1125, 0.1, 0.075, 0.1, 0.0875, 0.085, 0.1075, 0.1, 0.0925, 0.16, 0.0825, 0.115, 0.12, 0.0875, 0.10275689223057644]"
6,"[0.08229426433915212, 0.095, 0.235, 0.095, 0.1975, 0.1, 0.125, 0.1025, 0.165, 0.085, 0.1125, 0.1, 0.125, 0.1, 0.09, 0.0925, 0.1175, 0.1025, 0.1425, 0.14, 0.1125, 0.115, 0.12, 0.1225, 0.10275689223057644]"
7,"[0.10473815461346633, 0.16, 0.2225, 0.17, 0.1825, 0.1675, 0.185, 0.1175, 0.1475, 0.1525, 0.085, 0.1025, 0.195, 0.095, 0.1, 0.18, 0.14, 0.1, 0.18, 0.19, 0.2025, 0.2025, 0.075, 0.1225, 0.11027568922305764]"
8,"[0.22194513715710723, 0.155, 0.245, 0.2025, 0.225, 0.165, 0.1775, 0.2075, 0.205, 0.17, 0.21, 0.1975, 0.2575, 0.1675, 0.1725, 0.2875, 0.17, 0.135, 0.275, 0.175, 0.2375, 0.2475, 0.2475, 0.2, 0.3258145363408521]"
9,"[0.24937655860349128, 0.365, 0.385, 0.355, 0.3325, 0.27, 0.3825, 0.195, 0.3425, 0.4525, 0.365, 0.27, 0.415, 0.26, 0.285, 0.35, 0.4125, 0.365, 0.2725, 0.31, 0.3275, 0.3075, 0.265, 0.31, 0.19047619047619047]"
10,"[0.41895261845386533, 0.3025, 0.34, 0.34, 0.3975, 0.3025, 0.3325, 0.425, 0.4375, 0.3475, 0.35, 0.3525, 0.43, 0.4175, 0.38, 0.44, 0.31, 0.3125, 0.3325, 0.2725, 0.4125, 0.495, 0.4275, 0.45, 0.42857142857142855]"
11,"[0.39650872817955113, 0.4725, 0.4, 0.485, 0.3475, 0.405, 0.4525, 0.3075, 0.4225, 0.495, 0.48, 0.325, 0.485, 0.2825, 0.4125, 0.425, 0.465, 0.455, 0.3125, 0.235, 0.5175, 0.2075, 0.4275, 0.4575, 0.18045112781954886]"
