betweeness_centrality,[64 82 55 26 80  6 93 59 89 87  2 39 65  8 42 51  0 58 73 94]
0,"[0.07920792079207921, 0.1, 0.09, 0.08, 0.15, 0.12, 0.1, 0.07, 0.09, 0.04, 0.07, 0.07, 0.15, 0.09, 0.09, 0.06, 0.13, 0.09, 0.09, 0.08, 0.11, 0.11, 0.11, 0.05, 0.1, 0.09, 0.1, 0.15, 0.1, 0.06, 0.07, 0.07, 0.08, 0.09, 0.08, 0.08, 0.11, 0.09, 0.09, 0.1, 0.06, 0.04, 0.1, 0.07, 0.02, 0.08, 0.08, 0.13, 0.13, 0.12, 0.08, 0.12, 0.14, 0.1, 0.05, 0.09, 0.08, 0.06, 0.04, 0.1, 0.13, 0.14, 0.14, 0.13, 0.08, 0.09, 0.07, 0.08, 0.12, 0.12, 0.1, 0.05, 0.14, 0.09, 0.1, 0.12, 0.13, 0.13, 0.07, 0.05, 0.09, 0.06, 0.13, 0.1, 0.06, 0.07, 0.11, 0.07, 0.1, 0.12, 0.1, 0.1, 0.1, 0.09, 0.13, 0.07, 0.11, 0.05, 0.09, 0.09090909090909091]"
1,"[0.07920792079207921, 0.09, 0.09, 0.04, 0.07, 0.06, 0.05, 0.07, 0.11, 0.08, 0.1, 0.09, 0.1, 0.12, 0.12, 0.06, 0.13, 0.09, 0.09, 0.08, 0.11, 0.12, 0.14, 0.09, 0.1, 0.09, 0.08, 0.09, 0.09, 0.07, 0.07, 0.07, 0.11, 0.08, 0.08, 0.09, 0.13, 0.13, 0.09, 0.1, 0.08, 0.12, 0.04, 0.14, 0.1, 0.12, 0.1, 0.12, 0.12, 0.1, 0.16, 0.11, 0.14, 0.05, 0.13, 0.09, 0.11, 0.06, 0.04, 0.1, 0.04, 0.07, 0.14, 0.13, 0.13, 0.09, 0.07, 0.1, 0.07, 0.13, 0.09, 0.05, 0.14, 0.12, 0.14, 0.12, 0.1, 0.15, 0.08, 0.13, 0.09, 0.05, 0.12, 0.06, 0.08, 0.07, 0.13, 0.06, 0.03, 0.1, 0.09, 0.12, 0.1, 0.12, 0.09, 0.14, 0.08, 0.17, 0.06, 0.09090909090909091]"
2,"[0.1188118811881188, 0.12, 0.09, 0.18, 0.08, 0.06, 0.12, 0.07, 0.11, 0.08, 0.13, 0.09, 0.12, 0.1, 0.12, 0.06, 0.13, 0.04, 0.09, 0.08, 0.13, 0.12, 0.12, 0.09, 0.1, 0.09, 0.08, 0.09, 0.09, 0.06, 0.07, 0.07, 0.11, 0.1, 0.08, 0.09, 0.11, 0.13, 0.09, 0.1, 0.08, 0.12, 0.04, 0.14, 0.1, 0.12, 0.1, 0.12, 0.12, 0.1, 0.16, 0.12, 0.14, 0.08, 0.13, 0.09, 0.11, 0.13, 0.04, 0.1, 0.04, 0.07, 0.13, 0.13, 0.08, 0.13, 0.07, 0.1, 0.07, 0.13, 0.14, 0.11, 0.12, 0.12, 0.14, 0.12, 0.1, 0.11, 0.08, 0.13, 0.09, 0.05, 0.12, 0.06, 0.08, 0.07, 0.07, 0.06, 0.15, 0.14, 0.09, 0.12, 0.1, 0.12, 0.09, 0.07, 0.08, 0.17, 0.06, 0.09090909090909091]"
3,"[0.1188118811881188, 0.12, 0.09, 0.18, 0.08, 0.06, 0.12, 0.07, 0.11, 0.08, 0.1, 0.09, 0.1, 0.1, 0.12, 0.06, 0.13, 0.04, 0.09, 0.08, 0.11, 0.12, 0.14, 0.09, 0.1, 0.09, 0.08, 0.09, 0.09, 0.06, 0.07, 0.07, 0.11, 0.1, 0.08, 0.09, 0.13, 0.13, 0.09, 0.08, 0.08, 0.12, 0.04, 0.14, 0.1, 0.12, 0.08, 0.12, 0.12, 0.1, 0.16, 0.12, 0.14, 0.05, 0.13, 0.09, 0.11, 0.13, 0.04, 0.1, 0.04, 0.07, 0.13, 0.12, 0.08, 0.09, 0.07, 0.1, 0.07, 0.13, 0.14, 0.11, 0.14, 0.12, 0.14, 0.12, 0.13, 0.11, 0.07, 0.13, 0.09, 0.05, 0.12, 0.06, 0.08, 0.07, 0.13, 0.06, 0.15, 0.14, 0.09, 0.12, 0.1, 0.12, 0.09, 0.07, 0.08, 0.05, 0.09, 0.09090909090909091]"
4,"[0.1188118811881188, 0.09, 0.09, 0.04, 0.08, 0.06, 0.12, 0.07, 0.11, 0.08, 0.1, 0.09, 0.1, 0.1, 0.12, 0.06, 0.13, 0.04, 0.09, 0.08, 0.11, 0.12, 0.14, 0.09, 0.1, 0.09, 0.08, 0.06, 0.09, 0.06, 0.07, 0.07, 0.13, 0.1, 0.08, 0.09, 0.11, 0.13, 0.09, 0.1, 0.08, 0.09, 0.04, 0.14, 0.1, 0.12, 0.1, 0.12, 0.1, 0.1, 0.16, 0.12, 0.14, 0.05, 0.13, 0.09, 0.11, 0.13, 0.04, 0.1, 0.04, 0.07, 0.13, 0.12, 0.08, 0.13, 0.07, 0.1, 0.07, 0.13, 0.09, 0.11, 0.14, 0.12, 0.14, 0.12, 0.13, 0.11, 0.07, 0.13, 0.09, 0.05, 0.12, 0.06, 0.08, 0.07, 0.13, 0.06, 0.15, 0.14, 0.09, 0.12, 0.1, 0.12, 0.09, 0.07, 0.08, 0.17, 0.06, 0.09090909090909091]"
5,"[0.1188118811881188, 0.12, 0.11, 0.18, 0.08, 0.06, 0.12, 0.07, 0.11, 0.08, 0.1, 0.09, 0.1, 0.18, 0.12, 0.06, 0.13, 0.04, 0.09, 0.09, 0.11, 0.18, 0.14, 0.09, 0.1, 0.09, 0.08, 0.09, 0.09, 0.06, 0.07, 0.07, 0.1, 0.1, 0.08, 0.09, 0.11, 0.13, 0.09, 0.1, 0.06, 0.12, 0.04, 0.14, 0.1, 0.12, 0.1, 0.12, 0.12, 0.1, 0.16, 0.12, 0.14, 0.05, 0.13, 0.09, 0.11, 0.13, 0.04, 0.1, 0.04, 0.07, 0.13, 0.13, 0.08, 0.09, 0.07, 0.12, 0.07, 0.07, 0.14, 0.09, 0.14, 0.16, 0.14, 0.12, 0.1, 0.11, 0.07, 0.13, 0.09, 0.05, 0.12, 0.06, 0.08, 0.07, 0.07, 0.06, 0.15, 0.14, 0.09, 0.12, 0.1, 0.12, 0.09, 0.07, 0.08, 0.17, 0.06, 0.09090909090909091]"
6,"[0.1485148514851485, 0.12, 0.1, 0.04, 0.14, 0.06, 0.18, 0.07, 0.11, 0.08, 0.1, 0.09, 0.1, 0.12, 0.12, 0.07, 0.18, 0.04, 0.09, 0.08, 0.11, 0.16, 0.14, 0.09, 0.1, 0.12, 0.08, 0.09, 0.09, 0.06, 0.07, 0.07, 0.11, 0.12, 0.08, 0.15, 0.11, 0.19, 0.1, 0.1, 0.06, 0.12, 0.1, 0.12, 0.1, 0.1, 0.1, 0.12, 0.12, 0.09, 0.08, 0.2, 0.14, 0.08, 0.13, 0.11, 0.11, 0.06, 0.04, 0.1, 0.04, 0.07, 0.14, 0.12, 0.13, 0.13, 0.11, 0.1, 0.07, 0.03, 0.17, 0.05, 0.12, 0.12, 0.14, 0.12, 0.1, 0.11, 0.07, 0.11, 0.12, 0.08, 0.19, 0.06, 0.1, 0.07, 0.13, 0.06, 0.03, 0.1, 0.13, 0.19, 0.12, 0.12, 0.09, 0.07, 0.08, 0.17, 0.09, 0.09090909090909091]"
7,"[0.06930693069306931, 0.12, 0.11, 0.18, 0.09, 0.12, 0.1, 0.07, 0.06, 0.08, 0.13, 0.15, 0.12, 0.12, 0.07, 0.07, 0.1, 0.08, 0.15, 0.08, 0.13, 0.16, 0.08, 0.1, 0.16, 0.14, 0.08, 0.09, 0.13, 0.06, 0.07, 0.06, 0.1, 0.08, 0.07, 0.13, 0.11, 0.09, 0.1, 0.1, 0.06, 0.12, 0.04, 0.14, 0.02, 0.1, 0.08, 0.12, 0.12, 0.09, 0.08, 0.21, 0.14, 0.09, 0.06, 0.13, 0.11, 0.06, 0.04, 0.1, 0.05, 0.22, 0.14, 0.13, 0.13, 0.13, 0.11, 0.1, 0.07, 0.03, 0.09, 0.05, 0.25, 0.12, 0.08, 0.13, 0.1, 0.09, 0.08, 0.15, 0.09, 0.13, 0.15, 0.06, 0.09, 0.07, 0.13, 0.06, 0.03, 0.15, 0.09, 0.18, 0.1, 0.12, 0.13, 0.07, 0.11, 0.17, 0.09, 0.09090909090909091]"
8,"[0.12871287128712872, 0.12, 0.11, 0.04, 0.09, 0.12, 0.1, 0.07, 0.06, 0.11, 0.13, 0.09, 0.16, 0.12, 0.09, 0.07, 0.08, 0.16, 0.12, 0.08, 0.13, 0.16, 0.08, 0.1, 0.16, 0.12, 0.14, 0.09, 0.08, 0.06, 0.16, 0.1, 0.1, 0.09, 0.07, 0.13, 0.11, 0.09, 0.1, 0.2, 0.06, 0.12, 0.08, 0.1, 0.1, 0.1, 0.08, 0.12, 0.12, 0.09, 0.08, 0.11, 0.23, 0.14, 0.12, 0.11, 0.17, 0.06, 0.05, 0.1, 0.12, 0.16, 0.14, 0.12, 0.13, 0.13, 0.09, 0.1, 0.05, 0.03, 0.1, 0.05, 0.12, 0.12, 0.2, 0.1, 0.25, 0.09, 0.08, 0.15, 0.14, 0.1, 0.09, 0.12, 0.09, 0.07, 0.17, 0.06, 0.03, 0.1, 0.1, 0.18, 0.06, 0.13, 0.11, 0.12, 0.1, 0.24, 0.09, 0.09090909090909091]"
