eigenvector_centrality,"[6, 5]"
0,"[0.11221945137157108, 0.0975, 0.0775, 0.1075, 0.12, 0.085, 0.08, 0.1225, 0.105, 0.1225, 0.1075, 0.1, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.0875, 0.12, 0.08, 0.1, 0.0975, 0.10275689223057644]"
1,"[0.11221945137157108, 0.095, 0.075, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.1125, 0.1075, 0.115, 0.08, 0.115, 0.075, 0.0875, 0.0975, 0.1125, 0.1, 0.0875, 0.1075, 0.08, 0.1, 0.0925, 0.10275689223057644]"
2,"[0.11221945137157108, 0.0975, 0.075, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.1125, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.1, 0.1025, 0.1125, 0.1, 0.0875, 0.1075, 0.08, 0.1, 0.1225, 0.10275689223057644]"
3,"[0.11221945137157108, 0.0975, 0.14, 0.1075, 0.12, 0.085, 0.1075, 0.125, 0.105, 0.0925, 0.1125, 0.1725, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.0875, 0.1075, 0.08, 0.1, 0.1225, 0.10275689223057644]"
4,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
5,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.13, 0.075, 0.1, 0.1075, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.12030075187969924]"
6,"[0.12468827930174564, 0.0925, 0.115, 0.11, 0.14, 0.0875, 0.1125, 0.1375, 0.1175, 0.1, 0.1125, 0.0875, 0.0975, 0.16, 0.09, 0.105, 0.125, 0.115, 0.11, 0.0975, 0.1075, 0.085, 0.1025, 0.0975, 0.12030075187969924]"
7,"[0.18952618453865336, 0.1075, 0.1575, 0.135, 0.155, 0.11, 0.145, 0.15, 0.1775, 0.125, 0.15, 0.1075, 0.1175, 0.175, 0.1425, 0.17, 0.18, 0.1525, 0.1575, 0.19, 0.12, 0.1, 0.11, 0.1475, 0.17293233082706766]"
8,"[0.20199501246882792, 0.2725, 0.3025, 0.2075, 0.2775, 0.22, 0.25, 0.2875, 0.2425, 0.1775, 0.2375, 0.2125, 0.3025, 0.2175, 0.2575, 0.23, 0.2375, 0.26, 0.2525, 0.1825, 0.205, 0.2275, 0.2225, 0.21, 0.24310776942355888]"
9,"[0.41895261845386533, 0.2575, 0.32, 0.3125, 0.3375, 0.2825, 0.3075, 0.285, 0.4175, 0.42, 0.2925, 0.325, 0.3075, 0.35, 0.2775, 0.3675, 0.3675, 0.33, 0.2925, 0.33, 0.395, 0.28, 0.3225, 0.165, 0.39849624060150374]"
10,"[0.2144638403990025, 0.415, 0.41, 0.365, 0.4325, 0.425, 0.455, 0.315, 0.3225, 0.2525, 0.3975, 0.3275, 0.4, 0.2725, 0.43, 0.3475, 0.4625, 0.425, 0.415, 0.1875, 0.33, 0.4625, 0.31, 0.3475, 0.22305764411027568]"
11,"[0.38902743142144636, 0.16, 0.235, 0.42, 0.3725, 0.3975, 0.4325, 0.21, 0.425, 0.3175, 0.2725, 0.4675, 0.325, 0.395, 0.2475, 0.41, 0.45, 0.3675, 0.37, 0.33, 0.3225, 0.3125, 0.4975, 0.22, 0.37593984962406013]"
12,"[0.1745635910224439, 0.42, 0.395, 0.4225, 0.4375, 0.4775, 0.4625, 0.32, 0.28, 0.14, 0.3675, 0.3775, 0.4725, 0.2475, 0.37, 0.3225, 0.5225, 0.3425, 0.4175, 0.2275, 0.2375, 0.405, 0.255, 0.31, 0.19298245614035087]"
