eigenvector_centrality,"[0, 4, 18, 19, 8]"
0,"[0.10972568578553615, 0.1425, 0.11, 0.09, 0.0825, 0.115, 0.0675, 0.095, 0.115, 0.1075, 0.0775, 0.095, 0.08, 0.1025, 0.1075, 0.115, 0.1, 0.12, 0.0925, 0.115, 0.075, 0.1175, 0.0725, 0.12, 0.11278195488721804]"
1,"[0.08977556109725686, 0.1025, 0.1, 0.09, 0.0825, 0.1325, 0.0875, 0.1275, 0.115, 0.11, 0.1, 0.1775, 0.145, 0.0975, 0.1075, 0.1125, 0.1025, 0.095, 0.0825, 0.0825, 0.095, 0.1075, 0.105, 0.1325, 0.11278195488721804]"
2,"[0.10972568578553615, 0.115, 0.1375, 0.09, 0.0825, 0.1025, 0.0875, 0.085, 0.115, 0.1125, 0.1, 0.1025, 0.095, 0.1025, 0.1075, 0.1125, 0.1025, 0.095, 0.155, 0.0725, 0.075, 0.1175, 0.09, 0.11, 0.11278195488721804]"
3,"[0.10473815461346633, 0.12, 0.1375, 0.0775, 0.08, 0.0825, 0.0875, 0.1075, 0.115, 0.1575, 0.1, 0.1175, 0.175, 0.0975, 0.1075, 0.1125, 0.1025, 0.095, 0.1, 0.1, 0.095, 0.1075, 0.115, 0.0925, 0.11278195488721804]"
4,"[0.10972568578553615, 0.115, 0.1375, 0.07, 0.0825, 0.0825, 0.0875, 0.09, 0.15, 0.085, 0.1, 0.1175, 0.135, 0.1025, 0.1075, 0.115, 0.1025, 0.095, 0.0825, 0.1, 0.095, 0.1075, 0.09, 0.165, 0.11278195488721804]"
5,"[0.10473815461346633, 0.1025, 0.1375, 0.1475, 0.0825, 0.1025, 0.0875, 0.13, 0.075, 0.11, 0.1, 0.135, 0.1075, 0.1025, 0.1825, 0.21, 0.075, 0.095, 0.1325, 0.1575, 0.095, 0.1075, 0.115, 0.1075, 0.11278195488721804]"
6,"[0.10473815461346633, 0.115, 0.0975, 0.135, 0.135, 0.0825, 0.0875, 0.085, 0.075, 0.085, 0.0925, 0.1175, 0.13, 0.1025, 0.1225, 0.115, 0.1025, 0.1, 0.0825, 0.1, 0.095, 0.17, 0.115, 0.0975, 0.11278195488721804]"
7,"[0.10473815461346633, 0.115, 0.1375, 0.095, 0.08, 0.1025, 0.0875, 0.18, 0.075, 0.095, 0.0925, 0.1025, 0.1075, 0.1025, 0.1225, 0.115, 0.075, 0.1, 0.0825, 0.1, 0.095, 0.12, 0.115, 0.145, 0.14786967418546365]"
8,"[0.10473815461346633, 0.115, 0.0975, 0.1125, 0.135, 0.0825, 0.0875, 0.085, 0.075, 0.085, 0.0925, 0.1175, 0.1075, 0.1025, 0.1225, 0.115, 0.075, 0.1, 0.0825, 0.1, 0.095, 0.1175, 0.115, 0.0975, 0.12531328320802004]"
9,"[0.10473815461346633, 0.115, 0.1425, 0.095, 0.0825, 0.1025, 0.0875, 0.13, 0.075, 0.085, 0.0925, 0.1025, 0.1075, 0.1025, 0.1225, 0.115, 0.075, 0.1, 0.0825, 0.1, 0.095, 0.1175, 0.115, 0.1125, 0.09273182957393483]"
10,"[0.10473815461346633, 0.115, 0.0975, 0.1125, 0.135, 0.16, 0.0875, 0.085, 0.075, 0.085, 0.0925, 0.1275, 0.1075, 0.1025, 0.1225, 0.115, 0.075, 0.1, 0.0825, 0.1, 0.095, 0.1175, 0.115, 0.0975, 0.09273182957393483]"
11,"[0.10473815461346633, 0.115, 0.0975, 0.095, 0.08, 0.1025, 0.0875, 0.14, 0.075, 0.085, 0.0925, 0.1025, 0.1075, 0.1025, 0.1225, 0.115, 0.075, 0.1, 0.0825, 0.1, 0.095, 0.1175, 0.115, 0.1575, 0.09273182957393483]"
12,"[0.10473815461346633, 0.115, 0.0975, 0.1625, 0.135, 0.1025, 0.0875, 0.085, 0.075, 0.085, 0.0925, 0.195, 0.1075, 0.1025, 0.1225, 0.115, 0.075, 0.1, 0.0825, 0.1, 0.095, 0.1525, 0.115, 0.0975, 0.09273182957393483]"
13,"[0.10473815461346633, 0.115, 0.0975, 0.095, 0.1075, 0.1025, 0.0875, 0.085, 0.075, 0.085, 0.0925, 0.1025, 0.1075, 0.1025, 0.1225, 0.115, 0.075, 0.1, 0.0825, 0.1, 0.095, 0.1175, 0.115, 0.18, 0.09273182957393483]"
14,"[0.10473815461346633, 0.115, 0.0975, 0.1175, 0.135, 0.1025, 0.0875, 0.085, 0.075, 0.085, 0.0925, 0.1775, 0.1075, 0.1025, 0.1225, 0.115, 0.075, 0.1, 0.0825, 0.1, 0.095, 0.1725, 0.115, 0.0975, 0.09273182957393483]"
15,"[0.10473815461346633, 0.115, 0.0975, 0.095, 0.135, 0.1025, 0.0875, 0.085, 0.075, 0.085, 0.0925, 0.1025, 0.1075, 0.1025, 0.1225, 0.115, 0.075, 0.1, 0.0825, 0.1, 0.095, 0.1175, 0.115, 0.12, 0.09273182957393483]"
16,"[0.10473815461346633, 0.115, 0.0975, 0.1125, 0.135, 0.1025, 0.0875, 0.085, 0.075, 0.085, 0.0925, 0.105, 0.1075, 0.1025, 0.1225, 0.115, 0.075, 0.1, 0.0825, 0.1, 0.095, 0.1725, 0.115, 0.0975, 0.09273182957393483]"
17,"[0.10473815461346633, 0.115, 0.0975, 0.095, 0.135, 0.1025, 0.0875, 0.085, 0.075, 0.085, 0.0925, 0.1025, 0.1075, 0.1025, 0.1225, 0.115, 0.075, 0.1, 0.0825, 0.1, 0.095, 0.1175, 0.115, 0.1125, 0.09273182957393483]"
