eigenvector_centrality,"[22, 14]"
0,"[0.07481296758104738, 0.1025, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1125, 0.1175, 0.11, 0.0925, 0.0875, 0.08, 0.1075, 0.105, 0.0925, 0.09523809523809523]"
1,"[0.07481296758104738, 0.1025, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.0975, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.1075, 0.105, 0.0925, 0.09523809523809523]"
2,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
3,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
4,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
5,"[0.07481296758104738, 0.1725, 0.1, 0.185, 0.0975, 0.11, 0.155, 0.1575, 0.1025, 0.175, 0.1525, 0.1775, 0.1625, 0.135, 0.1675, 0.1825, 0.1775, 0.1725, 0.1675, 0.0875, 0.21, 0.18, 0.165, 0.1925, 0.10526315789473684]"
6,"[0.14713216957605985, 0.0875, 0.22, 0.1725, 0.1825, 0.12, 0.1275, 0.17, 0.1775, 0.165, 0.12, 0.125, 0.1925, 0.1925, 0.0975, 0.095, 0.1025, 0.195, 0.11, 0.15, 0.11, 0.08, 0.125, 0.1, 0.18295739348370926]"
7,"[0.12219451371571072, 0.0875, 0.1875, 0.1075, 0.185, 0.0825, 0.1125, 0.1425, 0.135, 0.1025, 0.1125, 0.095, 0.1075, 0.1275, 0.0725, 0.0975, 0.1025, 0.115, 0.1, 0.115, 0.1075, 0.08, 0.1025, 0.0975, 0.11528822055137844]"
8,"[0.1546134663341646, 0.105, 0.2225, 0.145, 0.145, 0.1075, 0.1325, 0.1675, 0.175, 0.13, 0.1275, 0.1125, 0.17, 0.1625, 0.0775, 0.1325, 0.1175, 0.1825, 0.1325, 0.1275, 0.125, 0.1125, 0.11, 0.1, 0.16290726817042606]"
9,"[0.18703241895261846, 0.2425, 0.275, 0.22, 0.2475, 0.2325, 0.2525, 0.225, 0.2025, 0.22, 0.1875, 0.1975, 0.2025, 0.2275, 0.225, 0.215, 0.2475, 0.235, 0.185, 0.1975, 0.2625, 0.2225, 0.2025, 0.2275, 0.2531328320802005]"
10,"[0.2942643391521197, 0.3475, 0.36, 0.345, 0.265, 0.3525, 0.3225, 0.3525, 0.29, 0.435, 0.3225, 0.3, 0.315, 0.3825, 0.3, 0.385, 0.3925, 0.33, 0.41, 0.34, 0.3775, 0.4175, 0.29, 0.3675, 0.42355889724310775]"
11,"[0.34413965087281795, 0.395, 0.36, 0.3575, 0.3975, 0.38, 0.4475, 0.44, 0.335, 0.3375, 0.2925, 0.4025, 0.3525, 0.3775, 0.3575, 0.3025, 0.4125, 0.3725, 0.305, 0.365, 0.445, 0.475, 0.405, 0.455, 0.3533834586466165]"
12,"[0.3117206982543641, 0.3525, 0.3825, 0.46, 0.3, 0.38, 0.3375, 0.3475, 0.355, 0.42, 0.255, 0.315, 0.4, 0.425, 0.4275, 0.4825, 0.43, 0.3625, 0.3, 0.3625, 0.345, 0.4625, 0.3325, 0.425, 0.38095238095238093]"
13,"[0.34663341645885287, 0.3725, 0.3275, 0.4525, 0.2575, 0.42, 0.3275, 0.29, 0.3575, 0.355, 0.295, 0.4725, 0.425, 0.365, 0.375, 0.3825, 0.4075, 0.3075, 0.33, 0.36, 0.28, 0.39, 0.4875, 0.4275, 0.3684210526315789]"
14,"[0.26184538653366585, 0.3275, 0.3775, 0.4625, 0.3, 0.365, 0.3175, 0.3625, 0.4075, 0.3775, 0.24, 0.45, 0.4, 0.325, 0.335, 0.345, 0.36, 0.3125, 0.37, 0.3875, 0.3425, 0.435, 0.395, 0.39, 0.41854636591478694]"
15,"[0.39900249376558605, 0.4, 0.3875, 0.46, 0.295, 0.4575, 0.315, 0.295, 0.345, 0.3175, 0.305, 0.42, 0.4775, 0.335, 0.3525, 0.3875, 0.3675, 0.2975, 0.3425, 0.3575, 0.2925, 0.3475, 0.485, 0.3375, 0.3533834586466165]"
16,"[0.2942643391521197, 0.3675, 0.4225, 0.4325, 0.29, 0.41, 0.28, 0.3525, 0.4425, 0.355, 0.2975, 0.3675, 0.4025, 0.3175, 0.3275, 0.34, 0.3625, 0.3375, 0.3525, 0.375, 0.36, 0.405, 0.3575, 0.385, 0.42355889724310775]"
17,"[0.36658354114713215, 0.415, 0.4075, 0.435, 0.3, 0.395, 0.3375, 0.2975, 0.365, 0.325, 0.3, 0.4425, 0.4525, 0.34, 0.4075, 0.32, 0.355, 0.315, 0.3475, 0.345, 0.315, 0.3525, 0.455, 0.3075, 0.3458646616541353]"
18,"[0.3092269326683292, 0.37, 0.425, 0.43, 0.2925, 0.4425, 0.2875, 0.35, 0.41, 0.36, 0.3225, 0.3625, 0.41, 0.33, 0.33, 0.3425, 0.375, 0.3475, 0.3375, 0.38, 0.39, 0.39, 0.355, 0.4275, 0.45363408521303256]"
19,"[0.36159600997506236, 0.45, 0.415, 0.4325, 0.335, 0.37, 0.325, 0.2975, 0.3825, 0.35, 0.31, 0.465, 0.44, 0.355, 0.375, 0.345, 0.3875, 0.3225, 0.3525, 0.3525, 0.3225, 0.35, 0.45, 0.325, 0.3383458646616541]"
20,"[0.3192019950124688, 0.3775, 0.365, 0.44, 0.3225, 0.44, 0.3, 0.36, 0.35, 0.3725, 0.3375, 0.3525, 0.41, 0.3425, 0.325, 0.3375, 0.4075, 0.355, 0.33, 0.3775, 0.3925, 0.2925, 0.3475, 0.4325, 0.45112781954887216]"
21,"[0.3491271820448878, 0.4325, 0.4275, 0.44, 0.3375, 0.3575, 0.335, 0.3125, 0.3825, 0.375, 0.32, 0.465, 0.43, 0.3675, 0.375, 0.3575, 0.3725, 0.34, 0.3575, 0.375, 0.3375, 0.42, 0.445, 0.335, 0.3458646616541353]"
22,"[0.3192019950124688, 0.38, 0.3425, 0.455, 0.3375, 0.4225, 0.375, 0.3525, 0.345, 0.3825, 0.355, 0.34, 0.4225, 0.365, 0.3275, 0.345, 0.4225, 0.365, 0.355, 0.385, 0.415, 0.275, 0.3325, 0.405, 0.42105263157894735]"
23,"[0.3566084788029925, 0.395, 0.415, 0.435, 0.3575, 0.3475, 0.365, 0.33, 0.395, 0.41, 0.3225, 0.435, 0.4325, 0.3925, 0.3875, 0.3625, 0.38, 0.345, 0.36, 0.3875, 0.3475, 0.395, 0.44, 0.345, 0.3533834586466165]"
24,"[0.3167082294264339, 0.3975, 0.3325, 0.4575, 0.33, 0.41, 0.34, 0.36, 0.335, 0.4025, 0.355, 0.35, 0.44, 0.375, 0.315, 0.3575, 0.4175, 0.375, 0.3775, 0.4075, 0.39, 0.2925, 0.325, 0.38, 0.40350877192982454]"
25,"[0.3640897755610973, 0.4025, 0.415, 0.525, 0.3775, 0.35, 0.3675, 0.34, 0.385, 0.425, 0.3375, 0.4175, 0.445, 0.395, 0.3725, 0.355, 0.3925, 0.35, 0.3625, 0.395, 0.3625, 0.375, 0.495, 0.355, 0.3558897243107769]"
26,"[0.26433915211970077, 0.4175, 0.3275, 0.455, 0.3225, 0.4425, 0.335, 0.32, 0.3425, 0.3975, 0.3575, 0.385, 0.465, 0.38, 0.52, 0.385, 0.42, 0.4075, 0.4025, 0.445, 0.3875, 0.3325, 0.52, 0.3725, 0.41102756892230574]"
27,"[0.36658354114713215, 0.395, 0.405, 0.53, 0.375, 0.395, 0.3725, 0.3625, 0.395, 0.46, 0.37, 0.41, 0.4325, 0.45, 0.425, 0.425, 0.4225, 0.385, 0.41, 0.4225, 0.36, 0.3825, 0.45, 0.3525, 0.38095238095238093]"
28,"[0.3765586034912718, 0.425, 0.395, 0.4975, 0.3725, 0.41, 0.3425, 0.41, 0.3325, 0.39, 0.375, 0.3725, 0.4625, 0.38, 0.475, 0.3875, 0.36, 0.3925, 0.3725, 0.4225, 0.3475, 0.3575, 0.4975, 0.35, 0.38847117794486213]"
29,"[0.34413965087281795, 0.3875, 0.3875, 0.4525, 0.3775, 0.455, 0.38, 0.3225, 0.42, 0.3675, 0.34, 0.405, 0.385, 0.375, 0.4925, 0.445, 0.46, 0.475, 0.4425, 0.42, 0.37, 0.3325, 0.395, 0.37, 0.40601503759398494]"
30,"[0.5311720698254364, 0.4125, 0.3925, 0.4575, 0.35, 0.3525, 0.3225, 0.455, 0.3175, 0.4175, 0.3775, 0.3825, 0.4675, 0.39, 0.38, 0.3675, 0.3325, 0.3525, 0.3425, 0.4, 0.335, 0.43, 0.4625, 0.33, 0.3609022556390977]"
31,"[0.3516209476309227, 0.3675, 0.37, 0.4125, 0.38, 0.475, 0.3725, 0.3025, 0.415, 0.395, 0.3225, 0.395, 0.4, 0.3825, 0.45, 0.43, 0.4375, 0.4825, 0.43, 0.41, 0.3425, 0.2975, 0.39, 0.36, 0.42857142857142855]"
32,"[0.57356608478803, 0.4175, 0.38, 0.455, 0.33, 0.3, 0.315, 0.4025, 0.3075, 0.4175, 0.3475, 0.3825, 0.5175, 0.3875, 0.4, 0.3775, 0.3225, 0.36, 0.34, 0.3775, 0.3, 0.4525, 0.4725, 0.315, 0.3508771929824561]"
