eigenvector_centrality,[9]
0,"[0.095, 0.099, 0.106, 0.105, 0.109, 0.095, 0.089, 0.094, 0.1, 0.142]"
1,"[0.109, 0.085, 0.106, 0.103, 0.103, 0.102, 0.125, 0.104, 0.109, 0.098]"
2,"[0.095, 0.083, 0.087, 0.117, 0.083, 0.109, 0.092, 0.113, 0.109, 0.103]"
3,"[0.115, 0.2, 0.106, 0.117, 0.097, 0.086, 0.109, 0.113, 0.1, 0.103]"
4,"[0.088, 0.129, 0.109, 0.117, 0.094, 0.226, 0.109, 0.122, 0.1, 0.16]"
5,"[0.102, 0.099, 0.106, 0.177, 0.094, 0.113, 0.089, 0.189, 0.138, 0.28]"
6,"[0.088, 0.085, 0.187, 0.097, 0.234, 0.11, 0.092, 0.104, 0.106, 0.104]"
7,"[0.155, 0.104, 0.106, 0.097, 0.109, 0.1, 0.12, 0.104, 0.099, 0.103]"
8,"[0.088, 0.203, 0.242, 0.122, 0.083, 0.102, 0.109, 0.104, 0.274, 0.079]"
9,"[0.257, 0.109, 0.106, 0.115, 0.109, 0.176, 0.19, 0.219, 0.091, 0.103]"
10,"[0.088, 0.205, 0.119, 0.263, 0.094, 0.102, 0.109, 0.223, 0.113, 0.174]"
11,"[0.102, 0.109, 0.106, 0.122, 0.164, 0.09, 0.1, 0.104, 0.154, 0.201]"
12,"[0.088, 0.094, 0.122, 0.216, 0.103, 0.102, 0.109, 0.223, 0.217, 0.098]"
13,"[0.259, 0.205, 0.106, 0.105, 0.21, 0.09, 0.094, 0.104, 0.173, 0.155]"
14,"[0.088, 0.123, 0.19, 0.228, 0.205, 0.102, 0.222, 0.223, 0.193, 0.079]"
15,"[0.356, 0.123, 0.106, 0.283, 0.109, 0.206, 0.148, 0.126, 0.127, 0.203]"
16,"[0.088, 0.198, 0.259, 0.194, 0.103, 0.102, 0.109, 0.223, 0.162, 0.128]"
17,"[0.275, 0.109, 0.106, 0.261, 0.109, 0.259, 0.089, 0.119, 0.179, 0.201]"
18,"[0.088, 0.19, 0.256, 0.197, 0.097, 0.102, 0.109, 0.223, 0.165, 0.125]"
