none,[]
19,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.09, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.08, 0.1, 0.105, 0.09, 0.09, 0.135, 0.1, 0.07, 0.065, 0.09, 0.06, 0.1, 0.125, 0.095, 0.085, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.075, 0.105, 0.14, 0.085, 0.155, 0.135, 0.075, 0.13, 0.065, 0.085, 0.1, 0.135, 0.095, 0.11055276381909548]"
20,"[0.0845771144278607, 0.075, 0.1, 0.06, 0.085, 0.095, 0.12, 0.07, 0.13, 0.12, 0.145, 0.11, 0.12, 0.08, 0.095, 0.09, 0.09, 0.05, 0.09, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.09, 0.07, 0.085, 0.105, 0.135, 0.105, 0.13, 0.095, 0.125, 0.12, 0.105, 0.12, 0.105, 0.105, 0.085, 0.155, 0.135, 0.125, 0.13, 0.065, 0.14, 0.1, 0.135, 0.08, 0.11055276381909548]"
21,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.105, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.125, 0.095, 0.085, 0.12, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.13, 0.105, 0.14, 0.07, 0.155, 0.135, 0.075, 0.13, 0.065, 0.085, 0.19, 0.135, 0.095, 0.11055276381909548]"
22,"[0.0845771144278607, 0.075, 0.1, 0.06, 0.085, 0.095, 0.12, 0.07, 0.095, 0.12, 0.145, 0.11, 0.12, 0.1, 0.095, 0.09, 0.09, 0.05, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.09, 0.07, 0.085, 0.105, 0.135, 0.105, 0.13, 0.105, 0.125, 0.075, 0.105, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
23,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.09, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.095, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.125, 0.095, 0.085, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.13, 0.105, 0.14, 0.085, 0.155, 0.135, 0.12, 0.13, 0.065, 0.085, 0.105, 0.135, 0.095, 0.11055276381909548]"
24,"[0.0845771144278607, 0.135, 0.095, 0.06, 0.085, 0.235, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.05, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.09, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.095, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
25,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.125, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.09, 0.105, 0.14, 0.085, 0.155, 0.135, 0.15, 0.13, 0.065, 0.085, 0.105, 0.135, 0.12, 0.11055276381909548]"
26,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.115, 0.12, 0.1, 0.095, 0.09, 0.09, 0.085, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.14, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.105, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
27,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.11, 0.095, 0.095, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.125, 0.11055276381909548]"
28,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.095, 0.12, 0.07, 0.095, 0.12, 0.145, 0.115, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.105, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.09, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
29,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.095, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.11, 0.095, 0.095, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.19, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.125, 0.11055276381909548]"
30,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.085, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.105, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
31,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.095, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.095, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.11, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.09, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.12, 0.11055276381909548]"
32,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.095, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.1, 0.13, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.095, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
33,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.095, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.095, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.09, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.12, 0.11055276381909548]"
34,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.095, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.1, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.095, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
35,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.095, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.095, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.09, 0.105, 0.24, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.12, 0.11055276381909548]"
36,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.115, 0.12, 0.1, 0.095, 0.09, 0.09, 0.1, 0.13, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.095, 0.125, 0.1, 0.07, 0.12, 0.105, 0.105, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
37,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.08, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.095, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.11, 0.09, 0.06, 0.1, 0.11, 0.095, 0.07, 0.115, 0.105, 0.07, 0.055, 0.13, 0.11, 0.125, 0.075, 0.07, 0.09, 0.105, 0.14, 0.1, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.12, 0.11055276381909548]"
38,"[0.0845771144278607, 0.135, 0.095, 0.09, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.07, 0.09, 0.1, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.095, 0.125, 0.075, 0.07, 0.12, 0.13, 0.14, 0.085, 0.07, 0.135, 0.075, 0.065, 0.065, 0.11, 0.105, 0.135, 0.08, 0.11055276381909548]"
39,"[0.11940298507462686, 0.075, 0.095, 0.06, 0.085, 0.14, 0.1, 0.07, 0.095, 0.12, 0.145, 0.12, 0.095, 0.1, 0.095, 0.09, 0.105, 0.135, 0.1, 0.095, 0.11, 0.09, 0.06, 0.1, 0.11, 0.095, 0.07, 0.115, 0.06, 0.07, 0.055, 0.13, 0.11, 0.125, 0.075, 0.07, 0.09, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.12, 0.11055276381909548]"
40,"[0.0845771144278607, 0.135, 0.095, 0.09, 0.085, 0.14, 0.12, 0.07, 0.085, 0.12, 0.145, 0.115, 0.12, 0.1, 0.095, 0.125, 0.09, 0.1, 0.13, 0.07, 0.075, 0.09, 0.06, 0.11, 0.095, 0.095, 0.07, 0.085, 0.205, 0.07, 0.075, 0.13, 0.095, 0.125, 0.09, 0.07, 0.12, 0.13, 0.14, 0.085, 0.07, 0.09, 0.08, 0.065, 0.065, 0.11, 0.105, 0.135, 0.08, 0.11055276381909548]"
41,"[0.11940298507462686, 0.075, 0.095, 0.06, 0.08, 0.14, 0.08, 0.07, 0.095, 0.12, 0.115, 0.12, 0.095, 0.085, 0.095, 0.09, 0.105, 0.135, 0.1, 0.095, 0.11, 0.09, 0.06, 0.1, 0.115, 0.095, 0.07, 0.115, 0.06, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.09, 0.11, 0.14, 0.1, 0.155, 0.135, 0.08, 0.13, 0.095, 0.085, 0.105, 0.135, 0.12, 0.11055276381909548]"
42,"[0.0845771144278607, 0.1, 0.105, 0.09, 0.085, 0.14, 0.12, 0.07, 0.08, 0.12, 0.145, 0.12, 0.12, 0.1, 0.075, 0.125, 0.09, 0.1, 0.13, 0.07, 0.075, 0.09, 0.06, 0.11, 0.095, 0.115, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.095, 0.125, 0.09, 0.07, 0.125, 0.095, 0.14, 0.085, 0.095, 0.135, 0.08, 0.065, 0.065, 0.11, 0.105, 0.135, 0.08, 0.11055276381909548]"
43,"[0.11940298507462686, 0.075, 0.095, 0.06, 0.08, 0.14, 0.08, 0.07, 0.095, 0.12, 0.115, 0.12, 0.095, 0.1, 0.095, 0.09, 0.105, 0.135, 0.1, 0.095, 0.11, 0.175, 0.06, 0.1, 0.11, 0.095, 0.07, 0.115, 0.06, 0.07, 0.075, 0.13, 0.11, 0.125, 0.075, 0.07, 0.09, 0.095, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.12, 0.11055276381909548]"
44,"[0.0845771144278607, 0.1, 0.095, 0.09, 0.085, 0.14, 0.12, 0.09, 0.08, 0.12, 0.145, 0.115, 0.12, 0.1, 0.095, 0.125, 0.09, 0.1, 0.13, 0.07, 0.075, 0.09, 0.06, 0.11, 0.095, 0.115, 0.07, 0.085, 0.105, 0.07, 0.075, 0.17, 0.095, 0.125, 0.09, 0.07, 0.12, 0.095, 0.14, 0.085, 0.095, 0.09, 0.08, 0.13, 0.065, 0.11, 0.105, 0.135, 0.08, 0.11055276381909548]"
45,"[0.09950248756218906, 0.075, 0.095, 0.065, 0.08, 0.14, 0.08, 0.07, 0.095, 0.12, 0.115, 0.12, 0.07, 0.1, 0.12, 0.09, 0.105, 0.135, 0.1, 0.095, 0.11, 0.135, 0.06, 0.13, 0.11, 0.095, 0.07, 0.115, 0.06, 0.07, 0.075, 0.2, 0.11, 0.125, 0.125, 0.07, 0.09, 0.095, 0.14, 0.1, 0.12, 0.135, 0.08, 0.13, 0.095, 0.12, 0.105, 0.135, 0.12, 0.11055276381909548]"
46,"[0.0845771144278607, 0.1, 0.105, 0.09, 0.085, 0.14, 0.12, 0.09, 0.08, 0.12, 0.145, 0.145, 0.12, 0.095, 0.12, 0.125, 0.09, 0.1, 0.1, 0.105, 0.075, 0.09, 0.095, 0.135, 0.095, 0.095, 0.07, 0.09, 0.095, 0.07, 0.075, 0.12, 0.095, 0.125, 0.09, 0.07, 0.12, 0.095, 0.14, 0.085, 0.095, 0.12, 0.08, 0.13, 0.045, 0.11, 0.14, 0.135, 0.08, 0.11055276381909548]"
47,"[0.09950248756218906, 0.08, 0.095, 0.095, 0.08, 0.14, 0.08, 0.07, 0.095, 0.11, 0.115, 0.12, 0.07, 0.09, 0.12, 0.09, 0.085, 0.135, 0.1, 0.095, 0.11, 0.125, 0.06, 0.135, 0.095, 0.095, 0.07, 0.115, 0.06, 0.07, 0.075, 0.11, 0.095, 0.125, 0.09, 0.09, 0.09, 0.095, 0.14, 0.1, 0.095, 0.135, 0.08, 0.13, 0.095, 0.1, 0.135, 0.135, 0.12, 0.12562814070351758]"
48,"[0.0845771144278607, 0.1, 0.105, 0.09, 0.085, 0.14, 0.12, 0.09, 0.08, 0.125, 0.115, 0.145, 0.12, 0.09, 0.12, 0.125, 0.12, 0.1, 0.1, 0.075, 0.075, 0.115, 0.095, 0.135, 0.095, 0.095, 0.07, 0.085, 0.06, 0.07, 0.075, 0.13, 0.095, 0.125, 0.09, 0.065, 0.145, 0.095, 0.14, 0.085, 0.095, 0.12, 0.08, 0.07, 0.095, 0.11, 0.135, 0.11, 0.08, 0.11055276381909548]"
49,"[0.09950248756218906, 0.08, 0.095, 0.07, 0.08, 0.14, 0.08, 0.07, 0.095, 0.11, 0.115, 0.12, 0.07, 0.09, 0.12, 0.09, 0.085, 0.135, 0.1, 0.095, 0.11, 0.09, 0.095, 0.13, 0.095, 0.095, 0.07, 0.115, 0.06, 0.07, 0.075, 0.11, 0.115, 0.125, 0.075, 0.065, 0.09, 0.095, 0.14, 0.085, 0.095, 0.12, 0.08, 0.13, 0.095, 0.085, 0.135, 0.135, 0.12, 0.12562814070351758]"
50,"[0.0845771144278607, 0.1, 0.105, 0.09, 0.085, 0.14, 0.12, 0.09, 0.08, 0.14, 0.125, 0.145, 0.12, 0.09, 0.12, 0.125, 0.115, 0.1, 0.1, 0.095, 0.1, 0.115, 0.095, 0.135, 0.095, 0.095, 0.07, 0.085, 0.06, 0.07, 0.075, 0.105, 0.095, 0.105, 0.09, 0.065, 0.13, 0.095, 0.14, 0.08, 0.095, 0.12, 0.08, 0.13, 0.095, 0.11, 0.135, 0.11, 0.08, 0.1407035175879397]"
51,"[0.09950248756218906, 0.085, 0.095, 0.095, 0.08, 0.09, 0.08, 0.09, 0.095, 0.11, 0.115, 0.12, 0.07, 0.09, 0.12, 0.09, 0.085, 0.135, 0.1, 0.095, 0.11, 0.115, 0.095, 0.135, 0.095, 0.095, 0.115, 0.115, 0.06, 0.07, 0.075, 0.1, 0.095, 0.14, 0.09, 0.065, 0.09, 0.095, 0.14, 0.085, 0.095, 0.13, 0.08, 0.155, 0.095, 0.085, 0.135, 0.135, 0.12, 0.12562814070351758]"
