eigenvector_centrality,[ 9 16 19 12]
0,"[0.08383233532934131, 0.086, 0.1, 0.098, 0.092, 0.118, 0.124, 0.118, 0.202, 0.12, 0.216, 0.092, 0.102, 0.176, 0.082, 0.126, 0.1, 0.08, 0.13, 0.10020040080160321]"
1,"[0.07784431137724551, 0.086, 0.114, 0.114, 0.122, 0.126, 0.124, 0.18, 0.112, 0.168, 0.078, 0.21, 0.098, 0.122, 0.116, 0.108, 0.106, 0.08, 0.104, 0.09619238476953908]"
2,"[0.07784431137724551, 0.132, 0.086, 0.082, 0.13, 0.132, 0.128, 0.112, 0.118, 0.076, 0.112, 0.092, 0.098, 0.084, 0.116, 0.14, 0.102, 0.132, 0.118, 0.10220440881763528]"
3,"[0.07784431137724551, 0.158, 0.074, 0.12, 0.122, 0.214, 0.124, 0.086, 0.112, 0.082, 0.112, 0.092, 0.098, 0.108, 0.116, 0.14, 0.106, 0.098, 0.104, 0.10420841683366733]"
4,"[0.08383233532934131, 0.08, 0.134, 0.116, 0.09, 0.17, 0.086, 0.112, 0.106, 0.086, 0.112, 0.092, 0.146, 0.106, 0.098, 0.126, 0.102, 0.088, 0.104, 0.10821643286573146]"
5,"[0.08383233532934131, 0.098, 0.094, 0.114, 0.154, 0.1, 0.098, 0.096, 0.106, 0.082, 0.112, 0.12, 0.2, 0.106, 0.098, 0.126, 0.102, 0.08, 0.104, 0.10020040080160321]"
6,"[0.08383233532934131, 0.104, 0.094, 0.116, 0.092, 0.094, 0.098, 0.112, 0.106, 0.118, 0.112, 0.106, 0.268, 0.084, 0.082, 0.126, 0.1, 0.08, 0.104, 0.10220440881763528]"
7,"[0.08383233532934131, 0.086, 0.094, 0.088, 0.092, 0.094, 0.098, 0.112, 0.112, 0.26, 0.112, 0.106, 0.098, 0.122, 0.096, 0.108, 0.118, 0.08, 0.092, 0.10020040080160321]"
8,"[0.08383233532934131, 0.086, 0.094, 0.178, 0.092, 0.118, 0.098, 0.152, 0.112, 0.168, 0.112, 0.182, 0.202, 0.194, 0.082, 0.108, 0.106, 0.08, 0.092, 0.10220440881763528]"
9,"[0.08383233532934131, 0.086, 0.094, 0.084, 0.164, 0.118, 0.124, 0.126, 0.112, 0.076, 0.25, 0.092, 0.106, 0.122, 0.116, 0.108, 0.102, 0.104, 0.092, 0.10020040080160321]"
10,"[0.13373253493013973, 0.086, 0.126, 0.18, 0.142, 0.118, 0.126, 0.118, 0.182, 0.09, 0.112, 0.092, 0.082, 0.106, 0.116, 0.08, 0.106, 0.08, 0.092, 0.13627254509018036]"
11,"[0.10179640718562874, 0.086, 0.1, 0.092, 0.178, 0.152, 0.118, 0.112, 0.112, 0.076, 0.184, 0.114, 0.204, 0.122, 0.25, 0.108, 0.102, 0.104, 0.08, 0.10020040080160321]"
