none,[]
0,"[0.07784431137724551, 0.094, 0.1, 0.106, 0.09, 0.102, 0.174, 0.086, 0.07, 0.116, 0.096, 0.106, 0.106, 0.116, 0.082, 0.116, 0.098, 0.114, 0.276, 0.1462925851703407]"
1,"[0.07784431137724551, 0.082, 0.094, 0.12, 0.09, 0.092, 0.086, 0.076, 0.07, 0.098, 0.096, 0.092, 0.216, 0.098, 0.092, 0.112, 0.134, 0.108, 0.208, 0.14428857715430862]"
2,"[0.07784431137724551, 0.082, 0.1, 0.12, 0.094, 0.102, 0.086, 0.076, 0.07, 0.098, 0.096, 0.092, 0.12, 0.098, 0.092, 0.116, 0.098, 0.092, 0.102, 0.09819639278557114]"
3,"[0.07784431137724551, 0.082, 0.118, 0.12, 0.094, 0.102, 0.154, 0.076, 0.07, 0.098, 0.096, 0.092, 0.12, 0.098, 0.134, 0.116, 0.134, 0.178, 0.102, 0.09819639278557114]"
4,"[0.07784431137724551, 0.082, 0.206, 0.216, 0.182, 0.102, 0.1, 0.118, 0.09, 0.098, 0.096, 0.106, 0.12, 0.098, 0.104, 0.116, 0.226, 0.092, 0.102, 0.19438877755511022]"
5,"[0.11776447105788423, 0.114, 0.114, 0.114, 0.126, 0.102, 0.082, 0.176, 0.07, 0.098, 0.136, 0.092, 0.12, 0.098, 0.1, 0.118, 0.14, 0.184, 0.16, 0.10420841683366733]"
6,"[0.11377245508982035, 0.114, 0.132, 0.146, 0.1, 0.102, 0.1, 0.116, 0.114, 0.098, 0.114, 0.128, 0.132, 0.098, 0.094, 0.12, 0.132, 0.128, 0.17, 0.12625250501002003]"
7,"[0.11377245508982035, 0.136, 0.126, 0.126, 0.088, 0.178, 0.108, 0.11, 0.112, 0.076, 0.12, 0.088, 0.1, 0.114, 0.102, 0.12, 0.108, 0.082, 0.108, 0.1683366733466934]"
8,"[0.11377245508982035, 0.098, 0.174, 0.152, 0.132, 0.13, 0.138, 0.142, 0.164, 0.086, 0.146, 0.12, 0.172, 0.158, 0.114, 0.13, 0.114, 0.088, 0.126, 0.16432865731462926]"
9,"[0.18363273453093812, 0.19, 0.13, 0.306, 0.22, 0.224, 0.206, 0.202, 0.22, 0.128, 0.248, 0.126, 0.142, 0.168, 0.214, 0.172, 0.242, 0.234, 0.254, 0.156312625250501]"
10,"[0.26746506986027946, 0.226, 0.358, 0.358, 0.18, 0.154, 0.284, 0.182, 0.164, 0.318, 0.288, 0.296, 0.298, 0.292, 0.198, 0.206, 0.284, 0.308, 0.256, 0.3166332665330661]"
11,"[0.33532934131736525, 0.362, 0.244, 0.296, 0.322, 0.332, 0.322, 0.382, 0.39, 0.2, 0.314, 0.184, 0.228, 0.22, 0.39, 0.354, 0.37, 0.248, 0.288, 0.24649298597194388]"
12,"[0.3872255489021956, 0.22, 0.346, 0.258, 0.284, 0.164, 0.416, 0.212, 0.218, 0.35, 0.324, 0.442, 0.32, 0.392, 0.242, 0.436, 0.364, 0.332, 0.354, 0.3486973947895792]"
13,"[0.3592814371257485, 0.468, 0.232, 0.284, 0.318, 0.434, 0.478, 0.442, 0.372, 0.234, 0.33, 0.166, 0.29, 0.312, 0.33, 0.388, 0.332, 0.22, 0.266, 0.3106212424849699]"
14,"[0.36327345309381237, 0.18, 0.466, 0.166, 0.32, 0.214, 0.334, 0.236, 0.206, 0.32, 0.466, 0.434, 0.262, 0.42, 0.174, 0.45, 0.204, 0.352, 0.368, 0.3967935871743487]"
15,"[0.34530938123752497, 0.462, 0.262, 0.352, 0.324, 0.422, 0.496, 0.474, 0.388, 0.304, 0.322, 0.192, 0.34, 0.466, 0.398, 0.43, 0.344, 0.218, 0.318, 0.41082164328657317]"
16,"[0.3712574850299401, 0.22, 0.458, 0.164, 0.34, 0.272, 0.358, 0.278, 0.162, 0.416, 0.45, 0.364, 0.304, 0.496, 0.344, 0.402, 0.184, 0.376, 0.418, 0.3867735470941884]"
17,"[0.3592814371257485, 0.396, 0.322, 0.368, 0.382, 0.376, 0.504, 0.456, 0.396, 0.382, 0.354, 0.22, 0.354, 0.538, 0.396, 0.498, 0.35, 0.228, 0.354, 0.3927855711422846]"
18,"[0.3592814371257485, 0.28, 0.43, 0.226, 0.394, 0.204, 0.356, 0.332, 0.214, 0.442, 0.424, 0.41, 0.37, 0.554, 0.408, 0.414, 0.234, 0.398, 0.432, 0.40681362725450904]"
19,"[0.40718562874251496, 0.37, 0.296, 0.37, 0.422, 0.362, 0.476, 0.384, 0.382, 0.396, 0.398, 0.226, 0.38, 0.446, 0.416, 0.498, 0.354, 0.196, 0.346, 0.41282565130260523]"
20,"[0.3652694610778443, 0.26, 0.342, 0.27, 0.43, 0.27, 0.388, 0.356, 0.26, 0.488, 0.428, 0.338, 0.458, 0.34, 0.428, 0.43, 0.338, 0.356, 0.398, 0.4288577154308617]"
