eigenvector_centrality,"[0, 11, 6]"
0,"[0.07960199004975124, 0.105, 0.095, 0.1, 0.115, 0.12, 0.1, 0.09, 0.1, 0.09, 0.085, 0.195, 0.105, 0.1, 0.125, 0.07, 0.1, 0.11, 0.125, 0.1, 0.115, 0.09, 0.085, 0.1, 0.125, 0.115, 0.08, 0.11, 0.12, 0.17, 0.055, 0.13, 0.13, 0.11, 0.105, 0.105, 0.11, 0.105, 0.08, 0.07, 0.07, 0.115, 0.075, 0.065, 0.095, 0.1, 0.1, 0.09, 0.1, 0.08040201005025126]"
1,"[0.07960199004975124, 0.105, 0.14, 0.085, 0.115, 0.13, 0.1, 0.09, 0.1, 0.12, 0.085, 0.145, 0.11, 0.11, 0.075, 0.07, 0.1, 0.185, 0.125, 0.095, 0.065, 0.09, 0.19, 0.095, 0.1, 0.045, 0.085, 0.08, 0.12, 0.125, 0.145, 0.16, 0.13, 0.12, 0.105, 0.105, 0.09, 0.075, 0.105, 0.14, 0.07, 0.145, 0.11, 0.065, 0.105, 0.055, 0.1, 0.07, 0.08, 0.10552763819095477]"
2,"[0.07960199004975124, 0.08, 0.095, 0.18, 0.115, 0.12, 0.1, 0.09, 0.1, 0.21, 0.085, 0.18, 0.115, 0.11, 0.13, 0.07, 0.1, 0.11, 0.2, 0.1, 0.135, 0.09, 0.11, 0.095, 0.1, 0.115, 0.18, 0.08, 0.095, 0.07, 0.055, 0.225, 0.13, 0.11, 0.105, 0.105, 0.12, 0.12, 0.105, 0.07, 0.07, 0.115, 0.075, 0.065, 0.105, 0.085, 0.1, 0.09, 0.09, 0.12060301507537688]"
3,"[0.08955223880597014, 0.105, 0.095, 0.085, 0.115, 0.175, 0.1, 0.09, 0.1, 0.14, 0.11, 0.12, 0.105, 0.11, 0.115, 0.08, 0.1, 0.19, 0.13, 0.095, 0.125, 0.125, 0.1, 0.095, 0.1, 0.045, 0.115, 0.08, 0.095, 0.125, 0.13, 0.095, 0.115, 0.11, 0.145, 0.105, 0.08, 0.12, 0.105, 0.125, 0.07, 0.09, 0.1, 0.115, 0.105, 0.065, 0.115, 0.07, 0.115, 0.1658291457286432]"
4,"[0.1890547263681592, 0.135, 0.095, 0.085, 0.185, 0.15, 0.1, 0.14, 0.1, 0.065, 0.09, 0.165, 0.105, 0.11, 0.1, 0.075, 0.1, 0.11, 0.125, 0.1, 0.11, 0.09, 0.11, 0.145, 0.1, 0.115, 0.115, 0.08, 0.095, 0.125, 0.105, 0.095, 0.13, 0.105, 0.105, 0.115, 0.12, 0.12, 0.06, 0.115, 0.135, 0.09, 0.075, 0.115, 0.105, 0.085, 0.085, 0.17, 0.09, 0.10050251256281408]"
5,"[0.12437810945273632, 0.105, 0.095, 0.085, 0.115, 0.21, 0.1, 0.08, 0.1, 0.065, 0.08, 0.12, 0.105, 0.11, 0.11, 0.075, 0.1, 0.15, 0.165, 0.105, 0.11, 0.15, 0.135, 0.095, 0.1, 0.045, 0.115, 0.08, 0.12, 0.2, 0.13, 0.095, 0.1, 0.11, 0.105, 0.115, 0.08, 0.13, 0.065, 0.08, 0.07, 0.095, 0.1, 0.115, 0.105, 0.065, 0.085, 0.12, 0.115, 0.11055276381909548]"
6,"[0.13432835820895522, 0.205, 0.095, 0.085, 0.155, 0.215, 0.14, 0.08, 0.1, 0.065, 0.07, 0.165, 0.105, 0.11, 0.08, 0.075, 0.1, 0.11, 0.125, 0.1, 0.11, 0.09, 0.135, 0.1, 0.1, 0.115, 0.115, 0.08, 0.095, 0.155, 0.18, 0.095, 0.23, 0.105, 0.105, 0.115, 0.135, 0.12, 0.065, 0.115, 0.135, 0.09, 0.1, 0.115, 0.105, 0.085, 0.085, 0.085, 0.115, 0.10050251256281408]"
7,"[0.12437810945273632, 0.105, 0.095, 0.085, 0.09, 0.12, 0.1, 0.08, 0.1, 0.065, 0.07, 0.12, 0.11, 0.11, 0.17, 0.105, 0.09, 0.15, 0.08, 0.1, 0.11, 0.115, 0.135, 0.095, 0.1, 0.045, 0.115, 0.08, 0.12, 0.085, 0.13, 0.095, 0.1, 0.11, 0.105, 0.115, 0.08, 0.12, 0.065, 0.08, 0.14, 0.145, 0.1, 0.115, 0.105, 0.065, 0.085, 0.09, 0.115, 0.10552763819095477]"
8,"[0.13432835820895522, 0.105, 0.095, 0.085, 0.155, 0.215, 0.15, 0.08, 0.1, 0.065, 0.07, 0.17, 0.105, 0.11, 0.105, 0.135, 0.205, 0.11, 0.125, 0.1, 0.11, 0.09, 0.135, 0.185, 0.1, 0.115, 0.115, 0.08, 0.175, 0.155, 0.13, 0.105, 0.1, 0.105, 0.105, 0.095, 0.135, 0.12, 0.065, 0.165, 0.09, 0.09, 0.09, 0.115, 0.105, 0.085, 0.085, 0.1, 0.115, 0.10050251256281408]"
9,"[0.12437810945273632, 0.105, 0.095, 0.085, 0.09, 0.12, 0.1, 0.08, 0.1, 0.065, 0.07, 0.12, 0.15, 0.11, 0.27, 0.085, 0.09, 0.15, 0.08, 0.1, 0.11, 0.115, 0.135, 0.095, 0.1, 0.05, 0.115, 0.08, 0.12, 0.085, 0.13, 0.095, 0.1, 0.11, 0.105, 0.115, 0.08, 0.12, 0.065, 0.08, 0.095, 0.165, 0.085, 0.165, 0.105, 0.065, 0.085, 0.09, 0.115, 0.10552763819095477]"
10,"[0.13432835820895522, 0.105, 0.095, 0.085, 0.155, 0.21, 0.08, 0.08, 0.1, 0.065, 0.07, 0.12, 0.11, 0.11, 0.1, 0.115, 0.22, 0.11, 0.125, 0.1, 0.11, 0.09, 0.135, 0.1, 0.1, 0.115, 0.115, 0.16, 0.255, 0.155, 0.135, 0.255, 0.1, 0.105, 0.105, 0.095, 0.14, 0.12, 0.065, 0.18, 0.08, 0.09, 0.1, 0.115, 0.105, 0.085, 0.085, 0.1, 0.115, 0.10050251256281408]"
11,"[0.12935323383084577, 0.105, 0.095, 0.085, 0.09, 0.185, 0.1, 0.08, 0.1, 0.065, 0.1, 0.12, 0.095, 0.11, 0.285, 0.075, 0.09, 0.15, 0.08, 0.1, 0.11, 0.115, 0.135, 0.095, 0.21, 0.045, 0.115, 0.08, 0.12, 0.085, 0.13, 0.095, 0.1, 0.11, 0.105, 0.115, 0.08, 0.12, 0.065, 0.08, 0.095, 0.18, 0.075, 0.125, 0.105, 0.065, 0.085, 0.115, 0.115, 0.10552763819095477]"
12,"[0.13432835820895522, 0.105, 0.095, 0.1, 0.155, 0.105, 0.08, 0.08, 0.1, 0.065, 0.07, 0.095, 0.135, 0.11, 0.08, 0.125, 0.13, 0.11, 0.125, 0.1, 0.11, 0.09, 0.135, 0.09, 0.1, 0.115, 0.095, 0.1, 0.28, 0.155, 0.1, 0.275, 0.205, 0.105, 0.105, 0.095, 0.135, 0.22, 0.065, 0.185, 0.095, 0.09, 0.1, 0.115, 0.105, 0.085, 0.085, 0.1, 0.115, 0.10050251256281408]"
13,"[0.13432835820895522, 0.105, 0.095, 0.085, 0.09, 0.105, 0.11, 0.08, 0.1, 0.065, 0.115, 0.12, 0.095, 0.21, 0.235, 0.075, 0.09, 0.15, 0.08, 0.1, 0.11, 0.115, 0.135, 0.17, 0.125, 0.045, 0.115, 0.08, 0.21, 0.085, 0.13, 0.095, 0.12, 0.11, 0.105, 0.1, 0.08, 0.12, 0.065, 0.08, 0.095, 0.18, 0.11, 0.13, 0.105, 0.065, 0.085, 0.07, 0.115, 0.10552763819095477]"
