eigenvector_centrality,[0]
0,"[0.181, 0.093, 0.136, 0.105, 0.103, 0.105, 0.18, 0.191, 0.136, 0.092]"
1,"[0.155, 0.114, 0.104, 0.122, 0.119, 0.186, 0.102, 0.112, 0.099, 0.106]"
2,"[0.102, 0.316, 0.109, 0.105, 0.145, 0.238, 0.351, 0.174, 0.207, 0.091]"
3,"[0.261, 0.208, 0.096, 0.122, 0.234, 0.189, 0.102, 0.104, 0.229, 0.277]"
4,"[0.191, 0.335, 0.213, 0.241, 0.157, 0.246, 0.31, 0.289, 0.296, 0.091]"
5,"[0.274, 0.293, 0.259, 0.122, 0.255, 0.308, 0.108, 0.195, 0.263, 0.291]"
6,"[0.236, 0.381, 0.301, 0.358, 0.176, 0.234, 0.356, 0.299, 0.233, 0.131]"
7,"[0.23, 0.264, 0.254, 0.205, 0.344, 0.249, 0.205, 0.248, 0.251, 0.324]"
8,"[0.249, 0.311, 0.315, 0.322, 0.188, 0.262, 0.346, 0.356, 0.206, 0.187]"
9,"[0.335, 0.209, 0.23, 0.225, 0.364, 0.263, 0.274, 0.258, 0.276, 0.346]"
10,"[0.251, 0.322, 0.315, 0.352, 0.191, 0.336, 0.39, 0.381, 0.274, 0.185]"
11,"[0.278, 0.197, 0.268, 0.234, 0.378, 0.323, 0.315, 0.25, 0.341, 0.356]"
12,"[0.207, 0.383, 0.345, 0.385, 0.184, 0.415, 0.397, 0.412, 0.329, 0.181]"
13,"[0.368, 0.161, 0.276, 0.271, 0.382, 0.352, 0.289, 0.264, 0.326, 0.361]"
14,"[0.16, 0.391, 0.355, 0.374, 0.138, 0.368, 0.391, 0.393, 0.388, 0.144]"
15,"[0.365, 0.119, 0.276, 0.294, 0.37, 0.384, 0.244, 0.257, 0.24, 0.359]"
16,"[0.174, 0.374, 0.356, 0.345, 0.164, 0.371, 0.375, 0.374, 0.334, 0.18]"
17,"[0.351, 0.195, 0.212, 0.264, 0.37, 0.363, 0.227, 0.254, 0.258, 0.362]"
18,"[0.272, 0.364, 0.353, 0.34, 0.189, 0.37, 0.368, 0.377, 0.346, 0.2]"
19,"[0.358, 0.277, 0.181, 0.235, 0.369, 0.375, 0.203, 0.242, 0.284, 0.358]"
20,"[0.288, 0.342, 0.343, 0.335, 0.174, 0.337, 0.362, 0.357, 0.352, 0.172]"
21,"[0.367, 0.273, 0.183, 0.193, 0.323, 0.382, 0.174, 0.203, 0.256, 0.314]"
22,"[0.256, 0.328, 0.332, 0.328, 0.119, 0.301, 0.342, 0.338, 0.35, 0.158]"
23,"[0.365, 0.224, 0.217, 0.191, 0.324, 0.38, 0.193, 0.219, 0.226, 0.31]"
24,"[0.222, 0.313, 0.333, 0.329, 0.148, 0.29, 0.321, 0.332, 0.342, 0.18]"
