none,[]
0,"[0.22, 0.099, 0.116, 0.226, 0.094, 0.105, 0.127, 0.156, 0.093, 0.103]"
1,"[0.182, 0.099, 0.135, 0.172, 0.094, 0.195, 0.094, 0.104, 0.206, 0.145]"
2,"[0.243, 0.244, 0.097, 0.174, 0.094, 0.241, 0.15, 0.27, 0.093, 0.139]"
3,"[0.136, 0.115, 0.157, 0.097, 0.118, 0.297, 0.102, 0.104, 0.31, 0.186]"
4,"[0.343, 0.18, 0.105, 0.097, 0.102, 0.274, 0.16, 0.103, 0.109, 0.103]"
5,"[0.117, 0.12, 0.291, 0.108, 0.083, 0.28, 0.218, 0.161, 0.404, 0.102]"
6,"[0.374, 0.176, 0.104, 0.181, 0.234, 0.334, 0.198, 0.102, 0.128, 0.109]"
7,"[0.132, 0.322, 0.345, 0.361, 0.159, 0.19, 0.405, 0.145, 0.369, 0.102]"
8,"[0.302, 0.162, 0.104, 0.163, 0.402, 0.412, 0.204, 0.302, 0.139, 0.276]"
9,"[0.116, 0.459, 0.235, 0.48, 0.162, 0.161, 0.389, 0.178, 0.277, 0.102]"
10,"[0.306, 0.158, 0.104, 0.17, 0.453, 0.417, 0.266, 0.356, 0.155, 0.347]"
11,"[0.104, 0.452, 0.249, 0.413, 0.16, 0.201, 0.369, 0.271, 0.284, 0.102]"
12,"[0.308, 0.191, 0.104, 0.168, 0.352, 0.38, 0.269, 0.357, 0.134, 0.361]"
13,"[0.106, 0.434, 0.259, 0.36, 0.166, 0.193, 0.374, 0.194, 0.302, 0.102]"
14,"[0.308, 0.18, 0.104, 0.196, 0.334, 0.408, 0.229, 0.346, 0.154, 0.361]"
15,"[0.122, 0.377, 0.279, 0.338, 0.17, 0.191, 0.42, 0.348, 0.323, 0.102]"
16,"[0.307, 0.134, 0.104, 0.232, 0.299, 0.4, 0.242, 0.31, 0.203, 0.357]"
17,"[0.145, 0.333, 0.289, 0.286, 0.206, 0.24, 0.432, 0.365, 0.309, 0.102]"
18,"[0.305, 0.23, 0.104, 0.235, 0.291, 0.303, 0.338, 0.316, 0.201, 0.352]"
19,"[0.176, 0.284, 0.284, 0.285, 0.254, 0.318, 0.446, 0.363, 0.284, 0.102]"
20,"[0.296, 0.284, 0.106, 0.28, 0.287, 0.283, 0.343, 0.354, 0.2, 0.346]"
21,"[0.179, 0.251, 0.258, 0.31, 0.326, 0.379, 0.444, 0.337, 0.3, 0.102]"
22,"[0.295, 0.32, 0.112, 0.383, 0.284, 0.275, 0.33, 0.325, 0.199, 0.332]"
23,"[0.162, 0.248, 0.248, 0.285, 0.404, 0.393, 0.446, 0.319, 0.292, 0.102]"
24,"[0.29, 0.321, 0.15, 0.44, 0.283, 0.312, 0.326, 0.32, 0.199, 0.311]"
25,"[0.16, 0.264, 0.244, 0.277, 0.476, 0.391, 0.451, 0.31, 0.303, 0.193]"
26,"[0.291, 0.33, 0.287, 0.503, 0.286, 0.278, 0.338, 0.31, 0.254, 0.29]"
27,"[0.225, 0.269, 0.243, 0.273, 0.529, 0.396, 0.44, 0.311, 0.333, 0.217]"
28,"[0.331, 0.342, 0.281, 0.547, 0.283, 0.294, 0.348, 0.303, 0.285, 0.283]"
29,"[0.229, 0.246, 0.286, 0.275, 0.501, 0.397, 0.453, 0.318, 0.322, 0.232]"
30,"[0.362, 0.372, 0.267, 0.536, 0.298, 0.305, 0.363, 0.326, 0.283, 0.285]"
31,"[0.228, 0.25, 0.314, 0.335, 0.479, 0.418, 0.43, 0.34, 0.31, 0.282]"
32,"[0.352, 0.399, 0.28, 0.553, 0.353, 0.345, 0.361, 0.364, 0.284, 0.299]"
33,"[0.231, 0.275, 0.314, 0.404, 0.465, 0.455, 0.419, 0.349, 0.303, 0.339]"
