in_deg_centrality,[19. 23. 28.  4. 21. 22.  9. 24.  1.]
0,"[0.0718562874251497, 0.12574850299401197, 0.07784431137724551, 0.10479041916167664, 0.11377245508982035, 0.09580838323353294, 0.08982035928143713, 0.06287425149700598, 0.09281437125748503, 0.08982035928143713, 0.08108108108108109, 0.08108108108108109, 0.12012012012012012, 0.08708708708708708, 0.14114114114114115, 0.12912912912912913, 0.1111111111111111, 0.0960960960960961, 0.1111111111111111, 0.12012012012012012, 0.11411411411411411, 0.09009009009009009, 0.12312312312312312, 0.09009009009009009, 0.08408408408408409, 0.1021021021021021, 0.09309309309309309, 0.13213213213213212, 0.08108108108108109, 0.0960960960960961]"
1,"[0.15868263473053892, 0.23353293413173654, 0.10479041916167664, 0.3083832335329341, 0.24550898203592814, 0.24550898203592814, 0.18263473053892215, 0.17065868263473055, 0.08682634730538923, 0.24850299401197604, 0.2912912912912913, 0.2132132132132132, 0.17117117117117117, 0.3033033033033033, 0.18018018018018017, 0.3033033033033033, 0.24624624624624625, 0.32732732732732733, 0.32432432432432434, 0.24324324324324326, 0.34534534534534533, 0.1981981981981982, 0.21921921921921922, 0.10810810810810811, 0.12312312312312312, 0.15315315315315314, 0.21621621621621623, 0.15915915915915915, 0.2132132132132132, 0.1921921921921922]"
2,"[0.20359281437125748, 0.24850299401197604, 0.32335329341317365, 0.3323353293413174, 0.33532934131736525, 0.39520958083832336, 0.20658682634730538, 0.2634730538922156, 0.2754491017964072, 0.4101796407185629, 0.39039039039039036, 0.38738738738738737, 0.2852852852852853, 0.3123123123123123, 0.19519519519519518, 0.3003003003003003, 0.3183183183183183, 0.36036036036036034, 0.34234234234234234, 0.35735735735735735, 0.34234234234234234, 0.21021021021021022, 0.2852852852852853, 0.24624624624624625, 0.23723723723723725, 0.2042042042042042, 0.37537537537537535, 0.24324324324324326, 0.25225225225225223, 0.26126126126126126]"
3,"[0.3502994011976048, 0.4161676646706587, 0.3502994011976048, 0.3023952095808383, 0.281437125748503, 0.3473053892215569, 0.2694610778443114, 0.2694610778443114, 0.2754491017964072, 0.36826347305389223, 0.3813813813813814, 0.30930930930930933, 0.3063063063063063, 0.2702702702702703, 0.33633633633633636, 0.3123123123123123, 0.37537537537537535, 0.3213213213213213, 0.3963963963963964, 0.36036036036036034, 0.4744744744744745, 0.4804804804804805, 0.22522522522522523, 0.45045045045045046, 0.37237237237237236, 0.3963963963963964, 0.3333333333333333, 0.16216216216216217, 0.3963963963963964, 0.3783783783783784]"
4,"[0.4221556886227545, 0.40119760479041916, 0.33532934131736525, 0.49700598802395207, 0.40718562874251496, 0.41916167664670656, 0.281437125748503, 0.3083832335329341, 0.3473053892215569, 0.44610778443113774, 0.5885885885885885, 0.4804804804804805, 0.33933933933933935, 0.3783783783783784, 0.33933933933933935, 0.3333333333333333, 0.30930930930930933, 0.4744744744744745, 0.4264264264264264, 0.3813813813813814, 0.4294294294294294, 0.37237237237237236, 0.43543543543543545, 0.33933933933933935, 0.37537537537537535, 0.2822822822822823, 0.4084084084084084, 0.2672672672672673, 0.2852852852852853, 0.4624624624624625]"
5,"[0.3772455089820359, 0.45808383233532934, 0.44011976047904194, 0.3413173652694611, 0.30538922155688625, 0.46107784431137727, 0.3203592814371258, 0.3413173652694611, 0.3592814371257485, 0.47005988023952094, 0.4174174174174174, 0.3663663663663664, 0.30930930930930933, 0.32432432432432434, 0.36936936936936937, 0.3183183183183183, 0.3843843843843844, 0.34234234234234234, 0.4114114114114114, 0.40540540540540543, 0.44744744744744747, 0.5525525525525525, 0.3063063063063063, 0.4444444444444444, 0.4744744744744745, 0.4114114114114114, 0.3783783783783784, 0.17417417417417416, 0.4294294294294294, 0.4264264264264264]"
6,"[0.47604790419161674, 0.4221556886227545, 0.38323353293413176, 0.4880239520958084, 0.5359281437125748, 0.4341317365269461, 0.30538922155688625, 0.47604790419161674, 0.4281437125748503, 0.46407185628742514, 0.6006006006006006, 0.48348348348348347, 0.33933933933933935, 0.46846846846846846, 0.3633633633633634, 0.35735735735735735, 0.32432432432432434, 0.45345345345345345, 0.4864864864864865, 0.44744744744744747, 0.47147147147147145, 0.43243243243243246, 0.46546546546546547, 0.4144144144144144, 0.4114114114114114, 0.3963963963963964, 0.4624624624624625, 0.3633633633633634, 0.4174174174174174, 0.5015015015015015]"
7,"[0.4161676646706587, 0.47005988023952094, 0.45209580838323354, 0.3592814371257485, 0.38622754491017963, 0.45808383233532934, 0.38922155688622756, 0.3652694610778443, 0.38622754491017963, 0.5029940119760479, 0.4744744744744745, 0.39039039039039036, 0.3153153153153153, 0.3633633633633634, 0.4264264264264264, 0.3183183183183183, 0.42342342342342343, 0.33633633633633636, 0.4114114114114114, 0.42042042042042044, 0.47147147147147145, 0.5615615615615616, 0.32732732732732733, 0.5165165165165165, 0.4444444444444444, 0.45645645645645644, 0.3933933933933934, 0.21621621621621623, 0.42042042042042044, 0.4084084084084084]"
8,"[0.49101796407185627, 0.4251497005988024, 0.4281437125748503, 0.48502994011976047, 0.5479041916167665, 0.47005988023952094, 0.2994011976047904, 0.5059880239520959, 0.4491017964071856, 0.45209580838323354, 0.5435435435435435, 0.46846846846846846, 0.3483483483483483, 0.46546546546546547, 0.3303303303303303, 0.36936936936936937, 0.3663663663663664, 0.45045045045045046, 0.45045045045045046, 0.45045045045045046, 0.4954954954954955, 0.4594594594594595, 0.4894894894894895, 0.35435435435435436, 0.4024024024024024, 0.3993993993993994, 0.47147147147147145, 0.35735735735735735, 0.43243243243243246, 0.5075075075075075]"
