none,[]
0,"[0.08977556109725686, 0.1025, 0.095, 0.095, 0.1, 0.085, 0.0975, 0.0925, 0.115, 0.19, 0.1075, 0.1, 0.095, 0.0975, 0.0925, 0.1175, 0.0975, 0.0775, 0.15, 0.1, 0.145, 0.1075, 0.1025, 0.0975, 0.09523809523809523]"
1,"[0.12718204488778054, 0.1025, 0.1125, 0.095, 0.1, 0.08, 0.08, 0.0925, 0.075, 0.09, 0.0825, 0.1, 0.085, 0.12, 0.1225, 0.1075, 0.105, 0.1, 0.1125, 0.0875, 0.1075, 0.1075, 0.1025, 0.12, 0.09523809523809523]"
2,"[0.14214463840399003, 0.1025, 0.0975, 0.095, 0.1, 0.085, 0.1225, 0.0925, 0.115, 0.1175, 0.1125, 0.15, 0.095, 0.0975, 0.1075, 0.1175, 0.0925, 0.0775, 0.08, 0.08, 0.145, 0.1075, 0.1025, 0.0975, 0.09523809523809523]"
3,"[0.12718204488778054, 0.0975, 0.1375, 0.095, 0.12, 0.08, 0.1775, 0.0925, 0.075, 0.145, 0.1075, 0.12, 0.1075, 0.1575, 0.1075, 0.1075, 0.0925, 0.1, 0.1075, 0.0875, 0.1075, 0.1075, 0.1025, 0.12, 0.09523809523809523]"
4,"[0.12219451371571072, 0.1025, 0.15, 0.095, 0.1, 0.15, 0.1275, 0.0925, 0.115, 0.1175, 0.1125, 0.09, 0.095, 0.0975, 0.1075, 0.1175, 0.0925, 0.0775, 0.08, 0.1, 0.145, 0.1675, 0.12, 0.0975, 0.09523809523809523]"
5,"[0.2543640897755611, 0.0975, 0.1375, 0.21, 0.1, 0.08, 0.08, 0.0925, 0.115, 0.0875, 0.11, 0.1425, 0.095, 0.0975, 0.1075, 0.1075, 0.0925, 0.1, 0.08, 0.0875, 0.1075, 0.1075, 0.1025, 0.12, 0.09523809523809523]"
6,"[0.09975062344139651, 0.1025, 0.165, 0.095, 0.1, 0.0825, 0.1425, 0.0925, 0.115, 0.1175, 0.1125, 0.09, 0.095, 0.0975, 0.1075, 0.1175, 0.0925, 0.0775, 0.08, 0.08, 0.145, 0.13, 0.12, 0.0975, 0.09523809523809523]"
7,"[0.34413965087281795, 0.0975, 0.1375, 0.115, 0.1, 0.08, 0.08, 0.0925, 0.115, 0.0875, 0.11, 0.155, 0.095, 0.0975, 0.1075, 0.1075, 0.145, 0.1, 0.08, 0.1275, 0.1075, 0.1075, 0.13, 0.12, 0.09523809523809523]"
8,"[0.09975062344139651, 0.14, 0.095, 0.095, 0.1, 0.0825, 0.1075, 0.0925, 0.115, 0.1175, 0.1125, 0.1025, 0.095, 0.0975, 0.1075, 0.1175, 0.0925, 0.0775, 0.1625, 0.08, 0.135, 0.1775, 0.1725, 0.0975, 0.19799498746867167]"
9,"[0.29177057356608477, 0.0975, 0.1375, 0.115, 0.1575, 0.08, 0.08, 0.0925, 0.1625, 0.0875, 0.11, 0.145, 0.095, 0.1725, 0.12, 0.1075, 0.175, 0.1, 0.08, 0.1275, 0.175, 0.1075, 0.12, 0.0875, 0.09523809523809523]"
10,"[0.09975062344139651, 0.2125, 0.1825, 0.095, 0.23, 0.0825, 0.1075, 0.0925, 0.115, 0.1175, 0.1175, 0.16, 0.095, 0.0975, 0.1075, 0.1175, 0.0925, 0.0775, 0.1325, 0.08, 0.1425, 0.1325, 0.195, 0.1675, 0.09523809523809523]"
11,"[0.20947630922693267, 0.0975, 0.1375, 0.115, 0.1725, 0.08, 0.08, 0.0925, 0.1925, 0.0875, 0.11, 0.1425, 0.155, 0.175, 0.1975, 0.1075, 0.1725, 0.1, 0.095, 0.1275, 0.1825, 0.1075, 0.12, 0.0875, 0.09523809523809523]"
12,"[0.09975062344139651, 0.095, 0.1975, 0.095, 0.0825, 0.0825, 0.1075, 0.0925, 0.115, 0.1175, 0.2075, 0.0975, 0.095, 0.0975, 0.1075, 0.1175, 0.1925, 0.0775, 0.095, 0.08, 0.155, 0.1025, 0.1275, 0.19, 0.09523809523809523]"
13,"[0.20947630922693267, 0.0975, 0.1375, 0.115, 0.095, 0.08, 0.08, 0.0925, 0.185, 0.16, 0.11, 0.1125, 0.085, 0.275, 0.1475, 0.1075, 0.1, 0.1, 0.0925, 0.1275, 0.2625, 0.1075, 0.12, 0.0875, 0.09523809523809523]"
14,"[0.09975062344139651, 0.095, 0.1875, 0.095, 0.16, 0.0825, 0.1125, 0.0925, 0.115, 0.1175, 0.205, 0.09, 0.095, 0.0975, 0.1075, 0.1175, 0.22, 0.0775, 0.1575, 0.08, 0.1425, 0.1025, 0.0975, 0.2025, 0.09523809523809523]"
15,"[0.23940149625935161, 0.0975, 0.1375, 0.115, 0.095, 0.08, 0.08, 0.0925, 0.18, 0.235, 0.11, 0.1, 0.085, 0.2075, 0.125, 0.1075, 0.1, 0.1, 0.0925, 0.1275, 0.19, 0.1075, 0.12, 0.0875, 0.09523809523809523]"
16,"[0.09975062344139651, 0.1575, 0.175, 0.095, 0.2925, 0.0825, 0.2625, 0.0925, 0.115, 0.1175, 0.2, 0.09, 0.095, 0.0975, 0.1075, 0.1175, 0.2975, 0.0775, 0.26, 0.08, 0.15, 0.1025, 0.095, 0.315, 0.09523809523809523]"
17,"[0.24937655860349128, 0.0975, 0.1375, 0.115, 0.095, 0.08, 0.08, 0.0925, 0.1875, 0.11, 0.11, 0.1, 0.085, 0.21, 0.145, 0.1075, 0.1, 0.1, 0.0925, 0.1275, 0.2725, 0.1075, 0.12, 0.0975, 0.09523809523809523]"
18,"[0.09975062344139651, 0.2175, 0.1825, 0.095, 0.3, 0.0825, 0.2975, 0.0925, 0.115, 0.1175, 0.1875, 0.09, 0.095, 0.0975, 0.1075, 0.1175, 0.225, 0.1, 0.34, 0.08, 0.1575, 0.1025, 0.095, 0.2525, 0.09523809523809523]"
19,"[0.2518703241895262, 0.0975, 0.1375, 0.115, 0.095, 0.08, 0.08, 0.0925, 0.225, 0.11, 0.11, 0.1925, 0.085, 0.2825, 0.16, 0.1075, 0.1, 0.1, 0.0925, 0.1275, 0.185, 0.19, 0.1975, 0.14, 0.09523809523809523]"
20,"[0.09975062344139651, 0.2625, 0.18, 0.095, 0.2975, 0.0825, 0.3225, 0.0925, 0.115, 0.1175, 0.1725, 0.09, 0.095, 0.0975, 0.1075, 0.1175, 0.245, 0.1, 0.3375, 0.08, 0.1575, 0.1025, 0.095, 0.2925, 0.09523809523809523]"
21,"[0.286783042394015, 0.0975, 0.1375, 0.115, 0.095, 0.08, 0.08, 0.0925, 0.245, 0.11, 0.11, 0.21, 0.085, 0.285, 0.175, 0.1075, 0.1, 0.1, 0.0925, 0.1275, 0.1875, 0.18, 0.1175, 0.165, 0.09523809523809523]"
22,"[0.09975062344139651, 0.2675, 0.18, 0.095, 0.3025, 0.0825, 0.2725, 0.0925, 0.115, 0.1175, 0.115, 0.09, 0.095, 0.0975, 0.1075, 0.1175, 0.22, 0.135, 0.27, 0.08, 0.1475, 0.1025, 0.1575, 0.285, 0.09523809523809523]"
23,"[0.28428927680798005, 0.0975, 0.1375, 0.115, 0.095, 0.08, 0.08, 0.0925, 0.265, 0.11, 0.1325, 0.21, 0.085, 0.2825, 0.205, 0.1075, 0.1, 0.1, 0.0925, 0.1275, 0.1875, 0.1875, 0.135, 0.15, 0.09523809523809523]"
24,"[0.09975062344139651, 0.355, 0.185, 0.095, 0.295, 0.0825, 0.2575, 0.0925, 0.115, 0.1175, 0.1075, 0.1725, 0.095, 0.0975, 0.1075, 0.1175, 0.2175, 0.095, 0.115, 0.095, 0.115, 0.1025, 0.1325, 0.295, 0.09523809523809523]"
25,"[0.2743142144638404, 0.0975, 0.1375, 0.115, 0.095, 0.1025, 0.08, 0.0925, 0.2825, 0.11, 0.1975, 0.21, 0.105, 0.265, 0.2125, 0.1075, 0.105, 0.1, 0.0925, 0.1275, 0.1875, 0.215, 0.165, 0.145, 0.09523809523809523]"
26,"[0.09975062344139651, 0.31, 0.1975, 0.095, 0.2525, 0.0825, 0.295, 0.0925, 0.115, 0.1175, 0.1075, 0.15, 0.095, 0.0975, 0.1075, 0.1175, 0.2175, 0.095, 0.1, 0.1775, 0.1175, 0.105, 0.12, 0.3125, 0.09523809523809523]"
27,"[0.14214463840399003, 0.0975, 0.1375, 0.115, 0.0975, 0.1425, 0.08, 0.0925, 0.27, 0.11, 0.1675, 0.26, 0.15, 0.205, 0.215, 0.1075, 0.13, 0.1, 0.095, 0.1275, 0.1925, 0.285, 0.17, 0.15, 0.09523809523809523]"
28,"[0.09975062344139651, 0.315, 0.2, 0.095, 0.24, 0.0825, 0.34, 0.0925, 0.115, 0.1175, 0.1075, 0.115, 0.095, 0.0975, 0.1075, 0.1175, 0.2175, 0.095, 0.1, 0.1875, 0.105, 0.1075, 0.12, 0.335, 0.09523809523809523]"
29,"[0.09226932668329177, 0.0975, 0.1375, 0.115, 0.11, 0.1425, 0.0825, 0.0925, 0.235, 0.11, 0.125, 0.1975, 0.1625, 0.1825, 0.2225, 0.1075, 0.215, 0.1, 0.175, 0.1275, 0.2025, 0.3875, 0.1725, 0.1425, 0.09523809523809523]"
30,"[0.10224438902743142, 0.3175, 0.2, 0.095, 0.215, 0.0825, 0.2175, 0.0925, 0.115, 0.1175, 0.1075, 0.1, 0.095, 0.0975, 0.1075, 0.1175, 0.2175, 0.095, 0.1, 0.205, 0.0925, 0.115, 0.12, 0.305, 0.09523809523809523]"
31,"[0.08229426433915212, 0.0975, 0.1375, 0.145, 0.205, 0.1425, 0.09, 0.0925, 0.215, 0.11, 0.1125, 0.205, 0.18, 0.1775, 0.225, 0.1075, 0.2325, 0.1, 0.345, 0.1275, 0.2225, 0.3725, 0.1775, 0.14, 0.09523809523809523]"
32,"[0.1396508728179551, 0.275, 0.1975, 0.095, 0.2125, 0.0825, 0.1825, 0.0925, 0.115, 0.125, 0.1125, 0.1, 0.1025, 0.0975, 0.1075, 0.1175, 0.23, 0.095, 0.1, 0.2425, 0.0925, 0.18, 0.125, 0.29, 0.09523809523809523]"
33,"[0.0798004987531172, 0.1425, 0.1375, 0.235, 0.2075, 0.1425, 0.125, 0.0925, 0.2, 0.11, 0.1225, 0.1975, 0.1825, 0.1775, 0.225, 0.1075, 0.2375, 0.1, 0.3775, 0.1275, 0.29, 0.3775, 0.18, 0.14, 0.09523809523809523]"
34,"[0.22443890274314215, 0.2475, 0.1975, 0.095, 0.225, 0.095, 0.205, 0.0925, 0.1725, 0.125, 0.1475, 0.1, 0.1675, 0.1, 0.11, 0.1175, 0.27, 0.0975, 0.1, 0.245, 0.0875, 0.17, 0.185, 0.2825, 0.09523809523809523]"
35,"[0.0798004987531172, 0.17, 0.1575, 0.2675, 0.205, 0.1425, 0.1725, 0.0925, 0.215, 0.11, 0.165, 0.1975, 0.1825, 0.1775, 0.225, 0.1075, 0.2625, 0.1025, 0.3775, 0.1375, 0.1975, 0.36, 0.1825, 0.1375, 0.09523809523809523]"
36,"[0.2967581047381546, 0.255, 0.1975, 0.095, 0.23, 0.1275, 0.2425, 0.0925, 0.2025, 0.1425, 0.1825, 0.14, 0.225, 0.11, 0.15, 0.1175, 0.2925, 0.1075, 0.105, 0.2575, 0.085, 0.175, 0.22, 0.23, 0.10275689223057644]"
37,"[0.0798004987531172, 0.2075, 0.2275, 0.3, 0.225, 0.1425, 0.2725, 0.0925, 0.2175, 0.1225, 0.19, 0.2075, 0.1825, 0.18, 0.225, 0.1075, 0.29, 0.1075, 0.36, 0.2, 0.1875, 0.35, 0.16, 0.1275, 0.11779448621553884]"
38,"[0.3167082294264339, 0.265, 0.1975, 0.11, 0.2425, 0.1525, 0.2525, 0.1, 0.2175, 0.1475, 0.1925, 0.2075, 0.235, 0.195, 0.23, 0.1175, 0.2975, 0.13, 0.1375, 0.26, 0.085, 0.215, 0.2275, 0.225, 0.15538847117794485]"
39,"[0.10723192019950124, 0.245, 0.2475, 0.305, 0.24, 0.1425, 0.3125, 0.0925, 0.22, 0.1475, 0.2125, 0.255, 0.1825, 0.18, 0.225, 0.11, 0.3025, 0.1375, 0.3425, 0.23, 0.1875, 0.35, 0.14, 0.1, 0.16290726817042606]"
40,"[0.3117206982543641, 0.2675, 0.1975, 0.15, 0.2475, 0.1725, 0.26, 0.1425, 0.215, 0.1675, 0.2325, 0.215, 0.2425, 0.21, 0.265, 0.1425, 0.3, 0.1425, 0.155, 0.2975, 0.085, 0.235, 0.24, 0.2225, 0.17543859649122806]"
41,"[0.12967581047381546, 0.2775, 0.26, 0.305, 0.2525, 0.15, 0.3175, 0.1025, 0.2125, 0.17, 0.2725, 0.29, 0.1825, 0.18, 0.225, 0.1275, 0.295, 0.1575, 0.34, 0.24, 0.1875, 0.355, 0.13, 0.0975, 0.17794486215538846]"
42,"[0.2942643391521197, 0.2675, 0.1975, 0.1775, 0.25, 0.18, 0.2825, 0.1775, 0.21, 0.19, 0.2625, 0.2275, 0.245, 0.2125, 0.2725, 0.185, 0.31, 0.16, 0.175, 0.33, 0.085, 0.25, 0.26, 0.23, 0.19548872180451127]"
43,"[0.16708229426433915, 0.2775, 0.2575, 0.3, 0.2375, 0.1525, 0.315, 0.1275, 0.205, 0.18, 0.2975, 0.31, 0.1825, 0.1925, 0.225, 0.1725, 0.2725, 0.205, 0.345, 0.2625, 0.1875, 0.365, 0.125, 0.0975, 0.19047619047619047]"
44,"[0.28428927680798005, 0.2775, 0.1975, 0.19, 0.265, 0.2025, 0.3075, 0.1875, 0.215, 0.245, 0.2925, 0.27, 0.25, 0.22, 0.2775, 0.2075, 0.3175, 0.165, 0.1925, 0.3575, 0.085, 0.2525, 0.2975, 0.255, 0.20802005012531327]"
45,"[0.19451371571072318, 0.275, 0.25, 0.3, 0.2475, 0.16, 0.3125, 0.1525, 0.205, 0.185, 0.3075, 0.31, 0.1825, 0.2175, 0.225, 0.19, 0.265, 0.26, 0.33, 0.2675, 0.22, 0.3775, 0.12, 0.0975, 0.20551378446115287]"
46,"[0.2817955112219451, 0.2875, 0.1975, 0.19, 0.27, 0.2125, 0.3275, 0.1925, 0.2175, 0.3125, 0.31, 0.3, 0.255, 0.2275, 0.2775, 0.21, 0.315, 0.17, 0.2325, 0.3725, 0.1, 0.2425, 0.32, 0.2825, 0.2832080200501253]"
47,"[0.20698254364089774, 0.275, 0.26, 0.305, 0.255, 0.195, 0.3025, 0.1625, 0.21, 0.1875, 0.3075, 0.32, 0.1825, 0.2475, 0.225, 0.195, 0.27, 0.2975, 0.335, 0.285, 0.2475, 0.4, 0.12, 0.0975, 0.23558897243107768]"
48,"[0.2743142144638404, 0.2975, 0.2, 0.19, 0.2825, 0.2275, 0.355, 0.24, 0.2175, 0.36, 0.3325, 0.3175, 0.2775, 0.235, 0.2775, 0.21, 0.3175, 0.1775, 0.2625, 0.375, 0.115, 0.2475, 0.3725, 0.3, 0.3182957393483709]"
49,"[0.22194513715710723, 0.2825, 0.265, 0.3075, 0.26, 0.2425, 0.2975, 0.1625, 0.2175, 0.1925, 0.305, 0.33, 0.18, 0.2825, 0.225, 0.2075, 0.28, 0.2925, 0.31, 0.31, 0.345, 0.42, 0.135, 0.1, 0.24561403508771928]"
50,"[0.26683291770573564, 0.3225, 0.2, 0.1975, 0.3075, 0.2425, 0.385, 0.2575, 0.2325, 0.3525, 0.34, 0.3325, 0.28, 0.2475, 0.285, 0.2125, 0.32, 0.1825, 0.2925, 0.3725, 0.1675, 0.2525, 0.3825, 0.33, 0.3007518796992481]"
