eigenvector_centrality,[0 2 1 5 8]
0,"[0.10972568578553615, 0.1, 0.075, 0.09, 0.0975, 0.205, 0.185, 0.1393709960687254, 0.085, 0.3075, 0.0775, 0.1393709960687254, 0.15, 0.0875, 0.1393709960687254, 0.0875, 0.1393709960687254, 0.1775, 0.1175, 0.3125, 0.18, 0.1025, 0.1625, 0.1393709960687254, 0.07769423558897243]"
1,"[0.11970074812967581, 0.1425, 0.075, 0.085, 0.1575, 0.15, 0.2775, 0.16964324542653392, 0.0775, 0.3, 0.115, 0.16964324542653392, 0.1425, 0.28, 0.16964324542653392, 0.14, 0.16964324542653392, 0.115, 0.0925, 0.185, 0.2, 0.265, 0.2075, 0.16964324542653392, 0.2656641604010025]"
2,"[0.07481296758104738, 0.1, 0.075, 0.0825, 0.0975, 0.21, 0.155, 0.14352385639910248, 0.085, 0.4575, 0.0775, 0.14352385639910248, 0.1275, 0.17, 0.14352385639910248, 0.0875, 0.14352385639910248, 0.0775, 0.1175, 0.205, 0.12, 0.15, 0.135, 0.14352385639910248, 0.2656641604010025]"
3,"[0.11970074812967581, 0.2225, 0.075, 0.085, 0.0975, 0.085, 0.3825, 0.17614324542653392, 0.0775, 0.47, 0.1475, 0.17614324542653392, 0.085, 0.23, 0.17614324542653392, 0.0875, 0.17614324542653392, 0.0775, 0.1825, 0.2675, 0.12, 0.21, 0.235, 0.17614324542653392, 0.2656641604010025]"
4,"[0.07481296758104738, 0.1, 0.155, 0.09, 0.13, 0.2175, 0.195, 0.15825599925624537, 0.09, 0.53, 0.1325, 0.15825599925624537, 0.1275, 0.25, 0.15825599925624537, 0.1, 0.15825599925624537, 0.1, 0.1175, 0.2825, 0.1025, 0.09, 0.1575, 0.15825599925624537, 0.12280701754385964]"
5,"[0.11970074812967581, 0.1475, 0.1125, 0.17, 0.1, 0.085, 0.4025, 0.20152388452427825, 0.0775, 0.55, 0.205, 0.20152388452427825, 0.155, 0.2325, 0.20152388452427825, 0.14, 0.20152388452427825, 0.1725, 0.14, 0.2975, 0.1225, 0.195, 0.295, 0.20152388452427825, 0.3107769423558897]"
6,"[0.07481296758104738, 0.1, 0.2575, 0.095, 0.1225, 0.2325, 0.22, 0.19614133760211003, 0.215, 0.5775, 0.185, 0.19614133760211003, 0.2225, 0.3, 0.19614133760211003, 0.1175, 0.19614133760211003, 0.0725, 0.1275, 0.3075, 0.1025, 0.1625, 0.225, 0.19614133760211003, 0.20551378446115287]"
7,"[0.18703241895261846, 0.2525, 0.1125, 0.325, 0.295, 0.16, 0.415, 0.2721420344814655, 0.14, 0.57, 0.2075, 0.2721420344814655, 0.28, 0.2375, 0.2721420344814655, 0.37, 0.2721420344814655, 0.34, 0.23, 0.2175, 0.2725, 0.29, 0.2175, 0.2721420344814655, 0.3233082706766917]"
8,"[0.17206982543640897, 0.175, 0.205, 0.12, 0.1975, 0.2, 0.2425, 0.23276107272545454, 0.2825, 0.565, 0.1875, 0.23276107272545454, 0.2275, 0.39, 0.23276107272545454, 0.14, 0.23276107272545454, 0.0725, 0.2125, 0.3, 0.2, 0.26, 0.245, 0.23276107272545454, 0.2606516290726817]"
9,"[0.20199501246882792, 0.295, 0.13, 0.3025, 0.35, 0.2125, 0.395, 0.2846473696710604, 0.1675, 0.6025, 0.2875, 0.2846473696710604, 0.2725, 0.2425, 0.2846473696710604, 0.335, 0.2846473696710604, 0.3125, 0.265, 0.1875, 0.3075, 0.2725, 0.1725, 0.2846473696710604, 0.38095238095238093]"
10,"[0.18703241895261846, 0.23, 0.2125, 0.1375, 0.2275, 0.2025, 0.235, 0.2681414079150494, 0.3325, 0.5825, 0.3275, 0.2681414079150494, 0.2825, 0.41, 0.2681414079150494, 0.155, 0.2681414079150494, 0.125, 0.2575, 0.3125, 0.2325, 0.285, 0.31, 0.2681414079150494, 0.3182957393483709]"
11,"[0.22443890274314215, 0.295, 0.1525, 0.3125, 0.36, 0.265, 0.395, 0.3045255165657285, 0.3075, 0.6175, 0.285, 0.3045255165657285, 0.3025, 0.24, 0.3045255165657285, 0.3125, 0.3045255165657285, 0.315, 0.2925, 0.1925, 0.3275, 0.3, 0.165, 0.3045255165657285, 0.42857142857142855]"
12,"[0.18703241895261846, 0.285, 0.205, 0.1475, 0.26, 0.2025, 0.2425, 0.29902611969449805, 0.3375, 0.6175, 0.425, 0.29902611969449805, 0.445, 0.4025, 0.29902611969449805, 0.19, 0.29902611969449805, 0.135, 0.3175, 0.2975, 0.265, 0.3275, 0.295, 0.29902611969449805, 0.39598997493734334]"
13,"[0.2817955112219451, 0.345, 0.1425, 0.3125, 0.375, 0.2725, 0.3825, 0.325147732954581, 0.3975, 0.6375, 0.3, 0.325147732954581, 0.31, 0.245, 0.325147732954581, 0.2975, 0.325147732954581, 0.32, 0.3575, 0.2125, 0.35, 0.3125, 0.1875, 0.325147732954581, 0.46365914786967416]"
14,"[0.22194513715710723, 0.39, 0.21, 0.18, 0.3475, 0.18, 0.26, 0.3319008282864268, 0.3525, 0.61, 0.43, 0.3319008282864268, 0.45, 0.4125, 0.3319008282864268, 0.215, 0.3319008282864268, 0.1775, 0.4, 0.325, 0.34, 0.3925, 0.315, 0.3319008282864268, 0.42857142857142855]"
15,"[0.3865336658354115, 0.3525, 0.135, 0.32, 0.37, 0.275, 0.3725, 0.33376496649979065, 0.3925, 0.64, 0.31, 0.33376496649979065, 0.2975, 0.235, 0.33376496649979065, 0.3, 0.33376496649979065, 0.3075, 0.355, 0.23, 0.3525, 0.3125, 0.225, 0.33376496649979065, 0.506265664160401]"
16,"[0.26683291770573564, 0.3825, 0.22, 0.1975, 0.34, 0.1675, 0.245, 0.33965367596047474, 0.33, 0.615, 0.4125, 0.33965367596047474, 0.42, 0.41, 0.33965367596047474, 0.23, 0.33965367596047474, 0.215, 0.3625, 0.37, 0.33, 0.385, 0.3975, 0.33965367596047474, 0.49624060150375937]"
17,"[0.371571072319202, 0.3375, 0.12, 0.33, 0.355, 0.27, 0.345, 0.3237690298064363, 0.345, 0.6475, 0.3, 0.3237690298064363, 0.2525, 0.23, 0.3237690298064363, 0.2975, 0.3237690298064363, 0.3125, 0.34, 0.225, 0.3425, 0.3025, 0.2275, 0.3237690298064363, 0.5238095238095238]"
18,"[0.2817955112219451, 0.39, 0.2375, 0.2075, 0.365, 0.1925, 0.2425, 0.34840462518515736, 0.2575, 0.6575, 0.3775, 0.34840462518515736, 0.3825, 0.4075, 0.34840462518515736, 0.245, 0.34840462518515736, 0.235, 0.3575, 0.4075, 0.3625, 0.4125, 0.43, 0.34840462518515736, 0.518796992481203]"
19,"[0.34413965087281795, 0.325, 0.1125, 0.3425, 0.355, 0.28, 0.3325, 0.3228971454509091, 0.2975, 0.66, 0.3175, 0.3228971454509091, 0.25, 0.23, 0.3228971454509091, 0.2975, 0.3228971454509091, 0.32, 0.3375, 0.2475, 0.345, 0.285, 0.2575, 0.3228971454509091, 0.5213032581453634]"
20,"[0.26683291770573564, 0.4275, 0.235, 0.205, 0.4325, 0.195, 0.2475, 0.3617808689429309, 0.2525, 0.645, 0.365, 0.3617808689429309, 0.3625, 0.41, 0.3617808689429309, 0.23, 0.3617808689429309, 0.2375, 0.4625, 0.41, 0.435, 0.475, 0.4275, 0.3617808689429309, 0.5137844611528822]"
21,"[0.2942643391521197, 0.31, 0.1125, 0.35, 0.325, 0.31, 0.34, 0.3214040064312902, 0.2375, 0.7025, 0.345, 0.3214040064312902, 0.335, 0.2225, 0.3214040064312902, 0.3025, 0.3214040064312902, 0.325, 0.315, 0.2475, 0.3225, 0.26, 0.245, 0.3214040064312902, 0.5263157894736842]"
22,"[0.23192019950124687, 0.4375, 0.2325, 0.195, 0.41, 0.1925, 0.2625, 0.3612827267670423, 0.395, 0.665, 0.3275, 0.3612827267670423, 0.3375, 0.4025, 0.3612827267670423, 0.215, 0.3612827267670423, 0.225, 0.4475, 0.445, 0.425, 0.445, 0.44, 0.3612827267670423, 0.49373433583959897]"
23,"[0.286783042394015, 0.2875, 0.1225, 0.365, 0.305, 0.3225, 0.355, 0.32428213457584104, 0.19, 0.72, 0.42, 0.32428213457584104, 0.3375, 0.205, 0.32428213457584104, 0.32, 0.32428213457584104, 0.35, 0.295, 0.27, 0.3, 0.25, 0.24, 0.32428213457584104, 0.543859649122807]"
