eigenvector_centrality,"[1, 10, 9, 22, 21]"
0,"[0.08977556109725686, 0.0875, 0.17, 0.1075, 0.15, 0.1025, 0.2375, 0.1225, 0.205, 0.0875, 0.2, 0.12, 0.17, 0.1625, 0.0875, 0.19, 0.1175, 0.1125, 0.1875, 0.095, 0.2, 0.1925, 0.1, 0.2725, 0.18796992481203006]"
1,"[0.10473815461346633, 0.0825, 0.08, 0.0975, 0.12, 0.085, 0.1075, 0.0775, 0.12, 0.0875, 0.1825, 0.0875, 0.19, 0.195, 0.1375, 0.1075, 0.2175, 0.0725, 0.2175, 0.22, 0.085, 0.105, 0.125, 0.0975, 0.11278195488721804]"
2,"[0.08977556109725686, 0.0875, 0.15, 0.21, 0.1925, 0.2725, 0.11, 0.2125, 0.2825, 0.2125, 0.1125, 0.0875, 0.0725, 0.255, 0.1225, 0.19, 0.1175, 0.1625, 0.1925, 0.15, 0.1775, 0.1725, 0.21, 0.195, 0.19298245614035087]"
3,"[0.10473815461346633, 0.115, 0.1225, 0.1075, 0.12, 0.245, 0.1075, 0.0975, 0.105, 0.135, 0.2775, 0.0875, 0.2025, 0.27, 0.2375, 0.1125, 0.0925, 0.19, 0.255, 0.3275, 0.085, 0.1675, 0.2375, 0.1275, 0.17293233082706766]"
4,"[0.13216957605985039, 0.0875, 0.2125, 0.095, 0.215, 0.24, 0.1175, 0.205, 0.1975, 0.2225, 0.3025, 0.2075, 0.205, 0.29, 0.1225, 0.155, 0.1175, 0.215, 0.1925, 0.195, 0.1725, 0.235, 0.2725, 0.1525, 0.21804511278195488]"
5,"[0.0798004987531172, 0.1275, 0.1525, 0.0925, 0.12, 0.2325, 0.1075, 0.15, 0.105, 0.1675, 0.175, 0.0875, 0.3075, 0.195, 0.17, 0.175, 0.1325, 0.22, 0.3075, 0.36, 0.325, 0.2125, 0.2375, 0.1925, 0.3182957393483709]"
6,"[0.2718204488778055, 0.0875, 0.35, 0.095, 0.3175, 0.225, 0.205, 0.1975, 0.2475, 0.22, 0.085, 0.3125, 0.2325, 0.15, 0.1925, 0.2275, 0.1175, 0.22, 0.2175, 0.2525, 0.155, 0.1325, 0.2825, 0.2025, 0.20551378446115287]"
7,"[0.12967581047381546, 0.3575, 0.21, 0.2525, 0.16, 0.135, 0.135, 0.1625, 0.1225, 0.1425, 0.285, 0.0875, 0.3125, 0.275, 0.1725, 0.18, 0.2125, 0.22, 0.3425, 0.33, 0.145, 0.2875, 0.2725, 0.1775, 0.2982456140350877]"
8,"[0.2518703241895262, 0.16, 0.3125, 0.1225, 0.3625, 0.2475, 0.36, 0.1975, 0.34, 0.205, 0.1025, 0.3675, 0.2325, 0.125, 0.205, 0.2225, 0.115, 0.335, 0.155, 0.1975, 0.1475, 0.1375, 0.2175, 0.2925, 0.14536340852130325]"
9,"[0.26932668329177056, 0.3175, 0.175, 0.2, 0.2075, 0.1425, 0.185, 0.1625, 0.1775, 0.14, 0.3475, 0.1725, 0.3175, 0.35, 0.1825, 0.1875, 0.405, 0.2175, 0.2725, 0.35, 0.4075, 0.34, 0.3725, 0.26, 0.2857142857142857]"
10,"[0.40399002493765584, 0.2025, 0.3125, 0.19, 0.2975, 0.3425, 0.3025, 0.195, 0.2975, 0.21, 0.19, 0.3525, 0.1925, 0.2325, 0.21, 0.225, 0.295, 0.3875, 0.1625, 0.185, 0.315, 0.24, 0.1975, 0.2675, 0.16040100250626566]"
11,"[0.3316708229426434, 0.2825, 0.1425, 0.1975, 0.23, 0.235, 0.1925, 0.145, 0.1975, 0.1575, 0.36, 0.2125, 0.3325, 0.375, 0.2125, 0.2225, 0.355, 0.2125, 0.2825, 0.3625, 0.3025, 0.3375, 0.38, 0.255, 0.3182957393483709]"
12,"[0.2743142144638404, 0.2225, 0.2775, 0.2025, 0.29, 0.3625, 0.3, 0.1875, 0.255, 0.235, 0.2325, 0.3125, 0.3475, 0.2925, 0.2025, 0.225, 0.3225, 0.315, 0.19, 0.2975, 0.405, 0.27, 0.2, 0.2775, 0.2731829573934837]"
13,"[0.3316708229426434, 0.2625, 0.22, 0.2425, 0.2225, 0.28, 0.2, 0.125, 0.225, 0.17, 0.35, 0.22, 0.345, 0.3875, 0.2325, 0.2775, 0.3125, 0.22, 0.385, 0.3325, 0.3025, 0.3375, 0.365, 0.2975, 0.2807017543859649]"
14,"[0.256857855361596, 0.2225, 0.2975, 0.2025, 0.29, 0.3275, 0.3, 0.1325, 0.2675, 0.335, 0.28, 0.3025, 0.385, 0.285, 0.2375, 0.3125, 0.265, 0.3075, 0.21, 0.3325, 0.2825, 0.3, 0.25, 0.3575, 0.3383458646616541]"
15,"[0.2194513715710723, 0.2425, 0.3325, 0.2775, 0.2325, 0.15, 0.2175, 0.1825, 0.2325, 0.1975, 0.34, 0.205, 0.3075, 0.33, 0.2925, 0.38, 0.3125, 0.225, 0.415, 0.325, 0.3025, 0.275, 0.3725, 0.31, 0.24561403508771928]"
16,"[0.3167082294264339, 0.225, 0.29, 0.1775, 0.2825, 0.325, 0.305, 0.135, 0.2725, 0.415, 0.1825, 0.3025, 0.325, 0.2125, 0.3825, 0.41, 0.2325, 0.305, 0.27, 0.2875, 0.2875, 0.2075, 0.27, 0.3825, 0.2731829573934837]"
17,"[0.1770573566084788, 0.235, 0.255, 0.275, 0.245, 0.0975, 0.22, 0.3275, 0.24, 0.22, 0.34, 0.225, 0.365, 0.325, 0.325, 0.375, 0.33, 0.2325, 0.4125, 0.3325, 0.31, 0.275, 0.4025, 0.37, 0.3082706766917293]"
18,"[0.34413965087281795, 0.225, 0.25, 0.2, 0.3025, 0.345, 0.3225, 0.1675, 0.305, 0.39, 0.1825, 0.3225, 0.31, 0.2225, 0.4, 0.4325, 0.2325, 0.325, 0.3625, 0.275, 0.215, 0.1975, 0.28, 0.345, 0.24812030075187969]"
19,"[0.1970074812967581, 0.2225, 0.23, 0.27, 0.2625, 0.16, 0.2275, 0.335, 0.2575, 0.2375, 0.345, 0.235, 0.4425, 0.3425, 0.3725, 0.3825, 0.3525, 0.2475, 0.3825, 0.4125, 0.315, 0.3225, 0.395, 0.325, 0.38847117794486213]"
20,"[0.3541147132169576, 0.25, 0.29, 0.2275, 0.32, 0.33, 0.3225, 0.1625, 0.31, 0.375, 0.19, 0.3425, 0.3125, 0.2275, 0.3825, 0.385, 0.2225, 0.36, 0.395, 0.2875, 0.2075, 0.1875, 0.32, 0.365, 0.2581453634085213]"
21,"[0.2119700748129676, 0.215, 0.2475, 0.22, 0.2875, 0.2025, 0.275, 0.2775, 0.32, 0.3575, 0.405, 0.28, 0.44, 0.345, 0.3775, 0.3525, 0.345, 0.255, 0.3575, 0.415, 0.305, 0.3675, 0.395, 0.275, 0.40852130325814534]"
22,"[0.34413965087281795, 0.265, 0.34, 0.215, 0.3175, 0.3225, 0.3375, 0.2175, 0.3125, 0.3225, 0.2375, 0.3625, 0.33, 0.2475, 0.3275, 0.3525, 0.2025, 0.345, 0.3625, 0.2675, 0.2425, 0.2275, 0.3425, 0.3425, 0.2631578947368421]"
23,"[0.1571072319201995, 0.2175, 0.235, 0.1975, 0.3175, 0.21, 0.295, 0.2375, 0.34, 0.3375, 0.37, 0.3, 0.435, 0.34, 0.35, 0.315, 0.3125, 0.275, 0.3425, 0.4025, 0.2825, 0.3525, 0.3925, 0.2525, 0.39849624060150374]"
24,"[0.26184538653366585, 0.255, 0.3175, 0.2225, 0.3275, 0.3075, 0.345, 0.2225, 0.31, 0.2825, 0.2625, 0.3575, 0.3475, 0.29, 0.315, 0.32, 0.255, 0.3475, 0.345, 0.2475, 0.2525, 0.2625, 0.3425, 0.3025, 0.23308270676691728]"
