eigenvector_centrality,"[14, 21, 2, 8, 19]"
0,"[0.10972568578553615, 0.175, 0.11, 0.1325, 0.15409780686129285, 0.1, 0.29, 0.1175, 0.0775, 0.2175, 0.15409780686129285, 0.195, 0.2225, 0.0875, 0.075, 0.12, 0.1325, 0.0725, 0.2225, 0.21, 0.125, 0.15409780686129285, 0.3, 0.1275, 0.17042606516290726]"
1,"[0.10972568578553615, 0.16, 0.1325, 0.2, 0.17615408391756995, 0.0775, 0.095, 0.0725, 0.085, 0.1075, 0.17615408391756995, 0.415, 0.25, 0.0925, 0.21, 0.1175, 0.1175, 0.25, 0.4275, 0.2575, 0.1425, 0.17615408391756995, 0.1925, 0.0975, 0.2656641604010025]"
2,"[0.10972568578553615, 0.1925, 0.11, 0.095, 0.20695722814176684, 0.085, 0.1525, 0.1, 0.0775, 0.2425, 0.20695722814176684, 0.5025, 0.2575, 0.1475, 0.075, 0.245, 0.1025, 0.1375, 0.3275, 0.445, 0.1775, 0.20695722814176684, 0.46, 0.1775, 0.3333333333333333]"
3,"[0.19451371571072318, 0.1725, 0.0975, 0.115, 0.20876406613904971, 0.2275, 0.095, 0.12, 0.085, 0.1075, 0.20876406613904971, 0.425, 0.18, 0.0925, 0.1825, 0.1075, 0.1125, 0.345, 0.27, 0.4275, 0.2375, 0.20876406613904971, 0.465, 0.215, 0.3182957393483709]"
4,"[0.18453865336658354, 0.235, 0.1975, 0.1875, 0.24819160659526848, 0.085, 0.255, 0.0925, 0.1925, 0.305, 0.24819160659526848, 0.43, 0.33, 0.1025, 0.1325, 0.24, 0.2375, 0.165, 0.3625, 0.5175, 0.26, 0.24819160659526848, 0.4075, 0.27, 0.2706766917293233]"
5,"[0.22443890274314215, 0.2025, 0.0975, 0.115, 0.2621429910722657, 0.2475, 0.375, 0.1525, 0.175, 0.0925, 0.2621429910722657, 0.2621429910722657, 0.365, 0.1625, 0.205, 0.1075, 0.3775, 0.3875, 0.2925, 0.5825, 0.2621429910722657, 0.1725, 0.485, 0.46, 0.22556390977443608]"
6,"[0.16209476309226933, 0.1725, 0.255, 0.22, 0.2835825648017442, 0.115, 0.44, 0.0925, 0.385, 0.25, 0.2835825648017442, 0.2835825648017442, 0.3975, 0.42, 0.1525, 0.215, 0.2525, 0.2125, 0.3925, 0.63, 0.2835825648017442, 0.1025, 0.55, 0.2825, 0.2556390977443609]"
7,"[0.20448877805486285, 0.3325, 0.1275, 0.235, 0.31691144795845455, 0.2875, 0.4325, 0.2225, 0.31, 0.0925, 0.31691144795845455, 0.31691144795845455, 0.39, 0.28, 0.2925, 0.19, 0.3875, 0.4775, 0.3125, 0.645, 0.31691144795845455, 0.13, 0.54, 0.505, 0.2606516290726817]"
8,"[0.16209476309226933, 0.16, 0.2975, 0.2725, 0.3515709882412955, 0.285, 0.4775, 0.19, 0.355, 0.3375, 0.3515709882412955, 0.3515709882412955, 0.4, 0.4425, 0.1625, 0.305, 0.3, 0.38, 0.4125, 0.66, 0.3515709882412955, 0.4775, 0.54, 0.4075, 0.3583959899749373]"
