eigenvector_centrality,[ 0  4  1  2 10]
0,"[0.10473815461346633, 0.1, 0.1125, 0.0925, 0.13, 0.1, 0.0675, 0.1225, 0.12, 0.0925, 0.11, 0.125, 0.1875, 0.0875, 0.265, 0.0775, 0.09, 0.0775, 0.235, 0.1125, 0.14, 0.1825, 0.1725, 0.1175, 0.19298245614035087]"
1,"[0.11970074812967581, 0.1675, 0.08, 0.16, 0.12, 0.0875, 0.3075, 0.1225, 0.22, 0.1075, 0.1975, 0.08, 0.1575, 0.1875, 0.125, 0.2225, 0.23, 0.18, 0.0925, 0.2075, 0.1525, 0.1775, 0.2025, 0.0925, 0.22807017543859648]"
2,"[0.0798004987531172, 0.1, 0.1375, 0.0925, 0.12, 0.165, 0.07, 0.1225, 0.105, 0.0925, 0.0775, 0.1825, 0.3625, 0.0875, 0.075, 0.145, 0.16, 0.21, 0.155, 0.1725, 0.1875, 0.1825, 0.095, 0.0875, 0.3283208020050125]"
3,"[0.11970074812967581, 0.2875, 0.2975, 0.1375, 0.0975, 0.11, 0.3275, 0.21, 0.2075, 0.1075, 0.2, 0.08, 0.105, 0.0775, 0.075, 0.2475, 0.2325, 0.2125, 0.0925, 0.2175, 0.1025, 0.1475, 0.115, 0.17, 0.14536340852130325]"
4,"[0.1172069825436409, 0.1, 0.1425, 0.0925, 0.095, 0.1975, 0.1725, 0.2, 0.1375, 0.1725, 0.0775, 0.27, 0.3225, 0.0875, 0.075, 0.1475, 0.2125, 0.23, 0.185, 0.1225, 0.1825, 0.18, 0.095, 0.29, 0.3583959899749373]"
5,"[0.11970074812967581, 0.23, 0.2375, 0.115, 0.0975, 0.08, 0.315, 0.1175, 0.145, 0.1175, 0.225, 0.1175, 0.2, 0.115, 0.12, 0.3575, 0.2275, 0.185, 0.385, 0.215, 0.1025, 0.1075, 0.0975, 0.1825, 0.23057644110275688]"
6,"[0.14713216957605985, 0.1, 0.21, 0.1725, 0.095, 0.26, 0.22, 0.2575, 0.1675, 0.2, 0.0975, 0.2625, 0.32, 0.0875, 0.075, 0.14, 0.29, 0.3675, 0.215, 0.12, 0.1075, 0.1825, 0.2375, 0.275, 0.3283208020050125]"
7,"[0.2543640897755611, 0.1625, 0.255, 0.1475, 0.18, 0.13, 0.2775, 0.1175, 0.12, 0.1175, 0.235, 0.225, 0.21, 0.1475, 0.12, 0.3375, 0.2275, 0.2125, 0.4625, 0.2225, 0.1025, 0.095, 0.15, 0.26, 0.22556390977443608]"
8,"[0.19451371571072318, 0.2025, 0.21, 0.2925, 0.095, 0.215, 0.2425, 0.26, 0.2025, 0.1525, 0.115, 0.445, 0.315, 0.31, 0.08, 0.1825, 0.245, 0.4525, 0.1975, 0.08, 0.155, 0.1725, 0.325, 0.3575, 0.2857142857142857]"
9,"[0.24937655860349128, 0.18, 0.265, 0.235, 0.1825, 0.205, 0.22, 0.115, 0.12, 0.1175, 0.2325, 0.3275, 0.255, 0.23, 0.12, 0.27, 0.26, 0.2875, 0.3425, 0.27, 0.1025, 0.09, 0.24, 0.325, 0.3308270676691729]"
10,"[0.20947630922693267, 0.24, 0.29, 0.3025, 0.095, 0.2775, 0.18, 0.3775, 0.2725, 0.1825, 0.1525, 0.37, 0.2575, 0.3125, 0.1425, 0.19, 0.2675, 0.4975, 0.205, 0.08, 0.225, 0.2675, 0.3225, 0.365, 0.44360902255639095]"
11,"[0.20199501246882792, 0.29, 0.26, 0.33, 0.225, 0.205, 0.135, 0.1125, 0.12, 0.1175, 0.285, 0.3875, 0.3425, 0.285, 0.12, 0.4225, 0.3225, 0.4225, 0.4175, 0.345, 0.1025, 0.0925, 0.2925, 0.3425, 0.40852130325814534]"
12,"[0.30673316708229426, 0.2975, 0.295, 0.3, 0.095, 0.3425, 0.2075, 0.3975, 0.2825, 0.275, 0.15, 0.35, 0.3175, 0.3175, 0.28, 0.175, 0.2725, 0.4875, 0.195, 0.08, 0.3325, 0.3675, 0.3275, 0.325, 0.42857142857142855]"
13,"[0.19451371571072318, 0.265, 0.2175, 0.2875, 0.2975, 0.27, 0.11, 0.1125, 0.195, 0.1175, 0.2975, 0.3975, 0.3675, 0.2875, 0.12, 0.44, 0.365, 0.4, 0.37, 0.3825, 0.1025, 0.1125, 0.2625, 0.39, 0.42105263157894735]"
14,"[0.2593516209476309, 0.3075, 0.3025, 0.32, 0.095, 0.335, 0.21, 0.3125, 0.31, 0.35, 0.185, 0.3425, 0.3125, 0.3675, 0.285, 0.15, 0.2575, 0.4975, 0.185, 0.0825, 0.34, 0.4125, 0.355, 0.34, 0.44360902255639095]"
15,"[0.2144638403990025, 0.2425, 0.2425, 0.285, 0.35, 0.34, 0.11, 0.115, 0.24, 0.1175, 0.285, 0.415, 0.4075, 0.285, 0.12, 0.36, 0.3175, 0.43, 0.335, 0.3725, 0.1025, 0.14, 0.2475, 0.4, 0.42355889724310775]"
16,"[0.256857855361596, 0.2875, 0.26, 0.3275, 0.095, 0.2875, 0.29, 0.32, 0.3375, 0.3325, 0.1725, 0.34, 0.345, 0.335, 0.2875, 0.115, 0.2475, 0.465, 0.1775, 0.09, 0.345, 0.3275, 0.36, 0.325, 0.46365914786967416]"
17,"[0.19201995012468828, 0.195, 0.245, 0.24, 0.34, 0.29, 0.11, 0.115, 0.26, 0.1175, 0.24, 0.4225, 0.425, 0.2875, 0.12, 0.3675, 0.2775, 0.455, 0.365, 0.3, 0.1025, 0.195, 0.23, 0.4125, 0.41102756892230574]"
18,"[0.18703241895261846, 0.2125, 0.2425, 0.3025, 0.095, 0.2325, 0.3475, 0.37, 0.3475, 0.3275, 0.1325, 0.29, 0.34, 0.2925, 0.2925, 0.1125, 0.2175, 0.4525, 0.155, 0.105, 0.35, 0.33, 0.3075, 0.27, 0.46115288220551376]"
19,"[0.13216957605985039, 0.17, 0.1825, 0.225, 0.3275, 0.275, 0.11, 0.1175, 0.265, 0.1175, 0.2125, 0.4125, 0.43, 0.2775, 0.12, 0.36, 0.28, 0.4275, 0.365, 0.375, 0.1025, 0.215, 0.205, 0.385, 0.43107769423558895]"
20,"[0.17206982543640897, 0.2275, 0.3025, 0.3025, 0.095, 0.235, 0.3325, 0.385, 0.3325, 0.3475, 0.1475, 0.32, 0.285, 0.305, 0.31, 0.1075, 0.2075, 0.4775, 0.1675, 0.135, 0.3425, 0.39, 0.305, 0.3075, 0.46616541353383456]"
21,"[0.12718204488778054, 0.165, 0.1725, 0.2075, 0.29, 0.285, 0.11, 0.1175, 0.2925, 0.1175, 0.2, 0.4475, 0.405, 0.265, 0.12, 0.3675, 0.305, 0.4125, 0.38, 0.385, 0.1025, 0.19, 0.19, 0.395, 0.42606516290726815]"
22,"[0.16209476309226933, 0.25, 0.3475, 0.335, 0.095, 0.22, 0.3225, 0.3725, 0.33, 0.345, 0.205, 0.375, 0.2825, 0.3275, 0.305, 0.1275, 0.195, 0.48, 0.195, 0.1675, 0.35, 0.37, 0.335, 0.3975, 0.506265664160401]"
23,"[0.1546134663341646, 0.1425, 0.165, 0.19, 0.265, 0.2875, 0.11, 0.1175, 0.2625, 0.1175, 0.185, 0.455, 0.4, 0.23, 0.12, 0.37, 0.3275, 0.4425, 0.38, 0.3975, 0.1025, 0.155, 0.1875, 0.4075, 0.44611528822055135]"
24,"[0.1172069825436409, 0.28, 0.36, 0.3475, 0.095, 0.2075, 0.3225, 0.375, 0.33, 0.3275, 0.235, 0.395, 0.285, 0.3325, 0.3125, 0.175, 0.1675, 0.485, 0.205, 0.1275, 0.3575, 0.39, 0.3175, 0.3975, 0.518796992481203]"
25,"[0.1770573566084788, 0.395, 0.4175, 0.175, 0.095, 0.295, 0.11, 0.1175, 0.24, 0.1175, 0.34, 0.4425, 0.4075, 0.2175, 0.12, 0.3675, 0.3275, 0.475, 0.3875, 0.3775, 0.1025, 0.13, 0.17, 0.4, 0.44611528822055135]"
26,"[0.2194513715710723, 0.4475, 0.515, 0.445, 0.2475, 0.495, 0.315, 0.4525, 0.335, 0.41, 0.475, 0.4925, 0.295, 0.455, 0.2775, 0.18, 0.465, 0.5225, 0.1625, 0.1125, 0.35, 0.385, 0.42, 0.4625, 0.46616541353383456]"
27,"[0.4164588528678304, 0.37, 0.285, 0.62, 0.3225, 0.44, 0.11, 0.1025, 0.345, 0.19, 0.4175, 0.4825, 0.405, 0.575, 0.2975, 0.3825, 0.4125, 0.49, 0.4025, 0.3975, 0.3475, 0.105, 0.4925, 0.48, 0.49122807017543857]"
28,"[0.3192019950124688, 0.485, 0.52, 0.4575, 0.23, 0.2825, 0.3075, 0.3975, 0.4125, 0.315, 0.3825, 0.45, 0.42, 0.4175, 0.2675, 0.0975, 0.21, 0.5275, 0.1, 0.0975, 0.2725, 0.385, 0.3925, 0.445, 0.5714285714285714]"
29,"[0.4613466334164589, 0.2475, 0.25, 0.3875, 0.2175, 0.32, 0.11, 0.1225, 0.3825, 0.215, 0.365, 0.435, 0.4575, 0.3475, 0.225, 0.3725, 0.2675, 0.5175, 0.3375, 0.3725, 0.24, 0.095, 0.3725, 0.435, 0.49624060150375937]"
30,"[0.3316708229426434, 0.51, 0.515, 0.2175, 0.295, 0.24, 0.2975, 0.2425, 0.4025, 0.2725, 0.235, 0.3875, 0.4575, 0.23, 0.21, 0.1475, 0.145, 0.4775, 0.13, 0.19, 0.1825, 0.3175, 0.2675, 0.3925, 0.46115288220551376]"
31,"[0.36658354114713215, 0.2475, 0.2875, 0.2475, 0.135, 0.1825, 0.11, 0.275, 0.3675, 0.2025, 0.41, 0.2475, 0.455, 0.2525, 0.12, 0.2975, 0.2575, 0.4275, 0.28, 0.24, 0.115, 0.235, 0.28, 0.2625, 0.45864661654135336]"
32,"[0.32169576059850374, 0.465, 0.4775, 0.145, 0.2425, 0.19, 0.2925, 0.2125, 0.345, 0.265, 0.155, 0.3775, 0.43, 0.17, 0.1575, 0.27, 0.2275, 0.385, 0.2525, 0.2725, 0.12, 0.265, 0.1775, 0.3725, 0.41353383458646614]"
33,"[0.30423940149625933, 0.2425, 0.265, 0.2, 0.15, 0.155, 0.11, 0.3525, 0.3425, 0.245, 0.4575, 0.2175, 0.3825, 0.215, 0.105, 0.33, 0.2175, 0.3475, 0.275, 0.2425, 0.0825, 0.2725, 0.23, 0.2475, 0.3208020050125313]"
34,"[0.2344139650872818, 0.4925, 0.525, 0.1, 0.3175, 0.225, 0.2925, 0.26, 0.3075, 0.2425, 0.25, 0.315, 0.3575, 0.1075, 0.19, 0.295, 0.1625, 0.2775, 0.2875, 0.375, 0.1425, 0.275, 0.1225, 0.3125, 0.3333333333333333]"
35,"[0.19950124688279303, 0.3075, 0.2925, 0.185, 0.165, 0.155, 0.11, 0.2775, 0.295, 0.275, 0.4475, 0.165, 0.3475, 0.21, 0.105, 0.2725, 0.2125, 0.27, 0.26, 0.2525, 0.0825, 0.3175, 0.19, 0.1725, 0.23057644110275688]"
36,"[0.3117206982543641, 0.4825, 0.515, 0.1, 0.28, 0.2075, 0.3275, 0.2725, 0.225, 0.235, 0.205, 0.3225, 0.3275, 0.1075, 0.2175, 0.335, 0.195, 0.225, 0.3, 0.24, 0.165, 0.2975, 0.12, 0.3325, 0.2731829573934837]"
37,"[0.16957605985037408, 0.2425, 0.255, 0.185, 0.225, 0.1475, 0.11, 0.26, 0.245, 0.2825, 0.475, 0.1775, 0.34, 0.21, 0.1075, 0.28, 0.185, 0.2575, 0.26, 0.2625, 0.0825, 0.2825, 0.1975, 0.1925, 0.20802005012531327]"
