in_deg_centrality,[19. 14. 22.  1. 18. 13.  0. 23. 24.]
0,"[0.12275449101796407, 0.12574850299401197, 0.2125748502994012, 0.12275449101796407, 0.08982035928143713, 0.12574850299401197, 0.2694610778443114, 0.06287425149700598, 0.09281437125748503, 0.08982035928143713, 0.1021021021021021, 0.0990990990990991, 0.13513513513513514, 0.16816816816816818, 0.18618618618618618, 0.16816816816816818, 0.14114114114114115, 0.0960960960960961, 0.08408408408408409, 0.12012012012012012, 0.1891891891891892, 0.1111111111111111, 0.1111111111111111, 0.13513513513513514, 0.15015015015015015, 0.15915915915915915, 0.1111111111111111, 0.12012012012012012, 0.1111111111111111, 0.0990990990990991]"
1,"[0.4311377245508982, 0.46107784431137727, 0.44610778443113774, 0.5089820359281437, 0.4251497005988024, 0.44011976047904194, 0.4880239520958084, 0.4251497005988024, 0.41916167664670656, 0.4491017964071856, 0.5105105105105106, 0.5105105105105106, 0.38738738738738737, 0.45345345345345345, 0.4744744744744745, 0.4894894894894895, 0.3483483483483483, 0.4984984984984985, 0.44744744744744747, 0.44144144144144143, 0.4444444444444444, 0.45345345345345345, 0.5225225225225225, 0.44744744744744747, 0.5405405405405406, 0.4984984984984985, 0.47147147147147145, 0.5375375375375375, 0.4894894894894895, 0.44744744744744747]"
2,"[0.5688622754491018, 0.5868263473053892, 0.5748502994011976, 0.6197604790419161, 0.6137724550898204, 0.562874251497006, 0.592814371257485, 0.6107784431137725, 0.592814371257485, 0.5778443113772455, 0.6336336336336337, 0.6066066066066066, 0.6276276276276276, 0.5375375375375375, 0.6366366366366366, 0.6006006006006006, 0.5945945945945946, 0.5855855855855856, 0.6036036036036037, 0.5915915915915916, 0.6366366366366366, 0.5765765765765766, 0.6456456456456456, 0.5855855855855856, 0.5945945945945946, 0.5855855855855856, 0.6036036036036037, 0.6156156156156156, 0.6066066066066066, 0.6126126126126126]"
3,"[0.5958083832335329, 0.625748502994012, 0.6197604790419161, 0.6646706586826348, 0.655688622754491, 0.5958083832335329, 0.6197604790419161, 0.6437125748502994, 0.6137724550898204, 0.592814371257485, 0.6666666666666666, 0.6276276276276276, 0.6366366366366366, 0.5765765765765766, 0.6756756756756757, 0.6246246246246246, 0.6456456456456456, 0.6276276276276276, 0.6396396396396397, 0.6216216216216216, 0.6426426426426426, 0.6186186186186187, 0.6786786786786787, 0.6186186186186187, 0.6366366366366366, 0.5915915915915916, 0.6456456456456456, 0.6126126126126126, 0.6486486486486487, 0.6366366366366366]"
4,"[0.6317365269461078, 0.6526946107784432, 0.6467065868263473, 0.6916167664670658, 0.6586826347305389, 0.6227544910179641, 0.6317365269461078, 0.6826347305389222, 0.6287425149700598, 0.6077844311377245, 0.6726726726726727, 0.6516516516516516, 0.6486486486486487, 0.6126126126126126, 0.7177177177177178, 0.6396396396396397, 0.6666666666666666, 0.6696696696696697, 0.6696696696696697, 0.6246246246246246, 0.6666666666666666, 0.6396396396396397, 0.6906906906906907, 0.6516516516516516, 0.6636636636636637, 0.6606606606606606, 0.6756756756756757, 0.6486486486486487, 0.7027027027027027, 0.6396396396396397]"
5,"[0.655688622754491, 0.6826347305389222, 0.6676646706586826, 0.6976047904191617, 0.6946107784431138, 0.6616766467065869, 0.6497005988023952, 0.7005988023952096, 0.6467065868263473, 0.6287425149700598, 0.6876876876876877, 0.6726726726726727, 0.6576576576576577, 0.6576576576576577, 0.7177177177177178, 0.6546546546546547, 0.7087087087087087, 0.6816816816816816, 0.6786786786786787, 0.6606606606606606, 0.6846846846846847, 0.6456456456456456, 0.7267267267267268, 0.6786786786786787, 0.6816816816816816, 0.6816816816816816, 0.6846846846846847, 0.6666666666666666, 0.7267267267267268, 0.6516516516516516]"
6,"[0.6736526946107785, 0.7215568862275449, 0.6766467065868264, 0.718562874251497, 0.7035928143712575, 0.6826347305389222, 0.6856287425149701, 0.7065868263473054, 0.6616766467065869, 0.6347305389221557, 0.6906906906906907, 0.6816816816816816, 0.6876876876876877, 0.6816816816816816, 0.7327327327327328, 0.6876876876876877, 0.7177177177177178, 0.7147147147147147, 0.7087087087087087, 0.6816816816816816, 0.6876876876876877, 0.6576576576576577, 0.7327327327327328, 0.6816816816816816, 0.7117117117117117, 0.6996996996996997, 0.6996996996996997, 0.6876876876876877, 0.7597597597597597, 0.6906906906906907]"
7,"[0.6706586826347305, 0.7305389221556886, 0.6856287425149701, 0.7215568862275449, 0.7125748502994012, 0.688622754491018, 0.6946107784431138, 0.7095808383233533, 0.6676646706586826, 0.6437125748502994, 0.7057057057057057, 0.6966966966966966, 0.6966966966966966, 0.7027027027027027, 0.7327327327327328, 0.6966966966966966, 0.7297297297297297, 0.7357357357357357, 0.7237237237237237, 0.6936936936936937, 0.6996996996996997, 0.6726726726726727, 0.7207207207207207, 0.6996996996996997, 0.7087087087087087, 0.7177177177177178, 0.7237237237237237, 0.6786786786786787, 0.7357357357357357, 0.6876876876876877]"
8,"[0.6736526946107785, 0.7245508982035929, 0.6856287425149701, 0.7365269461077845, 0.7155688622754491, 0.6916167664670658, 0.6976047904191617, 0.7095808383233533, 0.6856287425149701, 0.6646706586826348, 0.7087087087087087, 0.6996996996996997, 0.6996996996996997, 0.7057057057057057, 0.7477477477477478, 0.6996996996996997, 0.7147147147147147, 0.7267267267267268, 0.7237237237237237, 0.6846846846846847, 0.7147147147147147, 0.6846846846846847, 0.7237237237237237, 0.7117117117117117, 0.7147147147147147, 0.7267267267267268, 0.7327327327327328, 0.7027027027027027, 0.7627627627627628, 0.6876876876876877]"
