eigenvector_centrality,[13  4 22 20  1]
0,"[0.08977556109725686, 0.135, 0.095, 0.09, 0.12, 0.085, 0.1075, 0.12, 0.095, 0.0925, 0.095, 0.1, 0.0725, 0.1125, 0.075, 0.1125, 0.075, 0.1, 0.115, 0.1, 0.1025, 0.1125, 0.16, 0.0875, 0.10275689223057644]"
1,"[0.08229426433915212, 0.115, 0.1675, 0.0975, 0.095, 0.1025, 0.1075, 0.0775, 0.115, 0.0925, 0.1125, 0.0975, 0.0525, 0.0875, 0.12, 0.115, 0.155, 0.095, 0.115, 0.15, 0.1225, 0.115, 0.095, 0.0875, 0.10275689223057644]"
2,"[0.08977556109725686, 0.115, 0.095, 0.09, 0.1075, 0.1025, 0.1075, 0.0725, 0.105, 0.0925, 0.1125, 0.1, 0.0725, 0.0875, 0.1625, 0.1125, 0.1025, 0.1, 0.1, 0.1, 0.1025, 0.115, 0.0975, 0.0875, 0.10275689223057644]"
3,"[0.08229426433915212, 0.115, 0.1725, 0.19, 0.095, 0.1025, 0.1075, 0.0775, 0.105, 0.0925, 0.1125, 0.1, 0.06, 0.0875, 0.105, 0.115, 0.1025, 0.18, 0.1, 0.0975, 0.1075, 0.115, 0.095, 0.0975, 0.10275689223057644]"
4,"[0.16209476309226933, 0.115, 0.095, 0.09, 0.095, 0.1025, 0.1075, 0.1275, 0.105, 0.0925, 0.1125, 0.1, 0.0725, 0.0875, 0.105, 0.15, 0.115, 0.1, 0.1, 0.195, 0.1025, 0.115, 0.095, 0.135, 0.10275689223057644]"
5,"[0.08229426433915212, 0.115, 0.115, 0.1075, 0.095, 0.1025, 0.1075, 0.18, 0.105, 0.0925, 0.1125, 0.1, 0.0725, 0.0875, 0.105, 0.115, 0.075, 0.14, 0.1, 0.0975, 0.14, 0.0975, 0.095, 0.0975, 0.10275689223057644]"
6,"[0.08229426433915212, 0.115, 0.095, 0.09, 0.095, 0.1025, 0.1075, 0.1225, 0.105, 0.0925, 0.1125, 0.1, 0.0725, 0.0875, 0.105, 0.115, 0.1625, 0.1, 0.1, 0.1, 0.1025, 0.11, 0.095, 0.0975, 0.10275689223057644]"
7,"[0.08229426433915212, 0.115, 0.0975, 0.1075, 0.095, 0.1025, 0.1075, 0.1175, 0.105, 0.0925, 0.1125, 0.1, 0.0725, 0.0875, 0.075, 0.115, 0.075, 0.1525, 0.0825, 0.0975, 0.14, 0.0825, 0.095, 0.0975, 0.10275689223057644]"
8,"[0.11221945137157108, 0.115, 0.095, 0.09, 0.095, 0.1025, 0.1075, 0.1225, 0.105, 0.085, 0.1125, 0.1, 0.0725, 0.0875, 0.075, 0.115, 0.245, 0.1, 0.1, 0.1, 0.1025, 0.115, 0.095, 0.1625, 0.10275689223057644]"
9,"[0.08229426433915212, 0.115, 0.0975, 0.1075, 0.095, 0.1025, 0.1075, 0.1175, 0.105, 0.0925, 0.1125, 0.1, 0.0725, 0.0875, 0.075, 0.115, 0.075, 0.2375, 0.0825, 0.0975, 0.1075, 0.08, 0.095, 0.0975, 0.10275689223057644]"
10,"[0.11221945137157108, 0.115, 0.095, 0.09, 0.095, 0.1825, 0.1075, 0.1225, 0.105, 0.085, 0.1125, 0.1, 0.0725, 0.0875, 0.075, 0.115, 0.1025, 0.1, 0.1, 0.1, 0.1025, 0.115, 0.1275, 0.12, 0.10275689223057644]"
11,"[0.08229426433915212, 0.115, 0.0975, 0.1075, 0.095, 0.1025, 0.1075, 0.1175, 0.15, 0.0925, 0.1125, 0.1, 0.0725, 0.18, 0.075, 0.2075, 0.075, 0.145, 0.0825, 0.0975, 0.1075, 0.08, 0.095, 0.0975, 0.10275689223057644]"
12,"[0.11221945137157108, 0.1975, 0.095, 0.09, 0.1875, 0.0875, 0.1075, 0.1225, 0.105, 0.085, 0.1125, 0.1, 0.0725, 0.0875, 0.105, 0.115, 0.1025, 0.1, 0.1, 0.19, 0.1025, 0.115, 0.0725, 0.0875, 0.10275689223057644]"
