eigenvector_centrality,"[16, 2, 3, 10, 7]"
0,"[0.20947630922693267, 0.1303607202232514, 0.08, 0.0925, 0.1303607202232514, 0.1303607202232514, 0.1475, 0.23, 0.1275, 0.11, 0.1303607202232514, 0.1175, 0.1275, 0.0875, 0.075, 0.295, 0.09, 0.1, 0.0925, 0.1275, 0.09, 0.115, 0.1975, 0.1303607202232514, 0.09523809523809523]"
1,"[0.4339152119700748, 0.14633297864361652, 0.185, 0.1325, 0.14633297864361652, 0.14633297864361652, 0.1825, 0.12, 0.1375, 0.1125, 0.14633297864361652, 0.1025, 0.08, 0.1, 0.0925, 0.19, 0.1175, 0.1325, 0.0825, 0.0975, 0.1675, 0.11, 0.2525, 0.14633297864361652, 0.09774436090225563]"
2,"[0.38902743142144636, 0.1765885896161851, 0.0975, 0.115, 0.1765885896161851, 0.1765885896161851, 0.1075, 0.4175, 0.1825, 0.185, 0.1765885896161851, 0.0875, 0.1275, 0.0875, 0.075, 0.4775, 0.155, 0.1, 0.19, 0.3075, 0.1075, 0.115, 0.11, 0.1765885896161851, 0.09774436090225563]"
3,"[0.3865336658354115, 0.18673238504615655, 0.2375, 0.1325, 0.18673238504615655, 0.18673238504615655, 0.19, 0.22, 0.3225, 0.0925, 0.18673238504615655, 0.1775, 0.08, 0.1, 0.0925, 0.4525, 0.1175, 0.1125, 0.0825, 0.0975, 0.27, 0.11, 0.215, 0.18673238504615655, 0.24561403508771928]"
4,"[0.46384039900249374, 0.22295611769448564, 0.1925, 0.2325, 0.22295611769448564, 0.22295611769448564, 0.1075, 0.4025, 0.2825, 0.1975, 0.22295611769448564, 0.0875, 0.1275, 0.165, 0.075, 0.455, 0.3325, 0.1, 0.2475, 0.3925, 0.1775, 0.2125, 0.095, 0.22295611769448564, 0.11278195488721804]"
5,"[0.24688279301745636, 0.2242220590583237, 0.2675, 0.31, 0.15, 0.2242220590583237, 0.2925, 0.12, 0.3375, 0.0925, 0.2242220590583237, 0.2175, 0.1025, 0.31, 0.0925, 0.52, 0.3025, 0.1125, 0.195, 0.0975, 0.39, 0.16, 0.105, 0.11, 0.40100250626566414]"
6,"[0.3690773067331671, 0.22840161145893523, 0.215, 0.1125, 0.125, 0.22840161145893523, 0.2175, 0.1275, 0.345, 0.265, 0.22840161145893523, 0.0875, 0.1275, 0.195, 0.1525, 0.475, 0.24, 0.2175, 0.24, 0.2825, 0.18, 0.245, 0.1775, 0.325, 0.3032581453634085]"
7,"[0.3167082294264339, 0.2944371250331678, 0.315, 0.3175, 0.42, 0.2944371250331678, 0.2275, 0.21, 0.2575, 0.3075, 0.2944371250331678, 0.2575, 0.3575, 0.495, 0.0925, 0.51, 0.355, 0.1125, 0.385, 0.0975, 0.415, 0.2, 0.3675, 0.0975, 0.3634085213032581]"
8,"[0.38403990024937656, 0.2681677967873663, 0.39, 0.23, 0.145, 0.2681677967873663, 0.26, 0.155, 0.3225, 0.285, 0.2681677967873663, 0.145, 0.1275, 0.24, 0.3225, 0.4725, 0.3725, 0.205, 0.235, 0.195, 0.215, 0.3775, 0.3175, 0.2425, 0.2606516290726817]"
9,"[0.3491271820448878, 0.3167075923485885, 0.2175, 0.435, 0.385, 0.3167075923485885, 0.4125, 0.2475, 0.2725, 0.29, 0.3167075923485885, 0.3, 0.3575, 0.4875, 0.0925, 0.51, 0.375, 0.2425, 0.26, 0.2125, 0.3675, 0.2, 0.39, 0.1875, 0.37593984962406013]"
10,"[0.30673316708229426, 0.30881925452510267, 0.4725, 0.4225, 0.3425, 0.30881925452510267, 0.14, 0.2225, 0.34, 0.43, 0.30881925452510267, 0.2325, 0.16, 0.255, 0.3775, 0.49, 0.3875, 0.37, 0.30881925452510267, 0.2225, 0.085, 0.3225, 0.355, 0.1625, 0.38847117794486213]"
11,"[0.3167082294264339, 0.34929813623835154, 0.12, 0.435, 0.625, 0.34929813623835154, 0.3975, 0.145, 0.3325, 0.325, 0.34929813623835154, 0.365, 0.3275, 0.45, 0.435, 0.5025, 0.5275, 0.195, 0.34929813623835154, 0.2225, 0.305, 0.22, 0.405, 0.2625, 0.42105263157894735]"
12,"[0.34663341645885287, 0.3334692962366728, 0.3475, 0.4125, 0.3625, 0.3334692962366728, 0.0825, 0.175, 0.395, 0.4, 0.3334692962366728, 0.2325, 0.2425, 0.295, 0.4075, 0.505, 0.385, 0.4075, 0.3334692962366728, 0.3725, 0.36, 0.29, 0.3725, 0.1225, 0.48872180451127817]"
13,"[0.371571072319202, 0.35692079697521917, 0.0775, 0.3125, 0.655, 0.35692079697521917, 0.285, 0.4375, 0.3475, 0.3625, 0.35692079697521917, 0.36, 0.285, 0.4725, 0.405, 0.505, 0.4025, 0.225, 0.35692079697521917, 0.2625, 0.3825, 0.1925, 0.28, 0.3675, 0.506265664160401]"
14,"[0.39900249376558605, 0.31750053646168624, 0.31, 0.265, 0.375, 0.31750053646168624, 0.0825, 0.4675, 0.28, 0.355, 0.31750053646168624, 0.25, 0.26, 0.3025, 0.3825, 0.5175, 0.3825, 0.3875, 0.31750053646168624, 0.2875, 0.3575, 0.21, 0.305, 0.0875, 0.40350877192982454]"
15,"[0.47381546134663344, 0.2225, 0.1075, 0.305, 0.595, 0.3467967381641373, 0.3175, 0.3925, 0.36, 0.3467967381641373, 0.3467967381641373, 0.36, 0.29, 0.4875, 0.455, 0.3025, 0.3975, 0.3, 0.3467967381641373, 0.235, 0.4525, 0.1975, 0.265, 0.2, 0.5664160401002506]"
16,"[0.46384039900249374, 0.4825, 0.2975, 0.27, 0.2575, 0.3496517865141419, 0.095, 0.39, 0.2, 0.3496517865141419, 0.3496517865141419, 0.46, 0.1875, 0.285, 0.435, 0.6575, 0.445, 0.385, 0.3496517865141419, 0.2775, 0.5375, 0.2575, 0.3325, 0.0875, 0.5388471177944862]"
17,"[0.3541147132169576, 0.525, 0.17, 0.1875, 0.505, 0.3474035410637983, 0.2975, 0.3375, 0.2125, 0.3474035410637983, 0.3474035410637983, 0.36, 0.2775, 0.4825, 0.4425, 0.285, 0.38, 0.4425, 0.3474035410637983, 0.3125, 0.5225, 0.1575, 0.3625, 0.1375, 0.543859649122807]"
18,"[0.40648379052369077, 0.38, 0.31, 0.2525, 0.2425, 0.3456157694735592, 0.185, 0.3625, 0.1925, 0.3456157694735592, 0.3456157694735592, 0.5, 0.23, 0.2925, 0.4125, 0.5275, 0.5025, 0.38, 0.3456157694735592, 0.305, 0.505, 0.34, 0.265, 0.0875, 0.5789473684210527]"
19,"[0.39900249376558605, 0.345, 0.175, 0.1325, 0.51, 0.34633303437313145, 0.305, 0.27, 0.265, 0.34633303437313145, 0.34633303437313145, 0.3625, 0.2525, 0.445, 0.4575, 0.2675, 0.4025, 0.5025, 0.34633303437313145, 0.4275, 0.5225, 0.135, 0.3525, 0.1475, 0.5964912280701754]"
20,"[0.40648379052369077, 0.345, 0.35, 0.295, 0.49, 0.3786481243632772, 0.26, 0.1175, 0.3275, 0.485, 0.3786481243632772, 0.5475, 0.1825, 0.3786481243632772, 0.405, 0.55, 0.3275, 0.5425, 0.3786481243632772, 0.34, 0.475, 0.3475, 0.1875, 0.3786481243632772, 0.5914786967418546]"
