betweeness_centrality,[0 5 2 9]
0,"[0.1157684630738523, 0.116, 0.086, 0.082, 0.112, 0.094, 0.098, 0.108, 0.106, 0.118, 0.094, 0.12, 0.108, 0.084, 0.098, 0.088, 0.094, 0.088, 0.11, 0.10220440881763528]"
1,"[0.10978043912175649, 0.116, 0.104, 0.126, 0.08, 0.094, 0.086, 0.108, 0.106, 0.118, 0.112, 0.094, 0.1, 0.084, 0.098, 0.082, 0.094, 0.088, 0.132, 0.11222444889779559]"
2,"[0.10978043912175649, 0.116, 0.086, 0.082, 0.112, 0.128, 0.098, 0.108, 0.106, 0.108, 0.112, 0.092, 0.1, 0.084, 0.098, 0.082, 0.102, 0.098, 0.038, 0.10220440881763528]"
3,"[0.08383233532934131, 0.116, 0.082, 0.132, 0.11, 0.102, 0.106, 0.108, 0.106, 0.082, 0.112, 0.108, 0.1, 0.084, 0.098, 0.082, 0.102, 0.098, 0.126, 0.10220440881763528]"
4,"[0.12375249500998003, 0.142, 0.086, 0.082, 0.112, 0.102, 0.114, 0.108, 0.098, 0.082, 0.112, 0.092, 0.1, 0.084, 0.11, 0.082, 0.102, 0.098, 0.104, 0.10220440881763528]"
5,"[0.08383233532934131, 0.094, 0.108, 0.086, 0.112, 0.102, 0.126, 0.108, 0.11, 0.082, 0.112, 0.092, 0.1, 0.084, 0.196, 0.116, 0.102, 0.098, 0.104, 0.1462925851703407]"
6,"[0.1536926147704591, 0.138, 0.146, 0.082, 0.118, 0.102, 0.124, 0.21, 0.106, 0.176, 0.244, 0.15, 0.1, 0.084, 0.114, 0.19, 0.194, 0.098, 0.11, 0.1743486973947896]"
7,"[0.1596806387225549, 0.094, 0.154, 0.126, 0.16, 0.188, 0.126, 0.202, 0.174, 0.18, 0.242, 0.174, 0.18, 0.204, 0.178, 0.184, 0.162, 0.188, 0.12, 0.1743486973947896]"
8,"[0.16167664670658682, 0.222, 0.226, 0.228, 0.184, 0.184, 0.182, 0.234, 0.116, 0.172, 0.246, 0.096, 0.182, 0.246, 0.198, 0.232, 0.216, 0.182, 0.156, 0.21042084168336672]"
9,"[0.21357285429141717, 0.192, 0.194, 0.238, 0.184, 0.2, 0.196, 0.212, 0.134, 0.208, 0.238, 0.092, 0.172, 0.228, 0.192, 0.206, 0.276, 0.18, 0.122, 0.22044088176352705]"
10,"[0.2634730538922156, 0.252, 0.17, 0.168, 0.168, 0.284, 0.15, 0.292, 0.19, 0.252, 0.284, 0.198, 0.162, 0.206, 0.214, 0.272, 0.296, 0.266, 0.228, 0.1963927855711423]"
11,"[0.28542914171656686, 0.228, 0.248, 0.25, 0.252, 0.28, 0.216, 0.22, 0.244, 0.28, 0.276, 0.22, 0.252, 0.248, 0.312, 0.236, 0.236, 0.18, 0.148, 0.2565130260521042]"
12,"[0.313373253493014, 0.396, 0.226, 0.216, 0.246, 0.396, 0.25, 0.324, 0.208, 0.266, 0.334, 0.226, 0.148, 0.31, 0.262, 0.346, 0.252, 0.31, 0.202, 0.20240480961923848]"
13,"[0.3013972055888224, 0.242, 0.328, 0.298, 0.388, 0.29, 0.136, 0.318, 0.404, 0.402, 0.398, 0.368, 0.248, 0.246, 0.374, 0.308, 0.32, 0.18, 0.214, 0.21042084168336672]"
14,"[0.3912175648702595, 0.428, 0.252, 0.22, 0.226, 0.416, 0.274, 0.394, 0.268, 0.264, 0.312, 0.168, 0.118, 0.314, 0.288, 0.35, 0.314, 0.358, 0.146, 0.20040080160320642]"
15,"[0.2215568862275449, 0.23, 0.194, 0.2, 0.33, 0.28, 0.11, 0.274, 0.344, 0.364, 0.462, 0.284, 0.268, 0.232, 0.382, 0.228, 0.304, 0.26, 0.262, 0.22044088176352705]"
16,"[0.34530938123752497, 0.426, 0.302, 0.274, 0.178, 0.356, 0.278, 0.364, 0.208, 0.198, 0.336, 0.194, 0.138, 0.266, 0.27, 0.324, 0.216, 0.316, 0.124, 0.22444889779559118]"
17,"[0.20159680638722555, 0.26, 0.15, 0.152, 0.324, 0.234, 0.16, 0.248, 0.334, 0.336, 0.368, 0.28, 0.266, 0.218, 0.366, 0.178, 0.288, 0.224, 0.296, 0.31462925851703405]"
18,"[0.3393213572854291, 0.432, 0.32, 0.296, 0.172, 0.334, 0.28, 0.34, 0.192, 0.188, 0.302, 0.208, 0.17, 0.258, 0.246, 0.328, 0.212, 0.312, 0.164, 0.3066132264529058]"
19,"[0.1996007984031936, 0.266, 0.178, 0.166, 0.33, 0.202, 0.178, 0.248, 0.32, 0.328, 0.32, 0.278, 0.262, 0.218, 0.36, 0.17, 0.296, 0.208, 0.286, 0.3406813627254509]"
20,"[0.34331337325349304, 0.44, 0.32, 0.3, 0.17, 0.336, 0.286, 0.346, 0.186, 0.186, 0.302, 0.208, 0.184, 0.274, 0.244, 0.332, 0.202, 0.328, 0.19, 0.342685370741483]"
21,"[0.1996007984031936, 0.306, 0.204, 0.178, 0.33, 0.204, 0.186, 0.242, 0.332, 0.342, 0.328, 0.282, 0.266, 0.218, 0.34, 0.16, 0.306, 0.208, 0.302, 0.38877755511022044]"
22,"[0.3473053892215569, 0.446, 0.322, 0.3, 0.166, 0.342, 0.292, 0.35, 0.184, 0.186, 0.294, 0.208, 0.186, 0.302, 0.258, 0.346, 0.202, 0.338, 0.196, 0.35070140280561124]"
23,"[0.1996007984031936, 0.372, 0.21, 0.192, 0.34, 0.21, 0.192, 0.258, 0.34, 0.342, 0.34, 0.29, 0.276, 0.218, 0.35, 0.146, 0.308, 0.212, 0.304, 0.4028056112224449]"
24,"[0.35528942115768464, 0.446, 0.328, 0.312, 0.172, 0.354, 0.3, 0.356, 0.198, 0.186, 0.296, 0.208, 0.186, 0.314, 0.304, 0.356, 0.202, 0.346, 0.196, 0.35070140280561124]"
25,"[0.2275449101796407, 0.414, 0.212, 0.198, 0.348, 0.242, 0.196, 0.304, 0.342, 0.352, 0.346, 0.302, 0.3, 0.218, 0.346, 0.164, 0.318, 0.248, 0.316, 0.38276553106212424]"
26,"[0.34930139720558884, 0.434, 0.344, 0.328, 0.176, 0.362, 0.314, 0.362, 0.212, 0.208, 0.32, 0.208, 0.184, 0.332, 0.378, 0.364, 0.21, 0.374, 0.198, 0.35070140280561124]"
27,"[0.26147704590818366, 0.436, 0.31, 0.246, 0.332, 0.304, 0.182, 0.394, 0.354, 0.388, 0.344, 0.306, 0.306, 0.218, 0.346, 0.17, 0.322, 0.266, 0.322, 0.3667334669338677]"
28,"[0.36726546906187624, 0.482, 0.354, 0.332, 0.18, 0.35, 0.322, 0.388, 0.232, 0.258, 0.338, 0.21, 0.198, 0.334, 0.292, 0.364, 0.214, 0.366, 0.202, 0.4789579158316633]"
